DistrictName,MedianIncome
CATSKILL CENTRAL SCHOOL DISTRICT,58658.833333333336
CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,52411.0
CAZENOVIA CENTRAL SCHOOL DISTRICT,69543.875
CENTER MORICHES UNION FREE SCHOOL DISTRICT,99102.0
CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,101402.4
CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,67685.72727272728
CENTRAL VALLEY CENTRAL SCHOOL DISTRICT,57561.8
CHAPPAQUA CENTRAL SCHOOL DISTRICT,171975.0
CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,53881.75
CHATEAUGAY CENTRAL SCHOOL DISTRICT,56603.8
CHATHAM CENTRAL SCHOOL DISTRICT,80405.75
CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,57115.57142857143
CHAZY UNION FREE SCHOOL DISTRICT,63384.5
CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,47551.0
CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,58342.0
CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,47314.75
CHENANGO FORKS CENTRAL SCHOOL DISTRICT,50343.4
CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,47896.4
CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,57554.75
CHESTER UNION FREE SCHOOL DISTRICT,101327.0
CHITTENANGO CENTRAL SCHOOL DISTRICT,78756.5
CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,74812.2
CINCINNATUS CENTRAL SCHOOL DISTRICT,54469.181818181816
CLARENCE CENTRAL SCHOOL DISTRICT,89974.14285714286
CLARKSTOWN CENTRAL SCHOOL DISTRICT,124982.33333333333
CLEVELAND HILL UNION FREE SCHOOL DISTRICT,53987.0
CLIFTON-FINE CENTRAL SCHOOL DISTRICT,46749.0
CLINTON CENTRAL SCHOOL DISTRICT,71630.0
CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT,53507.6
CLYMER CENTRAL SCHOOL DISTRICT,53945.6
COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,57302.22222222222
COHOES CITY SCHOOL DISTRICT,60444.0
COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,140247.0
COLTON-PIERREPONT CENTRAL SCHOOL DISTRICT,56456.833333333336
COMMACK UNION FREE SCHOOL DISTRICT,122854.0
CONNETQUOT CENTRAL SCHOOL DISTRICT,108287.0
COOPERSTOWN CENTRAL SCHOOL DISTRICT,63359.0
COPENHAGEN CENTRAL SCHOOL DISTRICT,61598.0
COPIAGUE UNION FREE SCHOOL DISTRICT,99989.25
CORINTH CENTRAL SCHOOL DISTRICT,77271.8
CORNING CITY SCHOOL DISTRICT,64176.90909090909
CORNWALL CENTRAL SCHOOL DISTRICT,112038.0
CORTLAND CITY SCHOOL DISTRICT,61464.0
COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT,68206.25
CROTON-HARMON UNION FREE SCHOOL DISTRICT,111839.33333333333
CROWN POINT CENTRAL SCHOOL DISTRICT,55082.75
CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,53610.27272727273
DALTON-NUNDA CENTRAL SCHOOL DISTRICT (KESHEQUA),54371.875
DANSVILLE CENTRAL SCHOOL DISTRICT,63313.444444444445
DEER PARK UNION FREE SCHOOL DISTRICT,105121.5
DELHI CENTRAL SCHOOL DISTRICT,54101.27272727273
DEPEW UNION FREE SCHOOL DISTRICT,67225.33333333333
DEPOSIT CENTRAL SCHOOL DISTRICT,51873.22222222222
DERUYTER CENTRAL SCHOOL DISTRICT,55705.4
DOBBS FERRY UNION FREE SCHOOL DISTRICT,154429.5
DOLGEVILLE CENTRAL SCHOOL DISTRICT,57175.666666666664
DOVER UNION FREE SCHOOL DISTRICT,79784.33333333333
DOWNSVILLE CENTRAL SCHOOL DISTRICT,56483.166666666664
DRYDEN CENTRAL SCHOOL DISTRICT,62437.3
DUANESBURG CENTRAL SCHOOL DISTRICT,78887.5
