DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
MALVERNE UFSD,92.0,3.0,28071.16,1724,910,814,311,82.0
MAMARONECK UFSD,94.0,2.0,22853.8,5596,2917,2679,3796,32.2
MANCHESTER-SHORTSVILLE CSD (RED JACK,82.0,4.0,18766.55,763,404,359,673,11.8
MANHASSET UFSD,98.0,0.0,25655.38,3163,1680,1483,2026,35.9
MARATHON CSD,98.0,0.0,21017.92,653,327,326,631,3.4
MARCELLUS CSD,92.0,3.0,19566.23,1505,802,703,1432,4.9
MARGARETVILLE CSD,88.0,8.0,25293.61,330,164,166,233,29.4
MARION CSD,86.0,4.0,22443.32,634,311,323,550,13.2
MARLBORO CSD,91.0,4.0,21764.9,1891,968,923,1188,37.2
MASSAPEQUA UFSD,98.0,1.0,25406.75,6713,3337,3376,6004,10.6
MASSENA CSD,84.0,7.0,16440.97,2475,1222,1253,2122,14.3
MATTITUCK-CUTCHOGUE UFSD,93.0,1.0,31170.72,1101,584,517,848,23.0
MAYFIELD CSD,90.0,4.0,18856.31,842,437,405,790,6.2
MCGRAW CSD,89.0,5.0,18417.53,527,256,271,503,4.6
MECHANICVILLE CITY SD,94.0,4.0,16937.42,1346,717,629,1195,11.2
MEDINA CSD,84.0,8.0,18543.05,1387,672,715,1074,22.6
MENANDS UFSD,,,17152.22,305,162,143,78,74.4
MERRICK UFSD,,,29454.36,1510,768,742,1300,13.9
MEXICO CSD,90.0,3.0,21774.73,1944,991,953,1833,5.7
MIDDLE COUNTRY CSD,91.0,4.0,22520.78,9050,4660,4390,5360,40.8
MIDDLEBURGH CSD,93.0,4.0,26103.54,654,316,338,633,3.2
MIDDLETOWN CITY SD,83.0,9.0,19264.71,7405,3739,3666,937,87.3
MILFORD CSD,88.0,4.0,24297.78,334,176,158,320,4.2
MILLBROOK CSD,96.0,0.0,26186.89,880,451,429,686,22.0
MILLER PLACE UFSD,97.0,1.0,24358.13,2490,1308,1182,2128,14.5
MINEOLA UFSD,94.0,2.0,28437.39,2790,1460,1330,1417,49.2
MINERVA CSD,40.0,20.0,41834.28,99,45,54,92,7.1
MINISINK VALLEY CSD,89.0,1.0,19866.22,3493,1779,1714,2588,25.9
MONROE-WOODBURY CSD,91.0,4.0,21906.32,6702,3384,3318,3186,52.5
MONTAUK UFSD,,,44925.84,286,146,140,182,36.4
MONTICELLO CSD,83.0,7.0,23954.2,2786,1424,1362,1165,58.2
MORAVIA CSD,84.0,9.0,18050.12,873,434,439,836,4.2
MORIAH CSD,89.0,6.0,20297.03,666,342,324,661,0.8
MORRIS CSD,77.0,0.0,23527.09,310,165,145,283,8.7
MORRISTOWN CSD,82.0,14.0,21795.55,322,167,155,308,4.3
MORRISVILLE-EATON CSD,88.0,8.0,20737.05,588,289,299,543,7.7
MOUNT MARKHAM CSD,86.0,8.0,19200.39,1038,527,511,997,3.9
MT MORRIS CSD,85.0,10.0,21224.05,515,264,251,359,30.3
MT PLEASANT CSD,96.0,0.0,27690.51,1902,993,909,1506,20.8
MT PLEASANT-BLYTHEDALE UFSD,0.0,0.0,,124,68,56,37,70.2
MT PLEASANT-COTTAGE UFSD,9.0,27.0,,214,103,111,23,89.3
MT SINAI UFSD,97.0,1.0,22321.61,2176,1131,1045,1802,17.2
MT VERNON SCHOOL DISTRICT,68.0,10.0,27660.55,7326,3755,3571,329,95.5
NANUET UFSD,94.0,1.0,25962.31,2218,1126,1092,1040,53.1
NAPLES CSD,87.0,4.0,17557.81,599,305,294,581,3.0
NEW HARTFORD CSD,97.0,1.0,17848.92,2553,1308,1245,2174,14.8
NEW HYDE PARK-GARDEN CITY PARK UFSD,,,19533.7,1719,882,837,402,76.6
NEW LEBANON CSD,92.0,5.0,9766.29,409,205,204,377,7.8
NEW PALTZ CSD,94.0,3.0,25094.98,2037,1036,1001,1534,24.7
NEW ROCHELLE CITY SD,80.0,3.0,22932.93,10286,5394,4892,2577,74.9
NEW SUFFOLK COMN SD,,,36043.61,16,9,7,13,18.8
NEWARK CSD,88.0,9.0,20106.84,1983,1014,969,1394,29.7
NEWARK VALLEY CSD,88.0,5.0,18004.61,1075,547,528,1028,4.4
NEWBURGH CITY SD,78.0,10.0,21654.67,10913,5664,5249,1816,83.4
NEWCOMB CSD,100.0,0.0,59290.5,68,39,29,64,5.9
NEWFANE CSD,92.0,5.0,20242.16,1333,677,656,1236,7.3
NEWFIELD CSD,84.0,6.0,22438.23,728,355,373,586,19.5
NIAGARA FALLS CITY SD,64.0,24.0,16647.7,6572,3240,3332,2563,61.0
NIAGARA-WHEATFIELD CSD,90.0,5.0,17860.17,3411,1738,1673,2691,21.1
NISKAYUNA CSD,94.0,1.0,15876.85,4294,2239,2055,2952,31.3
NORTH BABYLON UFSD,93.0,4.0,25157.29,4539,2335,2204,1634,64.0
NORTH BELLMORE UFSD,,,22631.36,2020,1014,1006,1419,29.8
NORTH COLLINS CSD,92.0,4.0,21209.35,547,277,270,497,9.1
NORTH COLONIE CSD,93.0,3.0,16378.28,5887,2974,2913,3702,37.1
NORTH GREENBUSH COMN SD (WILLIAMS),,,37967.85,13,5,8,11,15.4
NORTH MERRICK UFSD,,,25386.74,1188,610,578,868,26.9
NORTH ROSE-WOLCOTT CSD,87.0,6.0,21632.65,1114,535,579,966,13.3
NORTH SALEM CSD,96.0,2.0,34752.96,1046,523,523,775,25.9
NORTH SHORE CSD,96.0,0.0,36171.47,2567,1332,1235,1975,23.1
NORTH SYRACUSE CSD,87.0,5.0,15859.19,8175,4198,3977,6611,19.1
NORTH TONAWANDA CITY SD,86.0,7.0,17409.1,3184,1593,1591,2836,10.9
NORTH WARREN CSD,92.0,5.0,22431.62,493,269,224,449,8.9
NORTHEAST CSD,87.0,6.0,26227.2,626,333,293,435,30.5
