,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate,Percentage of Minority Students,DistrictName
86,83.0,52895.5,20184.28,5.0,2.7,EDWARDS-KNOX CSD
87,80.0,61557.75,21297.72,16.0,20.6,ELBA CSD
88,88.0,61916.88,27604.29,2.0,14.4,ELDRED CSD
89,91.0,86355.88,24227.11,4.0,16.5,RED HOOK CSD
90,87.0,58174.63,20754.3,4.0,3.4,MALONE CSD
91,92.0,124833.75,28071.16,3.0,82.0,MALVERNE UFSD
92,94.0,144161.5,22853.8,2.0,32.2,MAMARONECK UFSD
94,98.0,146793.25,25655.38,0.0,35.9,MANHASSET UFSD
95,98.0,59716.67,21017.92,0.0,3.4,MARATHON CSD
96,92.0,76931.43,19566.23,3.0,4.9,MARCELLUS CSD
97,88.0,58460.82,25293.61,8.0,29.4,MARGARETVILLE CSD
98,86.0,68890.66,22443.32,4.0,13.2,MARION CSD
99,91.0,77276.4,21764.9,4.0,37.2,MARLBORO CSD
100,98.0,133976.5,25406.75,1.0,10.6,MASSAPEQUA UFSD
101,84.0,51442.0,16440.97,7.0,14.3,MASSENA CSD
102,93.0,97980.4,31170.72,1.0,23.0,MATTITUCK-CUTCHOGUE UFSD
103,90.0,58933.33,18856.31,4.0,6.2,MAYFIELD CSD
104,89.0,59645.75,18417.53,5.0,4.6,MCGRAW CSD
105,94.0,75677.8,16937.42,4.0,11.2,MECHANICVILLE CITY SD
106,84.0,57023.6,18543.05,8.0,22.6,MEDINA CSD
107,84.0,87980.5,17152.22,8.0,74.4,MENANDS UFSD
108,84.0,127506.0,29454.36,8.0,13.9,MERRICK UFSD
109,90.0,62851.0,21774.73,3.0,5.7,MEXICO CSD
110,91.0,109711.89,22520.78,4.0,40.8,MIDDLE COUNTRY CSD
111,93.0,64995.58,26103.54,4.0,3.2,MIDDLEBURGH CSD
112,83.0,86565.0,19264.71,9.0,87.3,MIDDLETOWN CITY SD
113,88.0,63726.29,24297.78,4.0,4.2,MILFORD CSD
114,96.0,83433.0,26186.89,0.0,22.0,MILLBROOK CSD
115,97.0,119062.34,24358.13,1.0,14.5,MILLER PLACE UFSD
116,94.0,131102.6,28437.39,2.0,49.2,MINEOLA UFSD
117,40.0,54737.5,41834.28,20.0,7.1,MINERVA CSD
118,89.0,82132.6,19866.22,1.0,25.9,MINISINK VALLEY CSD
119,91.0,106537.34,21906.32,4.0,52.5,MONROE-WOODBURY CSD
120,91.0,102266.0,44925.84,4.0,36.4,MONTAUK UFSD
121,83.0,67153.53,23954.2,7.0,58.2,MONTICELLO CSD
122,84.0,65803.16,18050.12,9.0,4.2,MORAVIA CSD
123,89.0,44562.43,20297.03,6.0,0.8,MORIAH CSD
124,77.0,62279.2,23527.09,0.0,8.7,MORRIS CSD
125,82.0,52118.4,21795.55,14.0,4.3,MORRISTOWN CSD
126,88.0,63390.0,20737.05,8.0,7.7,MORRISVILLE-EATON CSD
127,86.0,60102.27,19200.39,8.0,3.9,MOUNT MARKHAM CSD
133,94.0,107895.25,25962.31,1.0,53.1,NANUET UFSD
134,87.0,58002.86,17557.81,4.0,3.0,NAPLES CSD
135,97.0,62441.13,17848.92,1.0,14.8,NEW HARTFORD CSD
136,97.0,128858.0,19533.7,1.0,76.6,NEW HYDE PARK-GARDEN CITY PARK UFSD
137,92.0,87238.22,9766.29,5.0,7.8,NEW LEBANON CSD
138,94.0,69680.63,25094.98,3.0,24.7,NEW PALTZ CSD
139,80.0,147819.14,22932.93,3.0,74.9,NEW ROCHELLE CITY SD
140,80.0,108972.0,36043.61,3.0,18.8,NEW SUFFOLK COMN SD
141,88.0,55895.25,20106.84,9.0,29.7,NEWARK CSD
142,88.0,61204.43,18004.61,5.0,4.4,NEWARK VALLEY CSD
143,78.0,77814.0,21654.67,10.0,83.4,NEWBURGH CITY SD
144,100.0,44688.0,59290.5,0.0,5.9,NEWCOMB CSD
145,92.0,60037.5,20242.16,5.0,7.3,NEWFANE CSD
146,84.0,59421.67,22438.23,6.0,19.5,NEWFIELD CSD
147,64.0,40596.25,16647.7,24.0,61.0,NIAGARA FALLS CITY SD
148,90.0,62356.5,17860.17,5.0,21.1,NIAGARA-WHEATFIELD CSD
149,94.0,85111.43,15876.85,1.0,31.3,NISKAYUNA CSD
150,93.0,109923.6,25157.29,4.0,64.0,NORTH BABYLON UFSD
151,93.0,146297.33,22631.36,4.0,29.8,NORTH BELLMORE UFSD
152,92.0,62133.5,21209.35,4.0,9.1,NORTH COLLINS CSD
153,93.0,70709.14,16378.28,3.0,37.1,NORTH COLONIE CSD
154,93.0,71087.66,37967.85,3.0,15.4,NORTH GREENBUSH COMN SD (WILLIAMS)
155,93.0,108847.66,25386.74,3.0,26.9,NORTH MERRICK UFSD
156,87.0,56033.22,21632.65,6.0,13.3,NORTH ROSE-WOLCOTT CSD
157,96.0,122803.6,34752.96,2.0,25.9,NORTH SALEM CSD
158,96.0,127171.84,36171.47,0.0,23.1,NORTH SHORE CSD
159,87.0,69545.27,15859.19,5.0,19.1,NORTH SYRACUSE CSD
160,86.0,69119.0,17409.1,7.0,10.9,NORTH TONAWANDA CITY SD
161,92.0,61106.25,22431.62,5.0,8.9,NORTH WARREN CSD
162,87.0,73045.16,26227.2,6.0,30.5,NORTHEAST CSD
163,81.0,56574.25,22148.23,9.0,4.2,NORTHEASTERN CLINTON CSD
164,86.0,56522.17,25473.35,9.0,1.0,NORTHERN ADIRONDACK CSD
165,96.0,131766.0,28285.29,2.0,19.0,NORTHPORT-EAST NORTHPORT UFSD
166,94.0,59445.5,20631.26,3.0,8.1,NORTHVILLE CSD
167,86.0,53188.38,18999.6,4.0,9.4,NORWICH CITY SD
168,90.0,54853.25,20364.35,5.0,3.8,NORWOOD-NORFOLK CSD
170,91.0,124980.66,24606.88,5.0,57.8,NYACK UFSD
171,68.0,77936.0,19153.22,8.0,81.6,NYC GEOG DIST # 1 - MANHATTAN
172,81.0,127275.96,15883.91,5.0,73.4,NYC GEOG DIST # 2 - MANHATTAN
173,81.0,104303.66,16663.02,3.0,66.5,NYC GEOG DIST # 3 - MANHATTAN
174,85.0,31104.5,21385.49,4.0,95.0,NYC GEOG DIST # 4 - MANHATTAN
175,74.0,50067.0,23248.48,5.0,93.6,NYC GEOG DIST # 5 - MANHATTAN
176,75.0,55738.5,20480.9,5.0,94.4,NYC GEOG DIST # 6 - MANHATTAN
177,69.0,36670.8,22088.49,9.0,98.5,NYC GEOG DIST # 7 - BRONX
178,78.0,107137.0,21489.7,10.0,98.5,HEMPSTEAD UFSD
179,94.0,105085.0,28567.9,1.0,44.2,HENDRICK HUDSON CSD
180,82.0,57833.33,16820.51,9.0,10.7,HERKIMER CSD
181,91.0,50376.5,21992.93,6.0,3.8,HERMON-DEKALB CSD
182,97.0,160936.33,25834.33,0.0,75.3,HERRICKS UFSD
183,75.0,50010.71,21354.54,8.0,4.0,HEUVELTON CSD
184,95.0,133385.75,32708.8,1.0,37.6,HEWLETT-WOODMERE UFSD
185,92.0,133881.83,21799.6,4.0,74.2,HICKSVILLE UFSD
186,93.0,66984.0,22380.21,4.0,30.3,HIGHLAND CSD
187,87.0,102260.4,23505.03,8.0,41.9,HIGHLAND FALLS CSD
188,94.0,66139.14,15641.88,1.0,12.0,HILTON CSD
189,77.0,50180.5,20616.41,20.0,8.5,HINSDALE CSD
190,95.0,67787.78,18196.59,2.0,4.7,HOLLAND CSD
191,88.0,72809.5,18430.98,5.0,1.1,HOLLAND PATENT CSD
192,94.0,59784.2,19510.21,2.0,16.2,HOLLEY CSD
193,88.0,75074.66,18818.88,6.0,6.7,HOMER CSD
194,94.0,66354.88,23910.02,0.0,3.3,HONEOYE CSD
195,94.0,84392.4,17749.56,2.0,8.1,HONEOYE FALLS-LIMA CSD
196,92.0,79609.84,18681.68,3.0,4.2,HOOSIC VALLEY CSD
197,90.0,71795.4,18103.91,3.0,8.1,HOOSICK FALLS CSD
198,86.0,47783.0,18297.48,4.0,14.8,HORNELL CITY SD
199,92.0,60256.23,16537.38,3.0,13.2,HORSEHEADS CSD
200,80.0,65495.17,24261.33,7.0,60.0,HUDSON CITY SD
201,79.0,64791.0,14076.68,13.0,10.2,HUDSON FALLS CSD
202,85.0,69565.5,30553.49,4.0,19.0,HUNTER-TANNERSVILLE CSD
203,90.0,131281.5,23794.52,2.0,65.3,HUNTINGTON UFSD
204,88.0,81705.0,23435.59,6.0,40.6,HYDE PARK CSD
205,89.0,59063.0,43135.85,0.0,7.0,INDIAN LAKE CSD
206,87.0,53606.0,19354.3,7.0,34.3,INDIAN RIVER CSD
207,98.0,76619.73,20509.11,1.0,5.4,IROQUOIS CSD
208,92.0,131104.0,29339.93,0.0,31.7,IRVINGTON UFSD
209,92.0,103508.0,32114.61,0.0,48.0,ISLAND PARK UFSD
210,95.0,125811.66,24009.41,2.0,37.0,ISLAND TREES UFSD
211,97.0,95089.0,26255.56,3.0,43.0,ISLIP UFSD
212,87.0,62676.5,20297.74,3.0,35.8,ITHACA CITY SD
213,74.0,42558.0,15641.5,14.0,38.3,JAMESTOWN CITY SD
214,94.0,76430.0,18413.64,2.0,26.6,JAMESVILLE-DEWITT CSD
215,90.0,52934.13,26007.34,5.0,2.2,JASPER-TROUPSBURG CSD
216,92.0,53163.67,26743.1,4.0,4.6,JEFFERSON CSD
217,96.0,152512.58,33337.94,0.0,70.5,JERICHO UFSD
218,89.0,57142.71,27133.01,11.0,3.7,JOHNSBURG CSD
219,90.0,48683.25,18386.55,5.0,44.0,JOHNSON CITY CSD
220,88.0,53323.0,15993.37,3.0,8.2,JOHNSTOWN CITY SD
221,94.0,70367.38,18668.5,5.0,5.4,JORDAN-ELBRIDGE CSD
