,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate,Percentage of Minority Students,DistrictName
98,87,67685.7,17310.54,8,6.1,CENTRAL SQUARE CSD
100,99,171975.0,29069.23,0,25.9,CHAPPAQUA CSD
102,97,56603.8,20495.72,3,1.3,CHATEAUGAY CSD
103,94,80405.8,25024.45,4,13.0,CHATHAM CSD
104,85,57115.6,23416.94,3,5.1,CHAUTAUQUA LAKE CSD
105,94,63384.5,19209.93,6,5.7,CHAZY UFSD
106,87,47551.0,16544.11,7,60.4,CHEEKTOWAGA CSD
107,87,58342.0,15434.4,5,27.8,CHEEKTOWAGA-MARYVALE UFSD
108,86,47314.8,19755.19,5,23.5,CHEEKTOWAGA-SLOAN UFSD
109,93,50343.4,18273.44,0,7.8,CHENANGO FORKS CSD
110,91,47896.4,18101.82,5,10.7,CHENANGO VALLEY CSD
111,79,57554.8,24150.04,3,2.1,CHERRY VALLEY-SPRINGFIELD CSD
112,90,101327.0,24039.21,1,53.5,CHESTER UFSD
113,90,78756.5,17253.94,3,8.4,CHITTENANGO CSD
114,91,74812.2,15793.94,2,23.1,CHURCHVILLE-CHILI CSD
115,90,54469.2,21748.43,5,2.3,CINCINNATUS CSD
116,95,89974.1,15613.47,2,12.1,CLARENCE CSD
117,95,124982.3,22878.82,1,42.0,CLARKSTOWN CSD
118,85,53987.0,18076.74,6,52.4,CLEVELAND HILL UFSD
119,77,46749.0,28678.72,0,8.3,CLIFTON-FINE CSD
120,96,71630.0,17575.94,1,9.2,CLINTON CSD
121,78,53507.6,21555.55,17,15.1,CLYDE-SAVANNAH CSD
122,93,53945.6,21086.05,0,9.4,CLYMER CSD
123,93,57302.2,20054.26,3,10.0,COBLESKILL-RICHMONDVILLE CSD
124,84,60444.0,17770.18,11,28.9,COHOES CITY SCHOOL DISTRICT
125,99,140247.0,33287.48,0,13.9,COLD SPRING HARBOR CSD
126,94,56456.8,22481.64,0,0.6,COLTON-PIERREPONT CSD
127,97,122854.0,26170.47,0,23.3,COMMACK UFSD
128,95,108287.0,28395.35,2,26.7,CONNETQUOT CSD
129,99,63359.0,19740.77,1,8.8,COOPERSTOWN CSD
130,100,61598.0,18762.25,0,7.6,COPENHAGEN CSD
131,89,99989.2,18858.63,7,87.7,COPIAGUE UFSD
132,86,77271.8,15265.53,6,4.8,CORINTH CSD
133,88,64176.9,19702.53,6,13.5,CORNING CITY SCHOOL DISTRICT
134,96,112038.0,18883.36,3,35.5,CORNWALL CSD
135,80,61464.0,18587.04,7,15.1,CORTLAND CITY SCHOOL DISTRICT
136,82,68206.2,20955.92,7,15.5,COXSACKIE-ATHENS CSD
137,96,111839.3,23468.52,0,28.7,CROTON-HARMON UFSD
138,95,55082.8,20638.87,5,0.7,CROWN POINT CSD
139,92,53610.3,19895.03,0,5.0,CUBA-RUSHFORD CSD
140,98,54371.9,20242.29,0,2.5,DALTON-NUNDA CSD (KESHEQUA)
141,85,63313.4,17846.3,10,6.7,DANSVILLE CSD
