,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate
213,90,81453.0,18478.74,5
214,98,135299.7,23500.03,0
217,93,62807.6,13567.3,4
218,90,53666.6,23997.0,8
219,93,59282.2,18482.09,3
220,88,58524.2,20180.79,9
222,93,70628.0,5403.88,7
223,92,54588.6,23117.52,3
224,100,56186.1,26541.08,0
225,87,114053.5,22819.95,4
226,84,66618.0,17131.9,8
228,68,53646.4,18618.2,17
230,96,95000.0,22102.68,0
231,84,52115.0,18367.44,9
232,82,53409.3,24073.62,14
233,95,90386.0,17396.91,2
234,79,56732.8,18308.97,11
235,93,140796.2,28782.39,2
236,93,56750.0,16901.72,0
237,86,49862.0,23487.08,11
238,93,124601.7,34414.7,0
242,89,51063.7,20546.04,6
243,75,79762.3,24403.49,20
244,87,75317.5,23538.21,3
245,91,77175.9,18651.65,1
247,90,65364.8,19387.04,3
248,94,75045.1,17693.96,2
249,89,62414.7,25299.07,7
250,93,104061.0,25957.28,3
251,95,117510.1,27791.97,1
252,92,79445.8,17076.46,3
253,90,56966.8,20603.59,5
254,74,58918.5,26123.36,16
255,76,51205.8,27744.76,11
256,91,92699.8,21642.94,6
257,97,54114.0,29004.88,3
258,82,54135.2,19515.27,10
259,95,135911.0,24499.74,1
260,84,56108.6,21205.12,3
261,98,137353.5,28893.27,1
262,91,50445.0,25442.94,9
263,83,57991.9,21509.8,7
264,96,137899.0,27795.13,1
265,95,111789.0,28953.45,0
268,78,107137.0,21489.7,10
269,94,105085.0,28567.9,1
270,82,57833.3,16820.51,9
271,91,50376.5,21992.93,6
272,97,160936.3,25834.33,0
273,75,50010.7,21354.54,8
274,95,133385.8,32708.8,1
275,92,133881.8,21799.6,4
276,93,66984.0,22380.21,4
277,87,102260.4,23505.03,8
278,94,66139.1,15641.88,1
279,77,50180.5,20616.41,20
280,95,67787.8,18196.59,2
281,88,72809.5,18430.98,5
282,94,59784.2,19510.21,2
283,88,75074.7,18818.88,6
284,94,66354.9,23910.02,0
285,94,84392.4,17749.56,2
286,92,79609.8,18681.68,3
287,90,71795.4,18103.91,3
288,86,47783.0,18297.48,4
289,92,60256.2,16537.38,3
290,80,65495.2,24261.33,7
291,79,64791.0,14076.68,13
292,85,69565.5,30553.49,4
293,90,131281.5,23794.52,2
294,88,81705.0,23435.59,6
295,89,59063.0,43135.85,0
296,87,53606.0,19354.3,7
297,98,76619.7,20509.11,1
298,92,131104.0,29339.93,0
300,95,125811.7,24009.41,2
301,97,95089.0,26255.56,3
302,87,62676.5,20297.74,3
303,74,42558.0,15641.5,14
304,94,76430.0,18413.64,2
305,90,52934.1,26007.34,5
306,92,53163.7,26743.1,4
307,96,152512.6,33337.94,0
308,89,57142.7,27133.01,11
309,90,48683.2,18386.55,5
310,88,53323.0,15993.37,3
311,94,70367.4,18668.5,5
312,94,161824.5,32363.39,1
313,92,73752.5,34485.18,8
314,98,60086.7,18527.39,0
315,88,54324.2,19948.14,5
317,97,123713.0,25791.61,0
318,87,75186.3,22986.93,8
319,0,75547.0,107717.2,43
320,95,56007.7,17047.91,5
321,82,48455.0,17378.83,14
322,94,68715.4,25122.89,0
323,96,81180.8,28540.5,2
324,88,61918.0,26784.06,2
326,92,119432.4,24687.8,1
327,95,68643.5,14140.1,0
328,90,69399.6,21726.47,1
329,85,57325.0,18039.45,9
330,84,56726.6,23669.72,8
331,78,109532.4,27720.33,11
332,90,67910.2,16863.6,5
333,94,54844.2,17015.69,0
334,94,136470.7,26952.8,1
335,92,61757.5,18690.08,4
336,77,57930.5,23182.34,14
337,91,99576.0,23636.09,4
338,92,55901.5,20676.12,0
339,79,54676.2,19877.83,17
341,84,70631.3,18169.54,5
342,74,63833.2,30012.19,10
343,98,66544.8,19693.89,1
344,89,60823.0,18128.21,2
345,97,123948.4,37089.06,0
346,97,112522.0,31355.75,1
348,89,98875.1,21996.25,5
350,95,62542.2,19158.07,5
351,97,115458.2,26396.92,1
353,96,54853.2,20760.99,4
354,74,53364.0,25724.35,14
355,94,61093.7,18344.65,3
356,93,60148.9,19452.88,2
357,94,110562.0,26934.25,2
358,89,55963.2,15937.75,7
359,87,58174.6,20754.3,4
360,92,124833.8,28071.16,3
361,94,144161.5,22853.8,2
363,98,146793.2,25655.38,0
364,98,59716.7,21017.92,0
365,92,76931.4,19566.23,3
366,88,58460.8,25293.61,8
