,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
82,CAMPBELL-SAVONA CSD,95,3,20618.32,791,373,418,748,5.4
83,CANAJOHARIE CSD,94,4,21495.74,818,416,402,767,6.2
84,CANANDAIGUA CITY SCHOOL DISTRICT,92,4,17678.85,3357,1720,1637,2929,12.7
85,CANASERAGA CSD,71,18,24196.83,199,94,105,188,5.5
86,CANASTOTA CSD,84,7,17657.10,1275,645,630,1147,10.0
87,CANDOR CSD,93,3,19391.18,718,354,364,666,7.2
88,CANISTEO-GREENWOOD CSD,93,4,22874.26,935,495,440,895,4.3
89,CANTON CSD,82,1,20152.15,1171,610,561,1085,7.3
90,CARLE PLACE UFSD,98,0,32591.09,1358,712,646,877,35.4
91,CARMEL CSD,92,3,27298.65,3979,2034,1945,2483,37.6
92,CARTHAGE CSD,89,5,17149.15,3065,1602,1463,2271,25.9
93,CASSADAGA VALLEY CSD,88,7,20862.54,799,422,377,751,6.0
94,CATO-MERIDIAN CSD,89,5,18088.09,860,449,411,790,8.1
95,CATSKILL CSD,91,4,24088.35,1350,668,682,906,32.9
96,CATTARAUGUS-LITTLE VALLEY CSD,93,4,19362.54,858,431,427,799,6.9
97,CAZENOVIA CSD,94,2,17708.25,1360,727,633,1279,6.0
98,CENTER MORICHES UFSD,93,1,24593.36,1513,788,725,1107,26.8
99,CENTRAL ISLIP UFSD,88,1,21656.92,7571,3929,3642,299,96.1
100,CENTRAL SQUARE CSD,87,8,17310.54,3580,1827,1753,3363,6.1
101,CENTRAL VALLEY CSD AT ILION-MOHAWK,87,5,15522.11,2082,1025,1057,1887,9.4
102,CHAPPAQUA CSD,99,0,29069.23,3625,1870,1755,2685,25.9
103,CHARLOTTE VALLEY CSD,0,4,19819.35,382,202,180,354,7.3
104,CHATEAUGAY CSD,97,3,20495.72,451,243,208,445,1.3
105,CHATHAM CSD,94,4,25024.45,971,491,480,845,13.0
106,CHAUTAUQUA LAKE CSD,85,3,23416.94,706,328,378,670,5.1
107,CHAZY UFSD,94,6,19209.93,455,234,221,429,5.7
108,CHEEKTOWAGA CSD,87,7,16544.11,2138,1109,1029,846,60.4
109,CHEEKTOWAGA-MARYVALE UFSD,87,5,15434.40,2087,1081,1006,1506,27.8
110,CHEEKTOWAGA-SLOAN UFSD,86,5,19755.19,1232,641,591,942,23.5
111,CHENANGO FORKS CSD,93,0,18273.44,1340,727,613,1236,7.8
112,CHENANGO VALLEY CSD,91,5,18101.82,1648,841,807,1471,10.7
113,CHERRY VALLEY-SPRINGFIELD CSD,79,3,24150.04,422,219,203,413,2.1
114,CHESTER UFSD,90,1,24039.21,986,489,497,458,53.5
115,CHITTENANGO CSD,90,3,17253.94,1904,971,933,1745,8.4
116,CHURCHVILLE-CHILI CSD,91,2,15793.94,3751,1944,1807,2884,23.1
117,CINCINNATUS CSD,90,5,21748.43,514,239,275,502,2.3
118,CLARENCE CSD,95,2,15613.47,4228,2170,2058,3718,12.1
119,CLARKSTOWN CSD,95,1,22878.82,7821,4098,3723,4540,42.0
120,CLEVELAND HILL UFSD,85,6,18076.74,1254,634,620,597,52.4
121,CLIFTON-FINE CSD,77,0,28678.72,276,134,142,253,8.3
122,CLINTON CSD,96,1,17575.94,1258,649,609,1142,9.2
123,CLYDE-SAVANNAH CSD,78,17,21555.55,754,385,369,640,15.1
124,CLYMER CSD,93,0,21086.05,414,221,193,375,9.4
125,COBLESKILL-RICHMONDVILLE CSD,93,3,20054.26,1639,878,761,1475,10.0
126,COHOES CITY SCHOOL DISTRICT,84,11,17770.18,1873,943,930,1332,28.9
127,COLD SPRING HARBOR CSD,99,0,33287.48,1635,838,797,1408,13.9
128,COLTON-PIERREPONT CSD,94,0,22481.64,339,169,170,337,0.6
129,COMMACK UFSD,97,0,26170.47,5875,3018,2857,4508,23.3
130,CONNETQUOT CSD,95,2,28395.35,5509,2786,2723,4040,26.7
131,COOPERSTOWN CSD,99,1,19740.77,818,413,405,746,8.8
132,COPENHAGEN CSD,100,0,18762.25,393,212,181,363,7.6
133,COPIAGUE UFSD,89,7,18858.63,4965,2443,2522,609,87.7
134,CORINTH CSD,86,6,15265.53,1139,586,553,1084,4.8
135,CORNING CITY SCHOOL DISTRICT,88,6,19702.53,4551,2359,2192,3936,13.5
136,CORNWALL CSD,96,3,18883.36,3102,1632,1470,2001,35.5
137,CORTLAND CITY SCHOOL DISTRICT,80,7,18587.04,2132,1092,1040,1811,15.1
138,COXSACKIE-ATHENS CSD,82,7,20955.92,1242,679,563,1050,15.5
139,CROTON-HARMON UFSD,96,0,23468.52,1584,820,764,1130,28.7
140,CROWN POINT CSD,95,5,20638.87,286,135,151,284,0.7
141,CUBA-RUSHFORD CSD,92,0,19895.03,780,433,347,741,5.0
142,DALTON-NUNDA CSD (KESHEQUA),98,0,20242.29,589,297,292,574,2.5
143,DANSVILLE CSD,85,10,17846.30,1304,652,652,1217,6.7
144,DEER PARK UFSD,92,1,24053.21,3864,1984,1880,1405,63.6
145,DELAWARE ACADEMY CSD AT DELHI,90,0,20269.67,747,379,368,706,5.5
146,DEPEW UFSD,85,5,16749.58,1784,905,879,1518,14.9
147,DEPOSIT CSD,97,3,26448.82,458,242,216,440,3.9
148,DERUYTER CSD,88,6,24461.18,326,168,158,302,7.4
149,DOBBS FERRY UFSD,99,0,27547.73,1516,783,733,982,35.2
150,DOLGEVILLE CSD,87,9,17450.78,815,393,422,803,1.5
151,DOVER UFSD,84,6,20364.65,1351,691,660,834,38.3
152,DOWNSVILLE CSD,85,8,36396.35,207,98,109,191,7.7
153,DRYDEN CSD,68,14,22428.41,1364,699,665,1148,15.8
154,DUANESBURG CSD,98,2,18262.05,651,339,312,611,6.1
155,DUNDEE CSD,68,23,20317.42,621,330,291,568,8.5
156,DUNKIRK CITY SCHOOL DISTRICT,71,19,21073.97,1957,996,961,705,64.0
157,EAST AURORA UFSD,97,1,14972.77,1758,902,856,1659,5.6
158,EAST BLOOMFIELD CSD,94,2,19459.40,816,420,396,747,8.5
159,EAST GREENBUSH CSD,96,2,17840.81,4088,2049,2039,3225,21.1
