,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
351,LONG BEACH CITY SCHOOL DISTRICT,97,1,31355.75,3613,1879,1734,2098,41.9
352,LONG LAKE CSD,—,—,52830.45,59,32,27,56,5.1
353,LONGWOOD CSD,89,5,21996.25,9042,4626,4416,4107,54.6
354,LOWVILLE ACADEMY & CSD,92,5,16364.30,1283,653,630,1201,6.4
355,LYME CSD,95,5,19158.07,331,157,174,308,6.9
356,LYNBROOK UFSD,97,1,26396.92,2787,1422,1365,1871,32.9
357,LYNCOURT UFSD,—,—,20346.46,373,196,177,196,47.5
358,LYNDONVILLE CSD,96,4,20760.99,586,296,290,515,12.1
359,LYONS CSD,74,14,25724.35,833,434,399,621,25.5
360,MADISON CSD,94,3,18344.65,454,212,242,446,1.8
361,MADRID-WADDINGTON CSD,93,2,19452.88,655,331,324,632,3.5
362,MAHOPAC CSD,94,2,26934.25,3972,2029,1943,2840,28.5
363,MAINE-ENDWELL CSD,89,7,15937.75,2459,1226,1233,2154,12.4
364,MALONE CSD,87,4,20754.30,2199,1191,1008,2125,3.4
365,MALVERNE UFSD,92,3,28071.16,1724,910,814,311,82.0
366,MAMARONECK UFSD,94,2,22853.80,5596,2917,2679,3796,32.2
367,MANCHESTER-SHORTSVILLE CSD (RED JACK,82,4,18766.55,763,404,359,673,11.8
368,MANHASSET UFSD,98,0,25655.38,3163,1680,1483,2026,35.9
369,MARATHON CSD,98,0,21017.92,653,327,326,631,3.4
370,MARCELLUS CSD,92,3,19566.23,1505,802,703,1432,4.9
371,MARGARETVILLE CSD,88,8,25293.61,330,164,166,233,29.4
372,MARION CSD,86,4,22443.32,634,311,323,550,13.2
373,MARLBORO CSD,91,4,21764.90,1891,968,923,1188,37.2
374,MASSAPEQUA UFSD,98,1,25406.75,6713,3337,3376,6004,10.6
375,MASSENA CSD,84,7,16440.97,2475,1222,1253,2122,14.3
376,MATTITUCK-CUTCHOGUE UFSD,93,1,31170.72,1101,584,517,848,23.0
377,MAYFIELD CSD,90,4,18856.31,842,437,405,790,6.2
378,MCGRAW CSD,89,5,18417.53,527,256,271,503,4.6
379,MECHANICVILLE CITY SCHOOL DISTRICT,94,4,16937.42,1346,717,629,1195,11.2
380,MEDINA CSD,84,8,18543.05,1387,672,715,1074,22.6
381,MENANDS UFSD,—,—,17152.22,305,162,143,78,74.4
382,MERRICK UFSD,—,—,29454.36,1510,768,742,1300,13.9
383,MEXICO CSD,90,3,21774.73,1944,991,953,1833,5.7
384,MIDDLE COUNTRY CSD,91,4,22520.78,9050,4660,4390,5360,40.8
385,MIDDLEBURGH CSD,93,4,26103.54,654,316,338,633,3.2
386,MIDDLETOWN CITY SCHOOL DISTRICT,83,9,19264.71,7405,3739,3666,937,87.3
387,MILFORD CSD,88,4,24297.78,334,176,158,320,4.2
388,MILLBROOK CSD,96,0,26186.89,880,451,429,686,22.0
389,MILLER PLACE UFSD,97,1,24358.13,2490,1308,1182,2128,14.5
390,MINEOLA UFSD,94,2,28437.39,2790,1460,1330,1417,49.2
391,MINERVA CSD,40,20,41834.28,99,45,54,92,7.1
392,MINISINK VALLEY CSD,89,1,19866.22,3493,1779,1714,2588,25.9
394,MONROE-WOODBURY CSD,91,4,21906.32,6702,3384,3318,3186,52.5
395,MONTAUK UFSD,—,—,44925.84,286,146,140,182,36.4
396,MONTICELLO CSD,83,7,23954.20,2786,1424,1362,1165,58.2
397,MORAVIA CSD,84,9,18050.12,873,434,439,836,4.2
398,MORIAH CSD,89,6,20297.03,666,342,324,661,0.8
399,MORRIS CSD,77,0,23527.09,310,165,145,283,8.7
400,MORRISTOWN CSD,82,14,21795.55,322,167,155,308,4.3
401,MORRISVILLE-EATON CSD,88,8,20737.05,588,289,299,543,7.7
402,MOUNT MARKHAM CSD,86,8,19200.39,1038,527,511,997,3.9
403,MT MORRIS CSD,85,10,21224.05,515,264,251,359,30.3
404,MT PLEASANT CSD,96,0,27690.51,1902,993,909,1506,20.8
405,MT PLEASANT-BLYTHEDALE UFSD,0,0,N/A,124,68,56,37,70.2
406,MT PLEASANT-COTTAGE UFSD,9,27,N/A,214,103,111,23,89.3
407,MT SINAI UFSD,97,1,22321.61,2176,1131,1045,1802,17.2
408,MT VERNON SCHOOL DISTRICT,68,10,27660.55,7326,3755,3571,329,95.5
409,NANUET UFSD,94,1,25962.31,2218,1126,1092,1040,53.1
410,NAPLES CSD,87,4,17557.81,599,305,294,581,3.0
411,NEW HARTFORD CSD,97,1,17848.92,2553,1308,1245,2174,14.8
412,NEW HYDE PARK-GARDEN CITY PARK UFSD,—,—,19533.70,1719,882,837,402,76.6
413,NEW LEBANON CSD,92,5,9766.29,409,205,204,377,7.8
414,NEW PALTZ CSD,94,3,25094.98,2037,1036,1001,1534,24.7
415,NEW ROCHELLE CITY SCHOOL DISTRICT,80,3,22932.93,10286,5394,4892,2577,74.9
416,NEW SUFFOLK COMMON SCHOOL DISTRICT,—,—,36043.61,16,9,7,13,18.8
417,NEWARK CSD,88,9,20106.84,1983,1014,969,1394,29.7
418,NEWARK VALLEY CSD,88,5,18004.61,1075,547,528,1028,4.4
419,NEWBURGH CITY SCHOOL DISTRICT,78,10,21654.67,10913,5664,5249,1816,83.4
420,NEWCOMB CSD,100,0,59290.50,68,39,29,64,5.9
421,NEWFANE CSD,92,5,20242.16,1333,677,656,1236,7.3
422,NEWFIELD CSD,84,6,22438.23,728,355,373,586,19.5
423,NIAGARA FALLS CITY SCHOOL DISTRICT,64,24,16647.70,6572,3240,3332,2563,61.0
424,NIAGARA-WHEATFIELD CSD,90,5,17860.17,3411,1738,1673,2691,21.1
425,NISKAYUNA CSD,94,1,15876.85,4294,2239,2055,2952,31.3
426,NORTH BABYLON UFSD,93,4,25157.29,4539,2335,2204,1634,64.0
427,NORTH BELLMORE UFSD,—,—,22631.36,2020,1014,1006,1419,29.8
428,NORTH COLLINS CSD,92,4,21209.35,547,277,270,497,9.1
429,NORTH COLONIE CSD,93,3,16378.28,5887,2974,2913,3702,37.1
430,NORTH GREENBUSH COMMON SCHOOL DISTRICT (WILLIAMS),—,—,37967.85,13,5,8,11,15.4
431,NORTH MERRICK UFSD,—,—,25386.74,1188,610,578,868,26.9
432,NORTH ROSE-WOLCOTT CSD,87,6,21632.65,1114,535,579,966,13.3
433,NORTH SALEM CSD,96,2,34752.96,1046,523,523,775,25.9
434,NORTH SHORE CSD,96,0,36171.47,2567,1332,1235,1975,23.1
435,NORTH SYRACUSE CSD,87,5,15859.19,8175,4198,3977,6611,19.1
436,NORTH TONAWANDA CITY SCHOOL DISTRICT,86,7,17409.10,3184,1593,1591,2836,10.9
437,NORTH WARREN CSD,92,5,22431.62,493,269,224,449,8.9
438,NORTHEAST CSD,87,6,26227.20,626,333,293,435,30.5
439,NORTHEASTERN CLINTON CSD,81,9,22148.23,1235,622,613,1183,4.2
440,NORTHERN ADIRONDACK CSD,86,9,25473.35,785,418,367,777,1.0
441,NORTHPORT-EAST NORTHPORT UFSD,96,2,28285.29,5053,2646,2407,4092,19.0
442,NORTHVILLE CSD,94,3,20631.26,420,197,223,386,8.1
443,NORWICH CITY SCHOOL DISTRICT,86,4,18999.60,1672,848,824,1515,9.4
444,NORWOOD-NORFOLK CSD,90,5,20364.35,943,473,470,907,3.8
445,NY MILLS UFSD,87,4,22734.23,541,267,274,480,11.3
446,NYACK UFSD,91,5,24606.88,2866,1432,1434,1210,57.8
448,NYC GEOG DIST # 1 - MANHATTAN,68,8,N/A,10473,5481,4992,1928,81.6
449,NYC GEOG DIST # 2 - MANHATTAN,81,5,N/A,59568,28456,31112,15819,73.4
450,NYC GEOG DIST # 3 - MANHATTAN,81,3,N/A,21132,9599,11533,7076,66.5
451,NYC GEOG DIST # 4 - MANHATTAN,85,4,N/A,11510,5594,5916,574,95.0
452,NYC GEOG DIST # 5 - MANHATTAN,74,5,N/A,9332,4954,4378,597,93.6
453,NYC GEOG DIST # 6 - MANHATTAN,75,5,N/A,19124,9709,9415,1062,94.4
454,NYC GEOG DIST # 7 - BRONX,69,9,N/A,16318,8639,7679,244,98.5
455,NYC GEOG DIST # 8 - BRONX,66,13,N/A,24613,12660,11953,1382,94.4
456,NYC GEOG DIST # 9 - BRONX,74,9,N/A,29653,14989,14664,392,98.7
457,NYC GEOG DIST #10 - BRONX,80,7,N/A,49381,25187,24194,2927,94.1
458,NYC GEOG DIST #11 - BRONX,75,8,N/A,35438,18643,16795,3164,91.1
459,NYC GEOG DIST #12 - BRONX,63,12,N/A,19427,10007,9420,280,98.6
460,NYC GEOG DIST #13 - BROOKLYN,90,2,N/A,19994,10672,9322,3446,82.8
461,NYC GEOG DIST #14 - BROOKLYN,82,5,N/A,16583,8684,7899,2463,85.1
462,NYC GEOG DIST #15 - BROOKLYN,71,5,N/A,29846,14881,14965,8982,69.9
463,NYC GEOG DIST #16 - BROOKLYN,60,5,N/A,5425,2891,2534,148,97.3
464,NYC GEOG DIST #17 - BROOKLYN,74,6,N/A,19019,9361,9658,592,96.9
465,NYC GEOG DIST #18 - BROOKLYN,67,6,N/A,12417,6499,5918,420,96.6
466,NYC GEOG DIST #19 - BROOKLYN,79,6,N/A,19389,10230,9159,401,97.9
467,NYC GEOG DIST #20 - BROOKLYN,76,7,N/A,49535,25915,23620,12135,75.5
468,NYC GEOG DIST #21 - BROOKLYN,77,6,N/A,33868,17379,16489,10970,67.6
469,NYC GEOG DIST #22 - BROOKLYN,85,3,N/A,31931,16127,15804,10397,67.4
470,NYC GEOG DIST #23 - BROOKLYN,52,12,N/A,7714,4315,3399,103,98.7
471,NYC GEOG DIST #24 - QUEENS,80,5,N/A,54124,28429,25695,7141,86.8
472,NYC GEOG DIST #25 - QUEENS,76,5,N/A,35583,18163,17420,4026,88.7
473,NYC GEOG DIST #26 - QUEENS,92,3,N/A,30802,15826,14976,4705,84.7
474,NYC GEOG DIST #27 - QUEENS,76,10,N/A,40675,21347,19328,4072,90.0
475,NYC GEOG DIST #28 - QUEENS,84,5,N/A,38378,19482,18896,5989,84.4
476,NYC GEOG DIST #29 - QUEENS,77,6,N/A,23776,12395,11381,419,98.2
477,NYC GEOG DIST #30 - QUEENS,86,4,N/A,36697,18539,18158,6109,83.4
478,NYC GEOG DIST #31 - STATEN ISLAND,84,4,N/A,57787,29605,28182,25639,55.6
479,NYC GEOG DIST #32 - BROOKLYN,75,8,N/A,9850,5045,4805,233,97.6
481,NYC SPEC SCHOOLS - DIST 75,—,—,N/A,25358,18632,6726,3230,87.3
482,OAKFIELD-ALABAMA CSD,85,3,18394.15,772,379,393,720,6.7
483,OCEANSIDE UFSD,94,0,22535.44,5506,2852,2654,3889,29.4
484,ODESSA-MONTOUR CSD,93,4,18234.83,723,379,344,675,6.6
485,OGDENSBURG CITY SCHOOL DISTRICT,80,12,22365.24,1475,763,712,1446,2.0
486,OLEAN CITY SCHOOL DISTRICT,74,10,18698.78,1925,1008,917,1567,18.6
487,ONEIDA CITY SCHOOL DISTRICT,85,9,18768.60,1857,923,934,1641,11.6
488,ONEONTA CITY SCHOOL DISTRICT,84,7,17884.13,1734,885,849,1360,21.6
489,ONONDAGA CSD,90,6,19020.04,768,369,399,558,27.3
490,ONTEORA CSD,87,4,38615.96,1201,597,604,897,25.3
492,OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,85,9,21080.92,689,335,354,668,3.0
493,ORCHARD PARK CSD,97,0,18291.68,4649,2318,2331,4304,7.4
494,ORISKANY CSD,92,2,20301.77,569,294,275,523,8.1
495,OSSINING UFSD,80,2,22422.60,4774,2464,2310,976,79.6
496,OSWEGO CITY SCHOOL DISTRICT,81,8,19998.39,3626,1870,1756,3254,10.3
497,OTEGO-UNADILLA CSD,87,5,21458.71,716,338,378,631,11.9
498,OTSELIC VALLEY CSD,94,3,27026.81,291,142,149,286,1.7
499,OWEGO-APALACHIN CSD,92,3,18179.70,1922,990,932,1825,5.0
500,OXFORD ACADEMY & CSD,95,2,22363.77,706,349,357,651,7.8
501,OYSTER BAY-EAST NORWICH CSD,95,3,31106.27,1528,776,752,964,36.9
502,OYSTERPONDS UFSD,—,—,39628.60,65,29,36,45,30.8
503,PALMYRA-MACEDON CSD,91,7,18477.61,1789,927,862,1657,7.4
504,PANAMA CSD,100,0,21679.03,436,223,213,412,5.5
505,PARISHVILLE-HOPKINTON CSD,97,0,25102.89,365,187,178,361,1.1
506,PATCHOGUE-MEDFORD UFSD,86,4,22688.05,7349,3796,3553,3232,56.0
507,PAVILION CSD,83,11,21512.28,638,332,306,605,5.2
508,PAWLING CSD,93,0,28302.88,1114,571,543,786,29.4
509,PEARL RIVER UFSD,96,1,23852.00,2361,1207,1154,1816,23.1
510,PEEKSKILL CITY SCHOOL DISTRICT,80,8,22977.07,3352,1791,1561,230,93.1
511,PELHAM UFSD,98,0,22511.94,2913,1515,1398,1901,34.7
512,PEMBROKE CSD,92,2,21102.75,910,435,475,851,6.5
513,PENFIELD CSD,97,1,16744.56,4587,2333,2254,3780,17.6
514,PENN YAN CSD,87,8,22166.64,1312,640,672,1213,7.5
515,PERRY CSD,92,3,18437.89,772,389,383,696,9.8
516,PERU CSD,89,7,21325.68,1822,948,874,1716,5.8
517,PHELPS-CLIFTON SPRINGS CSD,85,11,18223.93,1549,809,740,1386,10.5
518,PHOENIX CSD,87,8,21337.44,1644,839,805,1558,5.2
519,PINE BUSH CSD,91,4,20058.09,4925,2563,2362,3413,30.7
520,PINE PLAINS CSD,89,5,28458.63,855,425,430,670,21.6
521,PINE VALLEY CSD (SOUTH DAYTON),66,15,24415.35,485,243,242,438,9.7
522,PITTSFORD CSD,98,0,19861.85,5588,2876,2712,4083,26.9
523,PLAINEDGE UFSD,95,0,26342.58,2823,1454,1369,2434,13.8
524,PLAINVIEW-OLD BETHPAGE CSD,96,0,26869.50,4955,2547,2408,3284,33.7
525,PLATTSBURGH CITY SCHOOL DISTRICT,84,8,21291.56,1800,935,865,1544,14.2
526,PLEASANTVILLE UFSD,93,1,25303.29,1695,877,818,1283,24.3
527,POCANTICO HILLS CSD,—,—,53858.30,285,137,148,110,61.4
528,POLAND CSD,93,7,23870.17,487,242,245,453,7.0
529,PORT BYRON CSD,86,4,23478.26,728,356,372,688,5.5
530,PORT CHESTER-RYE UFSD,82,5,17876.84,4775,2502,2273,603,87.4
531,PORT JEFFERSON UFSD,96,1,35628.81,1022,526,496,778,23.9
532,PORT JERVIS CITY SCHOOL DISTRICT,86,6,25319.90,2444,1245,1199,1609,34.2
533,PORT WASHINGTON UFSD,93,2,25331.03,5364,2749,2615,3377,37.0
534,PORTVILLE CSD,95,3,14307.29,986,469,517,921,6.6
535,POTSDAM CSD,95,3,20234.62,1234,667,567,1124,8.9
536,POUGHKEEPSIE CITY SCHOOL DISTRICT,60,19,21427.37,4154,2184,1970,260,93.7
537,PRATTSBURGH CSD,84,4,18240.82,360,179,181,331,8.1
538,PULASKI CSD,87,4,20825.86,924,465,459,889,3.8
539,PUTNAM CSD,—,—,23009.37,28,19,9,28,0.0
540,PUTNAM VALLEY CSD,97,1,26817.67,1598,808,790,1095,31.5
542,QUEENSBURY UFSD,90,3,16548.22,3135,1622,1513,2915,7.0
543,QUOGUE UFSD,—,—,69868.40,77,38,39,59,23.4
544,RANDOLPH ACAD UFSD,—,—,N/A,164,118,46,103,37.2
545,RANDOLPH CSD,99,0,18397.12,846,421,425,753,11.0
546,RAVENA-COEYMANS-SELKIRK CSD,88,6,18848.63,1768,895,873,1431,19.1
547,RED CREEK CSD,88,10,21345.38,783,424,359,744,5.0
548,RED HOOK CSD,91,4,24227.11,1766,918,848,1474,16.5
549,REMSEN CSD,87,0,26257.19,405,216,189,391,3.5
550,REMSENBURG-SPEONK UFSD,—,—,58547.76,132,66,66,96,27.3
551,RENSSELAER CITY SCHOOL DISTRICT,84,5,17978.00,1028,524,504,570,44.6
552,RHINEBECK CSD,93,1,30026.67,944,466,478,784,16.9
553,RICHFIELD SPRINGS CSD,92,8,24034.39,402,223,179,380,5.5
555,RIPLEY CSD,—,—,33327.70,123,61,62,117,4.9
556,RIVERHEAD CSD,76,13,18810.89,5829,3028,2801,1925,67.0
557,ROCHESTER CITY SCHOOL DISTRICT,68,13,19885.50,25017,12904,12113,2394,90.4
558,ROCKVILLE CENTRE UFSD,98,0,29490.95,3579,1855,1724,2631,26.5
559,ROCKY POINT UFSD,95,4,24991.00,2905,1441,1464,2264,22.1
560,ROME CITY SCHOOL DISTRICT,82,8,17823.87,5320,2736,2584,4204,21.0
561,ROMULUS CSD,82,6,20890.39,434,210,224,386,11.1
562,RONDOUT VALLEY CSD,88,8,28695.99,1869,978,891,1572,15.9
563,ROOSEVELT UFSD,75,16,20300.43,3346,1780,1566,2,99.9
564,ROSCOE CSD,89,0,30693.78,220,120,100,190,13.6
565,ROSLYN UFSD,99,1,29181.70,3195,1622,1573,2165,32.2
566,ROTTERDAM-MOHONASEN CSD,91,3,15118.77,2798,1418,1380,2130,23.9
567,ROXBURY CSD,86,0,34739.37,239,112,127,229,4.2
568,ROYALTON-HARTLAND CSD,92,6,16056.73,1206,587,619,1101,8.7
569,RUSH-HENRIETTA CSD,92,3,19635.20,5387,2725,2662,3091,42.6
570,RYE CITY SCHOOL DISTRICT,96,0,25422.18,3234,1670,1564,2567,20.6
571,RYE NECK UFSD,93,1,22836.77,1572,809,763,983,37.5
572,SACHEM CSD,94,2,20861.50,12351,6266,6085,8650,30.0
573,SACKETS HARBOR CSD,90,5,18003.63,418,204,214,373,10.8
574,SAG HARBOR UFSD,89,3,38192.07,919,461,458,664,27.7
575,SAGAPONACK COMMON SCHOOL DISTRICT,—,—,55333.31,16,9,7,15,6.2
576,SALAMANCA CITY SCHOOL DISTRICT,79,3,24617.42,1213,628,585,601,50.5
577,SALEM CSD,78,12,19489.37,524,286,238,496,5.3
578,SALMON RIVER CSD,85,6,26274.61,1389,703,686,449,67.7
579,SANDY CREEK CSD,90,3,25117.81,742,396,346,708,4.6
580,SARANAC CSD,90,7,22036.63,1395,714,681,1345,3.6
581,SARANAC LAKE CSD,93,4,24587.99,1150,602,548,1118,2.8
582,SARATOGA SPRINGS CITY SCHOOL DISTRICT,92,4,17059.93,6248,3164,3084,5511,11.8
583,SAUGERTIES CSD,84,10,21994.66,2449,1205,1244,1846,24.6
584,SAUQUOIT VALLEY CSD,93,3,17140.41,943,463,480,871,7.6
585,SAYVILLE UFSD,97,0,27033.14,2822,1445,1377,2458,12.9
586,SCARSDALE UFSD,98,1,28842.09,4749,2450,2299,3019,36.4
587,SCHALMONT CSD,90,4,18953.56,1799,940,859,1535,14.7
588,SCHENECTADY CITY SCHOOL DISTRICT,74,11,18266.00,9243,4779,4464,1890,79.6
589,SCHENEVUS CSD,81,9,21163.27,330,177,153,311,5.8
590,SCHODACK CSD,97,0,21104.26,900,465,435,829,7.9
591,SCHOHARIE CSD,89,4,20304.39,889,469,420,840,5.5
592,SCHROON LAKE CSD,100,0,25128.01,259,136,123,255,1.5
593,SCHUYLERVILLE CSD,96,2,19497.47,1517,770,747,1442,4.9
594,SCIO CSD,81,16,25594.63,302,165,137,293,3.0
595,SCOTIA-GLENVILLE CSD,88,6,19185.24,2371,1257,1114,2127,10.3
596,SEAFORD UFSD,95,2,26115.27,2247,1146,1101,1968,12.4
597,SENECA FALLS CSD,87,6,16786.23,1198,618,580,984,17.9
598,SEWANHAKA CENTRAL HS DISTRICT,95,1,20338.62,8140,4213,3927,2578,68.3
599,SHARON SPRINGS CSD,94,6,38377.69,226,109,117,210,7.1
600,SHELTER ISLAND UFSD,96,4,48559.74,192,99,93,127,33.9
601,SHENENDEHOWA CSD,92,3,15279.98,9535,4806,4729,7120,25.3
602,SHERBURNE-EARLVILLE CSD,86,3,20802.82,1286,670,616,1236,3.9
603,SHERMAN CSD,91,3,20545.12,402,217,185,386,4.0
604,SHERRILL CITY SCHOOL DISTRICT,95,3,16933.80,1805,951,854,1711,5.2
605,SHOREHAM-WADING RIVER CSD,94,1,26463.85,2039,1042,997,1768,13.3
606,SIDNEY CSD,93,4,19569.51,1057,550,507,916,13.3
607,SILVER CREEK CSD,89,4,19547.02,1022,495,527,728,28.8
608,SKANEATELES CSD,94,2,19456.71,1283,682,601,1206,6.0
609,SMITHTOWN CSD,95,0,24979.97,8398,4222,4176,6751,19.6
610,SODUS CSD,86,4,20747.89,965,512,453,573,40.6
611,SOLVAY UFSD,89,1,18811.28,1380,695,685,986,28.6
612,SOMERS CSD,94,0,27456.96,2862,1465,1397,2378,16.9
613,SOUTH COLONIE CSD,94,2,18621.48,4671,2335,2336,3012,35.5
614,SOUTH COUNTRY CSD,83,8,26730.96,4065,2111,1954,1498,63.1
615,SOUTH GLENS FALLS CSD,88,5,15609.87,2916,1522,1394,2667,8.5
616,SOUTH HUNTINGTON UFSD,89,3,23839.17,5849,3047,2802,2214,62.1
617,SOUTH JEFFERSON CSD,88,3,15009.88,1814,904,910,1706,6.0
618,SOUTH KORTRIGHT CSD,94,0,20685.26,330,170,160,306,7.3
619,SOUTH LEWIS CSD,85,6,21091.90,976,493,483,926,5.1
620,SOUTH ORANGETOWN CSD,93,2,27002.95,2910,1436,1474,1967,32.4
621,SOUTH SENECA CSD,90,7,28768.85,618,291,327,587,5.0
622,SOUTHAMPTON UFSD,89,2,35375.27,1471,777,694,653,55.6
623,SOUTHERN CAYUGA CSD,86,9,20456.50,664,331,333,548,17.5
624,SOUTHOLD UFSD,87,9,34388.43,769,417,352,479,37.7
625,SOUTHWESTERN CSD AT JAMESTOWN,92,4,16269.54,1300,703,597,1142,12.2
626,SPACKENKILL UFSD,90,4,28094.81,1448,751,697,841,41.9
627,SPENCER-VAN ETTEN CSD,81,8,21091.38,831,420,411,789,5.1
628,SPENCERPORT CSD,91,4,18387.91,3618,1876,1742,2879,20.4
629,SPRINGS UFSD,—,—,25059.64,668,365,303,256,61.7
630,SPRINGVILLE-GRIFFITH INST CSD,96,1,19368.61,1647,843,804,1554,5.6
632,ST REGIS FALLS CSD,95,0,27120.59,249,125,124,229,8.0
633,STAMFORD CSD,71,10,25978.35,263,117,146,244,7.2
634,STARPOINT CSD,93,3,14872.59,2911,1468,1443,2714,6.8
635,STILLWATER CSD,84,11,19288.45,1014,509,505,956,5.7
636,STOCKBRIDGE VALLEY CSD,90,7,20271.97,410,205,205,380,7.3
637,SUFFERN CSD,92,4,27125.39,4012,2024,1988,2040,49.2
638,SULLIVAN WEST CSD,90,8,26133.65,1014,532,482,861,15.1
639,SUSQUEHANNA VALLEY CSD,87,7,20962.12,1426,748,678,1277,10.4
640,SWEET HOME CSD,94,3,19798.51,3261,1742,1519,2032,37.7
641,SYOSSET CSD,99,0,30765.31,6580,3414,3166,3430,47.9
642,SYRACUSE CITY SCHOOL DISTRICT,71,11,19030.39,19011,9916,9095,4170,78.1
643,TACONIC HILLS CSD,75,12,24336.16,1205,612,593,961,20.2
644,THOUSAND ISLANDS CSD,95,3,19397.93,867,425,442,794,8.4
645,THREE VILLAGE CSD,96,1,31655.63,5809,2922,2887,4476,22.9
646,TICONDEROGA CSD,91,5,23812.19,682,361,321,669,1.9
647,TIOGA CSD,91,4,15563.69,886,446,440,860,2.9
648,TONAWANDA CITY SCHOOL DISTRICT,93,3,16138.80,1729,880,849,1505,13.0
649,TOWN OF WEBB UFSD,100,0,26872.80,259,136,123,250,3.5
650,TRI-VALLEY CSD,75,19,27786.88,930,495,435,754,18.9
651,TROY CITY SCHOOL DISTRICT,88,7,19801.65,3842,1927,1915,1527,60.3
652,TRUMANSBURG CSD,91,0,20889.47,999,514,485,853,14.6
653,TUCKAHOE COMMON SCHOOL DISTRICT,—,—,51082.72,253,121,132,65,74.3
654,TUCKAHOE UFSD,99,0,25010.58,1184,615,569,786,33.6
655,TULLY CSD,81,3,19646.46,737,391,346,689,6.5
656,TUPPER LAKE CSD,89,2,20549.25,712,365,347,669,6.0
657,TUXEDO UFSD,100,0,45079.45,222,111,111,143,35.6
658,UFSD-TARRYTOWNS,90,5,25569.87,2682,1355,1327,828,69.1
659,UNADILLA VALLEY CSD,84,3,22294.87,758,368,390,724,4.5
660,UNION SPRINGS CSD,94,0,18831.95,791,431,360,709,10.4
661,UNION-ENDICOTT CSD,88,5,18861.64,3569,1795,1774,2422,32.1
662,UNIONDALE UFSD,78,11,24253.37,6748,3438,3310,103,98.5
663,UTICA CITY SCHOOL DISTRICT,73,13,15176.09,9738,4917,4821,2838,70.9
664,VALHALLA UFSD,93,1,30131.68,1387,706,681,749,46.0
665,VALLEY CSD (MONTGOMERY),92,4,21709.36,4131,2073,2058,2499,39.5
666,VALLEY STREAM 13 UFSD,—,—,21831.30,1963,1049,914,464,76.4
667,VALLEY STREAM 24 UFSD,—,—,23989.49,1097,560,537,195,82.2
668,VALLEY STREAM 30 UFSD,—,—,21680.41,1464,745,719,69,95.3
669,VALLEY STREAM CENTRAL HS DISTRICT,93,2,22335.67,4542,2315,2227,746,83.6
670,VAN HORNESVILLE-OWEN D YOUNG CSD,91,5,23917.91,181,85,96,175,3.3
671,VESTAL CSD,93,2,18422.74,3291,1695,1596,2542,22.8
672,VICTOR CSD,95,2,13662.02,4272,2140,2132,3530,17.4
673,VOORHEESVILLE CSD,96,2,17552.50,1180,581,599,1062,10.0
674,WAINSCOTT COMMON SCHOOL DISTRICT,—,—,28103.79,29,14,15,11,62.1
675,WALLKILL CSD,90,3,21761.44,2831,1482,1349,1847,34.8
676,WALTON CSD,86,11,20436.21,866,433,433,828,4.4
677,WANTAGH UFSD,98,0,24819.00,2770,1397,1373,2357,14.9
678,WAPPINGERS CSD,94,3,19359.75,10645,5511,5134,7327,31.2
679,WARRENSBURG CSD,85,8,23590.05,662,352,310,620,6.3
680,WARSAW CSD,92,7,18447.56,820,390,430,751,8.4
681,WARWICK VALLEY CSD,95,1,18948.67,3569,1818,1751,2669,25.2
682,WASHINGTONVILLE CSD,94,2,20640.42,3801,1904,1897,2268,40.3
683,WATERFORD-HALFMOON UFSD,90,5,23921.21,752,385,367,677,10.0
684,WATERLOO CSD,90,4,20639.44,1538,784,754,1345,12.5
685,WATERTOWN CITY SCHOOL DISTRICT,77,14,14799.55,3972,2061,1911,2747,30.8
686,WATERVILLE CSD,93,0,19097.10,741,395,346,722,2.6
687,WATERVLIET CITY SCHOOL DISTRICT,88,7,13712.89,1296,697,599,592,54.3
688,WATKINS GLEN CSD,95,1,21000.88,983,508,475,898,8.6
689,WAVERLY CSD,90,8,17881.28,1442,713,729,1371,4.9
690,WAYLAND-COHOCTON CSD,94,4,19889.88,1247,621,626,1202,3.6
691,WAYNE CSD,92,4,18290.82,2127,1095,1032,1981,6.9
692,WEBSTER CSD,95,1,17463.98,8151,4194,3957,6741,17.3
693,WEEDSPORT CSD,96,2,21378.37,725,365,360,667,8.0
694,WELLS CSD,89,6,32101.51,135,83,52,131,3.0
695,WELLSVILLE CSD,82,6,19328.04,1077,527,550,1017,5.6
696,WEST BABYLON UFSD,92,4,24688.51,3705,1867,1838,2154,41.9
697,WEST CANADA VALLEY CSD,96,2,21996.67,650,306,344,624,4.0
698,WEST GENESEE CSD,95,0,16351.60,4483,2312,2171,3852,14.1
699,WEST HEMPSTEAD UFSD,89,6,27633.69,1759,930,829,401,77.2
700,WEST IRONDEQUOIT CSD,93,2,17041.73,3620,1885,1735,2541,29.8
701,WEST ISLIP UFSD,98,0,24902.21,4006,2097,1909,3315,17.2
703,WEST SENECA CSD,91,4,16393.80,6214,3178,3036,5279,15.0
704,WEST VALLEY CSD,79,14,36386.31,190,98,92,181,4.7
705,WESTBURY UFSD,84,11,24100.60,4979,2569,2410,98,98.0
