DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
DOVER UFSD,84.0,6.0,20364.65,1351.0,691.0,660.0,38.3,79784.34,No
DOWNSVILLE CSD,85.0,8.0,36396.35,207.0,98.0,109.0,7.7,56483.17,""
DRYDEN CSD,68.0,14.0,22428.41,1364.0,699.0,665.0,15.8,62437.3,Yes
DUANESBURG CSD,98.0,2.0,18262.05,651.0,339.0,312.0,6.1,78887.5,""
DUNDEE CSD,68.0,23.0,20317.42,621.0,330.0,291.0,8.5,56795.0,""
DUNKIRK CITY SD,71.0,19.0,21073.97,1957.0,996.0,961.0,64.0,49307.5,Yes
EAST AURORA UFSD,97.0,1.0,14972.77,1758.0,902.0,856.0,5.6,83121.0,""
EAST BLOOMFIELD CSD,94.0,2.0,19459.4,816.0,420.0,396.0,8.5,75579.86,""
EAST GREENBUSH CSD,96.0,2.0,17840.81,4088.0,2049.0,2039.0,21.1,82376.89,""
EAST HAMPTON UFSD,83.0,9.0,32627.14,1712.0,852.0,860.0,62.6,118018.0,""
EAST IRONDEQUOIT CSD,90.0,6.0,21188.16,2945.0,1488.0,1457.0,55.6,51098.0,""
EAST ISLIP UFSD,95.0,2.0,27025.08,3549.0,1855.0,1694.0,27.2,114191.16,""
EAST MEADOW UFSD,95.0,0.0,24954.87,7240.0,3643.0,3597.0,51.7,119341.0,""
EAST MORICHES UFSD,95.0,0.0,20972.97,684.0,335.0,349.0,18.9,109689.5,""
EAST QUOGUE UFSD,95.0,0.0,30127.26,390.0,203.0,187.0,34.6,84058.66,""
EAST RAMAPO CSD (SPRING VALLEY),65.0,20.0,20759.17,9387.0,4909.0,4478.0,96.6,96434.0,""
EAST ROCHESTER UFSD,80.0,8.0,21751.23,957.0,488.0,469.0,27.3,90799.5,""
EAST ROCKAWAY UFSD,96.0,1.0,27495.82,1173.0,576.0,597.0,40.2,110850.0,""
EAST SYRACUSE MINOA CSD,90.0,1.0,20125.41,3138.0,1608.0,1530.0,14.9,"",""
EAST WILLISTON UFSD,99.0,0.0,29899.6,1722.0,914.0,808.0,42.4,149491.6,""
EASTCHESTER UFSD,99.0,0.0,23455.55,3232.0,1684.0,1548.0,32.9,151468.33,No
EASTPORT-SOUTH MANOR CSD,96.0,2.0,23188.7,3225.0,1646.0,1579.0,13.6,94368.22,""
EDEN CSD,88.0,3.0,17729.04,1307.0,669.0,638.0,6.6,66202.57,""
EDGEMONT UFSD,98.0,0.0,26154.46,2049.0,1061.0,988.0,54.8,152328.0,""
EDINBURG COMN SD,98.0,0.0,37016.86,53.0,26.0,27.0,3.8,58945.5,""
EDMESTON CSD,91.0,3.0,21675.32,355.0,179.0,176.0,5.4,63899.86,""
EDWARDS-KNOX CSD,83.0,5.0,20184.28,485.0,257.0,228.0,2.7,52895.5,""
