,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
291,HUDSON FALLS CSD,79.0,13.0,14076.68,2259,1137,1122,10.2,64791.0,
292,HUNTER-TANNERSVILLE CSD,85.0,4.0,30553.49,331,150,181,19.0,69565.5,
293,HUNTINGTON UFSD,90.0,2.0,23794.52,4459,2307,2152,65.3,131281.5,No
294,HYDE PARK CSD,88.0,6.0,23435.59,3396,1735,1661,40.6,81705.0,
295,INDIAN LAKE CSD,89.0,0.0,43135.85,100,45,55,7.0,59063.0,
296,INDIAN RIVER CSD,87.0,7.0,19354.3,3543,1772,1771,34.3,53606.0,
297,IROQUOIS CSD,98.0,1.0,20509.11,2127,1078,1049,5.4,76619.72727272728,No
298,IRVINGTON UFSD,92.0,0.0,29339.93,1776,936,840,31.7,131104.0,No
299,ISLAND PARK UFSD,,,32114.61,683,341,342,48.0,103508.0,
300,ISLAND TREES UFSD,95.0,2.0,24009.41,2238,1139,1099,37.0,125811.66666666669,
301,ISLIP UFSD,97.0,3.0,26255.56,2726,1347,1379,43.0,95089.0,No
302,ITHACA CITY SD,87.0,3.0,20297.74,5052,2578,2474,35.8,62676.5,No
303,JAMESTOWN CITY SD,74.0,14.0,15641.5,4479,2304,2175,38.3,42558.0,No
304,JAMESVILLE-DEWITT CSD,94.0,2.0,18413.64,2693,1404,1289,26.6,76430.0,No
305,JASPER-TROUPSBURG CSD,90.0,5.0,26007.34,401,216,185,2.2,52934.125,
306,JEFFERSON CSD,92.0,4.0,26743.1,196,100,96,4.6,53163.66666666666,
307,JERICHO UFSD,96.0,0.0,33337.94,3159,1692,1467,70.5,152512.57142857142,No
308,JOHNSBURG CSD,89.0,11.0,27133.01,301,157,144,3.7,57142.71428571428,
309,JOHNSON CITY CSD,90.0,5.0,18386.55,2347,1187,1160,44.0,48683.25,
310,JOHNSTOWN CITY SD,88.0,3.0,15993.37,1501,800,701,8.2,53323.0,No
311,JORDAN-ELBRIDGE CSD,94.0,5.0,18668.5,1112,585,527,5.4,70367.375,
312,KATONAH-LEWISBORO UFSD,94.0,1.0,32363.39,2915,1501,1414,20.9,161824.5,No
313,KEENE CSD,92.0,8.0,34485.18,157,75,82,8.3,73752.5,
314,KENDALL CSD,98.0,0.0,18527.39,684,356,328,10.1,60086.66666666666,
315,KENMORE-TONAWANDA UFSD,88.0,5.0,19948.14,6648,3363,3285,26.4,54324.25,No
316,KINDERHOOK CSD,96.0,0.0,20073.39,1683,858,825,15.5,,Yes
317,KINGS PARK CSD,97.0,0.0,25791.61,2886,1440,1446,16.0,123713.0,
318,KINGSTON CITY SD,87.0,8.0,22986.93,6308,3166,3142,48.6,75186.28571428571,Yes
319,KIRYAS JOEL VILLAGE UFSD,0.0,43.0,107717.2,167,91,76,0.0,75547.0,
320,LA FARGEVILLE CSD,95.0,5.0,17047.91,495,246,249,6.7,56007.71428571428,
321,LACKAWANNA CITY SD,82.0,14.0,17378.83,1790,937,853,35.7,48455.0,Yes
322,LAFAYETTE CSD,94.0,0.0,25122.89,792,401,391,40.3,68715.4,
323,LAKE GEORGE CSD,96.0,2.0,28540.5,722,360,362,8.2,81180.8,
324,LAKE PLACID CSD,88.0,2.0,26784.06,569,271,298,6.3,61918.0,
325,LAKE PLEASANT CSD,,,47512.33,65,33,32,1.5,75714.5,
326,LAKELAND CSD,92.0,1.0,24687.8,5510,2787,2723,36.9,119432.4,Yes
327,LANCASTER CSD,95.0,0.0,14140.1,5631,2874,2757,8.6,68643.5,Yes
328,LANSING CSD,90.0,1.0,21726.47,1187,602,585,19.8,69399.6,
329,LANSINGBURGH CSD,85.0,9.0,18039.45,2110,1134,976,43.8,57325.0,No
330,LAURENS CSD,84.0,8.0,23669.72,301,141,160,11.6,56726.6,
331,LAWRENCE UFSD,78.0,11.0,27720.33,2446,1289,1157,87.4,109532.42857142857,Yes
332,LE ROY CSD,90.0,5.0,16863.6,1176,583,593,8.2,67910.25,
333,LETCHWORTH CSD,94.0,0.0,17015.69,893,464,429,4.0,54844.2,
334,LEVITTOWN UFSD,94.0,1.0,26952.8,7102,3635,3467,36.4,136470.66666666666,No
335,LEWISTON-PORTER CSD,92.0,4.0,18690.08,1920,1004,916,9.2,61757.5,Yes
336,LIBERTY CSD,77.0,14.0,23182.34,1694,876,818,58.3,57930.53846153846,
337,LINDENHURST UFSD,91.0,4.0,23636.09,5674,2882,2792,34.9,99576.0,No
338,LISBON CSD,92.0,0.0,20676.12,559,282,277,2.5,55901.5,
339,LITTLE FALLS CITY SD,79.0,17.0,19877.83,1073,546,527,10.0,54676.25,
340,LITTLE FLOWER UFSD,,,,97,64,33,50.5,,
341,LIVERPOOL CSD,84.0,5.0,18169.54,6927,3478,3449,28.7,70631.33333333333,No
342,LIVINGSTON MANOR CSD,74.0,10.0,30012.19,410,191,219,20.5,63833.2,
343,LIVONIA CSD,98.0,1.0,19693.89,1449,767,682,5.9,66544.77777777778,
344,LOCKPORT CITY SD,89.0,2.0,18128.21,4328,2206,2122,29.5,60823.0,No
345,LOCUST VALLEY CSD,97.0,0.0,37089.06,2012,1028,984,26.8,123948.42857142857,
346,LONG BEACH CITY SD,97.0,1.0,31355.75,3613,1879,1734,41.9,112522.0,
347,LONG LAKE CSD,,,52830.45,59,32,27,5.1,52795.5,
348,LONGWOOD CSD,89.0,5.0,21996.25,9042,4626,4416,54.6,98875.11111111112,Yes
349,LOWVILLE ACADEMY & CSD,92.0,5.0,16364.3,1283,653,630,6.4,,
350,LYME CSD,95.0,5.0,19158.07,331,157,174,6.9,62542.2,
351,LYNBROOK UFSD,97.0,1.0,26396.92,2787,1422,1365,32.9,115458.25,No
352,LYNCOURT UFSD,,,20346.46,373,196,177,47.5,44606.5,
353,LYNDONVILLE CSD,96.0,4.0,20760.99,586,296,290,12.1,54853.2,
354,LYONS CSD,74.0,14.0,25724.35,833,434,399,25.5,53364.0,
355,MADISON CSD,94.0,3.0,18344.65,454,212,242,1.8,61093.66666666666,
356,MADRID-WADDINGTON CSD,93.0,2.0,19452.88,655,331,324,3.5,60148.88888888889,
357,MAHOPAC CSD,94.0,2.0,26934.25,3972,2029,1943,28.5,110562.0,No
358,MAINE-ENDWELL CSD,89.0,7.0,15937.75,2459,1226,1233,12.4,55963.16666666666,Yes
359,MALONE CSD,87.0,4.0,20754.3,2199,1191,1008,3.4,58174.625,Yes
360,MALVERNE UFSD,92.0,3.0,28071.16,1724,910,814,82.0,124833.75,No
361,MAMARONECK UFSD,94.0,2.0,22853.8,5596,2917,2679,32.2,144161.5,No
362,MANCHESTER-SHORTSVILLE CSD (RED JACK,82.0,4.0,18766.55,763,404,359,11.8,,
363,MANHASSET UFSD,98.0,0.0,25655.38,3163,1680,1483,35.9,146793.25,Yes
364,MARATHON CSD,98.0,0.0,21017.92,653,327,326,3.4,59716.66666666666,
365,MARCELLUS CSD,92.0,3.0,19566.23,1505,802,703,4.9,76931.42857142857,
366,MARGARETVILLE CSD,88.0,8.0,25293.61,330,164,166,29.4,58460.81818181818,
367,MARION CSD,86.0,4.0,22443.32,634,311,323,13.2,68890.66666666667,
368,MARLBORO CSD,91.0,4.0,21764.9,1891,968,923,37.2,77276.4,
369,MASSAPEQUA UFSD,98.0,1.0,25406.75,6713,3337,3376,10.6,133976.5,No
370,MASSENA CSD,84.0,7.0,16440.97,2475,1222,1253,14.3,51442.0,Yes
371,MATTITUCK-CUTCHOGUE UFSD,93.0,1.0,31170.72,1101,584,517,23.0,97980.4,
372,MAYFIELD CSD,90.0,4.0,18856.31,842,437,405,6.2,58933.333333333336,
373,MCGRAW CSD,89.0,5.0,18417.53,527,256,271,4.6,59645.75,
374,MECHANICVILLE CITY SD,94.0,4.0,16937.42,1346,717,629,11.2,75677.8,
375,MEDINA CSD,84.0,8.0,18543.05,1387,672,715,22.6,57023.6,
376,MENANDS UFSD,,,17152.22,305,162,143,74.4,87980.5,
377,MERRICK UFSD,,,29454.36,1510,768,742,13.9,127506.0,
378,MEXICO CSD,90.0,3.0,21774.73,1944,991,953,5.7,62851.0,No
379,MIDDLE COUNTRY CSD,91.0,4.0,22520.78,9050,4660,4390,40.8,109711.88888888888,
380,MIDDLEBURGH CSD,93.0,4.0,26103.54,654,316,338,3.2,64995.583333333336,
381,MIDDLETOWN CITY SD,83.0,9.0,19264.71,7405,3739,3666,87.3,86565.0,No
382,MILFORD CSD,88.0,4.0,24297.78,334,176,158,4.2,63726.28571428572,
383,MILLBROOK CSD,96.0,0.0,26186.89,880,451,429,22.0,83433.0,No
384,MILLER PLACE UFSD,97.0,1.0,24358.13,2490,1308,1182,14.5,119062.33333333331,
385,MINEOLA UFSD,94.0,2.0,28437.39,2790,1460,1330,49.2,131102.6,Yes
386,MINERVA CSD,40.0,20.0,41834.28,99,45,54,7.1,54737.5,
387,MINISINK VALLEY CSD,89.0,1.0,19866.22,3493,1779,1714,25.9,82132.6,
388,MONROE-WOODBURY CSD,91.0,4.0,21906.32,6702,3384,3318,52.5,106537.33333333331,No
389,MONTAUK UFSD,,,44925.84,286,146,140,36.4,102266.0,
390,MONTICELLO CSD,83.0,7.0,23954.2,2786,1424,1362,58.2,67153.53333333334,Yes
391,MORAVIA CSD,84.0,9.0,18050.12,873,434,439,4.2,65803.16666666667,
392,MORIAH CSD,89.0,6.0,20297.03,666,342,324,0.8,44562.42857142857,
393,MORRIS CSD,77.0,0.0,23527.09,310,165,145,8.7,62279.2,
394,MORRISTOWN CSD,82.0,14.0,21795.55,322,167,155,4.3,52118.4,
395,MORRISVILLE-EATON CSD,88.0,8.0,20737.05,588,289,299,7.7,63390.0,
396,MOUNT MARKHAM CSD,86.0,8.0,19200.39,1038,527,511,3.9,60102.27272727273,
397,MT MORRIS CSD,85.0,10.0,21224.05,515,264,251,30.3,,
398,MT PLEASANT CSD,96.0,0.0,27690.51,1902,993,909,20.8,,
399,MT PLEASANT-BLYTHEDALE UFSD,0.0,0.0,,124,68,56,70.2,,
400,MT PLEASANT-COTTAGE UFSD,9.0,27.0,,214,103,111,89.3,,
401,MT SINAI UFSD,97.0,1.0,22321.61,2176,1131,1045,17.2,,
402,MT VERNON SCHOOL DISTRICT,68.0,10.0,27660.55,7326,3755,3571,95.5,,
403,NANUET UFSD,94.0,1.0,25962.31,2218,1126,1092,53.1,107895.25,No
404,NAPLES CSD,87.0,4.0,17557.81,599,305,294,3.0,58002.857142857145,
405,NEW HARTFORD CSD,97.0,1.0,17848.92,2553,1308,1245,14.8,62441.125,
406,NEW HYDE PARK-GARDEN CITY PARK UFSD,,,19533.7,1719,882,837,76.6,128858.0,
407,NEW LEBANON CSD,92.0,5.0,9766.29,409,205,204,7.8,87238.22222222222,
408,NEW PALTZ CSD,94.0,3.0,25094.98,2037,1036,1001,24.7,69680.625,
409,NEW ROCHELLE CITY SD,80.0,3.0,22932.93,10286,5394,4892,74.9,147819.14285714287,
410,NEW SUFFOLK COMN SD,,,36043.61,16,9,7,18.8,108972.0,
411,NEWARK CSD,88.0,9.0,20106.84,1983,1014,969,29.7,55895.25,Yes
412,NEWARK VALLEY CSD,88.0,5.0,18004.61,1075,547,528,4.4,61204.42857142857,
413,NEWBURGH CITY SD,78.0,10.0,21654.67,10913,5664,5249,83.4,77814.0,Yes
414,NEWCOMB CSD,100.0,0.0,59290.5,68,39,29,5.9,44688.0,
415,NEWFANE CSD,92.0,5.0,20242.16,1333,677,656,7.3,60037.5,No
416,NEWFIELD CSD,84.0,6.0,22438.23,728,355,373,19.5,59421.66666666666,
417,NIAGARA FALLS CITY SD,64.0,24.0,16647.7,6572,3240,3332,61.0,40596.25,
418,NIAGARA-WHEATFIELD CSD,90.0,5.0,17860.17,3411,1738,1673,21.1,62356.5,Yes
419,NISKAYUNA CSD,94.0,1.0,15876.85,4294,2239,2055,31.3,85111.42857142857,Yes
420,NORTH BABYLON UFSD,93.0,4.0,25157.29,4539,2335,2204,64.0,109923.6,
421,NORTH BELLMORE UFSD,,,22631.36,2020,1014,1006,29.8,146297.33333333334,
422,NORTH COLLINS CSD,92.0,4.0,21209.35,547,277,270,9.1,62133.5,
423,NORTH COLONIE CSD,93.0,3.0,16378.28,5887,2974,2913,37.1,70709.14285714286,
424,NORTH GREENBUSH COMN SD (WILLIAMS),,,37967.85,13,5,8,15.4,71087.66666666667,
425,NORTH MERRICK UFSD,,,25386.74,1188,610,578,26.9,108847.66666666669,
426,NORTH ROSE-WOLCOTT CSD,87.0,6.0,21632.65,1114,535,579,13.3,56033.22222222222,
427,NORTH SALEM CSD,96.0,2.0,34752.96,1046,523,523,25.9,122803.6,
428,NORTH SHORE CSD,96.0,0.0,36171.47,2567,1332,1235,23.1,127171.83333333331,
429,NORTH SYRACUSE CSD,87.0,5.0,15859.19,8175,4198,3977,19.1,69545.27272727272,
430,NORTH TONAWANDA CITY SD,86.0,7.0,17409.1,3184,1593,1591,10.9,69119.0,
431,NORTH WARREN CSD,92.0,5.0,22431.62,493,269,224,8.9,61106.25,
432,NORTHEAST CSD,87.0,6.0,26227.2,626,333,293,30.5,73045.16666666667,
433,NORTHEASTERN CLINTON CSD,81.0,9.0,22148.23,1235,622,613,4.2,56574.25,
434,NORTHERN ADIRONDACK CSD,86.0,9.0,25473.35,785,418,367,1.0,56522.16666666666,
435,NORTHPORT-EAST NORTHPORT UFSD,96.0,2.0,28285.29,5053,2646,2407,19.0,131766.0,
436,NORTHVILLE CSD,94.0,3.0,20631.26,420,197,223,8.1,59445.5,
437,NORWICH CITY SD,86.0,4.0,18999.6,1672,848,824,9.4,53188.375,No
438,NORWOOD-NORFOLK CSD,90.0,5.0,20364.35,943,473,470,3.8,54853.25,
439,NY MILLS UFSD,87.0,4.0,22734.23,541,267,274,11.3,,
440,NYACK UFSD,91.0,5.0,24606.88,2866,1432,1434,57.8,124980.66666666669,No
441,NYC GEOG DIST # 1 - MANHATTAN,68.0,8.0,19153.22,10473,5481,4992,81.6,77936.0,Yes
442,NYC GEOG DIST # 2 - MANHATTAN,81.0,5.0,15883.91,59568,28456,31112,73.4,127275.96153846152,Yes
443,NYC GEOG DIST # 3 - MANHATTAN,81.0,3.0,16663.02,21132,9599,11533,66.5,104303.66666666669,Yes
444,NYC GEOG DIST # 4 - MANHATTAN,85.0,4.0,21385.49,11510,5594,5916,95.0,31104.5,Yes
445,NYC GEOG DIST # 5 - MANHATTAN,74.0,5.0,23248.48,9332,4954,4378,93.6,50067.0,Yes
446,NYC GEOG DIST # 6 - MANHATTAN,75.0,5.0,20480.9,19124,9709,9415,94.4,55738.5,Yes
447,NYC GEOG DIST # 7 - BRONX,69.0,9.0,22088.49,16318,8639,7679,98.5,36670.8,Yes
448,NYC GEOG DIST # 8 - BRONX,66.0,13.0,20068.55,24613,12660,11953,94.4,44250.0,Yes
449,NYC GEOG DIST # 9 - BRONX,74.0,9.0,20785.08,29653,14989,14664,98.7,32099.75,Yes
450,NYC GEOG DIST #10 - BRONX,80.0,7.0,18515.51,49381,25187,24194,94.1,47554.0,Yes
451,NYC GEOG DIST #11 - BRONX,75.0,8.0,17704.26,35438,18643,16795,91.1,59079.6,Yes
452,NYC GEOG DIST #12 - BRONX,63.0,12.0,20174.92,19427,10007,9420,98.6,36342.333333333336,Yes
453,NYC GEOG DIST #13 - BROOKLYN,90.0,2.0,16254.63,19994,10672,9322,82.8,100631.6,Yes
454,NYC GEOG DIST #14 - BROOKLYN,82.0,5.0,19282.51,16583,8684,7899,85.1,70139.6,Yes
455,NYC GEOG DIST #15 - BROOKLYN,71.0,5.0,18079.91,29846,14881,14965,69.9,95562.125,Yes
456,NYC GEOG DIST #16 - BROOKLYN,60.0,5.0,24918.87,5425,2891,2534,97.3,54048.0,Yes
457,NYC GEOG DIST #17 - BROOKLYN,74.0,6.0,19294.66,19019,9361,9658,96.9,62593.0,Yes
458,NYC GEOG DIST #18 - BROOKLYN,67.0,6.0,20378.87,12417,6499,5918,96.6,53702.333333333336,Yes
459,NYC GEOG DIST #19 - BROOKLYN,79.0,6.0,20178.57,19389,10230,9159,97.9,39264.333333333336,Yes
460,NYC GEOG DIST #20 - BROOKLYN,76.0,7.0,15814.7,49535,25915,23620,75.5,63385.71428571428,Yes
461,NYC GEOG DIST #21 - BROOKLYN,77.0,6.0,16986.32,33868,17379,16489,67.6,53230.833333333336,Yes
462,NYC GEOG DIST #22 - BROOKLYN,85.0,3.0,16774.61,31931,16127,15804,67.4,67778.14285714286,Yes
463,NYC GEOG DIST #23 - BROOKLYN,52.0,12.0,23142.85,7714,4315,3399,98.7,38831.5,Yes
464,NYC GEOG DIST #24 - QUEENS,80.0,5.0,16393.21,54124,28429,25695,86.8,73961.0,Yes
465,NYC GEOG DIST #25 - QUEENS,76.0,5.0,16025.35,35583,18163,17420,88.7,67681.3,Yes
466,NYC GEOG DIST #26 - QUEENS,92.0,3.0,14190.81,30802,15826,14976,84.7,89223.33333333333,Yes
467,NYC GEOG DIST #27 - QUEENS,76.0,10.0,17641.03,40675,21347,19328,90.0,74852.76923076923,Yes
468,NYC GEOG DIST #28 - QUEENS,84.0,5.0,15026.48,38378,19482,18896,84.4,72971.66666666667,Yes
469,NYC GEOG DIST #29 - QUEENS,77.0,6.0,16852.11,23776,12395,11381,98.2,80180.09090909091,Yes
470,NYC GEOG DIST #30 - QUEENS,86.0,4.0,16113.61,36697,18539,18158,83.4,72604.27272727272,Yes
471,NYC GEOG DIST #31 - STATEN ISLAND,84.0,4.0,18970.34,57787,29605,28182,55.6,86134.58333333333,Yes
472,NYC GEOG DIST #32 - BROOKLYN,75.0,8.0,20978.36,9850,5045,4805,97.6,52066.0,Yes
473,NYC SPEC SCHOOLS - DIST 75,,,6091.88,25358,18632,6726,87.3,,
474,OAKFIELD-ALABAMA CSD,85.0,3.0,18394.15,772,379,393,6.7,60528.5,
475,OCEANSIDE UFSD,94.0,0.0,22535.44,5506,2852,2654,29.4,115829.33333333331,No
476,ODESSA-MONTOUR CSD,93.0,4.0,18234.83,723,379,344,6.6,57681.66666666666,
477,OGDENSBURG CITY SD,80.0,12.0,22365.24,1475,763,712,2.0,53915.0,
478,OLEAN CITY SD,74.0,10.0,18698.78,1925,1008,917,18.6,47782.0,Yes
479,ONEIDA CITY SD,85.0,9.0,18768.6,1857,923,934,11.6,63358.375,Yes
480,ONEONTA CITY SD,84.0,7.0,17884.13,1734,885,849,21.6,53729.0,Yes
481,ONONDAGA CSD,90.0,6.0,19020.04,768,369,399,27.3,71562.83333333333,
482,ONTEORA CSD,87.0,4.0,38615.96,1201,597,604,25.3,68467.15,No
483,OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,85.0,9.0,21080.92,689,335,354,3.0,,
484,ORCHARD PARK CSD,97.0,0.0,18291.68,4649,2318,2331,7.4,73334.75,
485,ORISKANY CSD,92.0,2.0,20301.77,569,294,275,8.1,69966.75,
486,OSSINING UFSD,80.0,2.0,22422.6,4774,2464,2310,79.6,127406.33333333331,No
487,OSWEGO CITY SD,81.0,8.0,19998.39,3626,1870,1756,10.3,58733.333333333336,No
488,OTEGO-UNADILLA CSD,87.0,5.0,21458.71,716,338,378,11.9,57785.5,Yes
489,OTSELIC VALLEY CSD,94.0,3.0,27026.81,291,142,149,1.7,,
490,OWEGO-APALACHIN CSD,92.0,3.0,18179.7,1922,990,932,5.0,64451.57142857143,Yes
491,OXFORD ACADEMY & CSD,95.0,2.0,22363.77,706,349,357,7.8,,
492,OYSTER BAY-EAST NORWICH CSD,95.0,3.0,31106.27,1528,776,752,36.9,127665.66666666669,
493,OYSTERPONDS UFSD,,,39628.6,65,29,36,30.8,79892.5,
494,PALMYRA-MACEDON CSD,91.0,7.0,18477.61,1789,927,862,7.4,75147.0,No
495,PANAMA CSD,100.0,0.0,21679.03,436,223,213,5.5,56309.75,
496,PARISHVILLE-HOPKINTON CSD,97.0,0.0,25102.89,365,187,178,1.1,52445.833333333336,
497,PATCHOGUE-MEDFORD UFSD,86.0,4.0,22688.05,7349,3796,3553,56.0,104073.75,Yes
498,PAVILION CSD,83.0,11.0,21512.28,638,332,306,5.2,63204.1,
499,PAWLING CSD,93.0,0.0,28302.88,1114,571,543,29.4,106711.66666666669,
500,PEARL RIVER UFSD,96.0,1.0,23852.0,2361,1207,1154,23.1,133580.0,
501,PEEKSKILL CITY SD,80.0,8.0,22977.07,3352,1791,1561,93.1,98254.5,No
502,PELHAM UFSD,98.0,0.0,22511.94,2913,1515,1398,34.7,107724.66666666669,No
503,PEMBROKE CSD,92.0,2.0,21102.75,910,435,475,6.5,64466.6,
504,PENFIELD CSD,97.0,1.0,16744.56,4587,2333,2254,17.6,76003.14285714286,No
505,PENN YAN CSD,87.0,8.0,22166.64,1312,640,672,7.5,56688.57142857143,
506,PERRY CSD,92.0,3.0,18437.89,772,389,383,9.8,58877.444444444445,
507,PERU CSD,89.0,7.0,21325.68,1822,948,874,5.8,64691.142857142855,
508,PHELPS-CLIFTON SPRINGS CSD,85.0,11.0,18223.93,1549,809,740,10.5,61560.66666666666,
509,PHOENIX CSD,87.0,8.0,21337.44,1644,839,805,5.2,70405.66666666667,
510,PINE BUSH CSD,91.0,4.0,20058.09,4925,2563,2362,30.7,91832.3,
511,PINE PLAINS CSD,89.0,5.0,28458.63,855,425,430,21.6,77546.2,
512,PINE VALLEY CSD (SOUTH DAYTON),66.0,15.0,24415.35,485,243,242,9.7,52078.75,
513,PITTSFORD CSD,98.0,0.0,19861.85,5588,2876,2712,26.9,90935.42857142857,No
514,PLAINEDGE UFSD,95.0,0.0,26342.58,2823,1454,1369,13.8,125001.0,No
515,PLAINVIEW-OLD BETHPAGE CSD,96.0,0.0,26869.5,4955,2547,2408,33.7,150691.0,
516,PLATTSBURGH CITY SD,84.0,8.0,21291.56,1800,935,865,14.2,63237.0,Yes
517,PLEASANTVILLE UFSD,93.0,1.0,25303.29,1695,877,818,24.3,156774.0,
518,POCANTICO HILLS CSD,,,53858.3,285,137,148,61.4,126171.83333333331,
519,POLAND CSD,93.0,7.0,23870.17,487,242,245,7.0,66199.25,
520,PORT BYRON CSD,86.0,4.0,23478.26,728,356,372,5.5,58286.57142857143,
521,PORT CHESTER-RYE UFSD,82.0,5.0,17876.84,4775,2502,2273,87.4,147261.5,
522,PORT JEFFERSON UFSD,96.0,1.0,35628.81,1022,526,496,23.9,133935.33333333334,
523,PORT JERVIS CITY SD,86.0,6.0,25319.9,2444,1245,1199,34.2,71534.5,
524,PORT WASHINGTON UFSD,93.0,2.0,25331.03,5364,2749,2615,37.0,131163.0,
525,PORTVILLE CSD,95.0,3.0,14307.29,986,469,517,6.6,49672.6,
526,POTSDAM CSD,95.0,3.0,20234.62,1234,667,567,8.9,61014.0,
527,POUGHKEEPSIE CITY SD,60.0,19.0,21427.37,4154,2184,1970,93.7,68081.0,No
528,PRATTSBURGH CSD,84.0,4.0,18240.82,360,179,181,8.1,49466.16666666666,
529,PULASKI CSD,87.0,4.0,20825.86,924,465,459,3.8,57120.5,
530,PUTNAM CSD,,,23009.37,28,19,9,0.0,68670.0,
531,PUTNAM VALLEY CSD,97.0,1.0,26817.67,1598,808,790,31.5,117689.0,
532,QUEENSBURY UFSD,90.0,3.0,16548.22,3135,1622,1513,7.0,62680.75,No
533,QUOGUE UFSD,,,69868.4,77,38,39,23.4,104077.66666666669,
534,RANDOLPH ACAD UFSD,,,,164,118,46,37.2,,
535,RANDOLPH CSD,99.0,0.0,18397.12,846,421,425,11.0,47460.375,
536,RAVENA-COEYMANS-SELKIRK CSD,88.0,6.0,18848.63,1768,895,873,19.1,78473.91666666667,No
537,RED CREEK CSD,88.0,10.0,21345.38,783,424,359,5.0,54821.5,
538,RED HOOK CSD,91.0,4.0,24227.11,1766,918,848,16.5,86355.875,
539,REMSEN CSD,87.0,0.0,26257.19,405,216,189,3.5,71187.4,
540,REMSENBURG-SPEONK UFSD,,,58547.76,132,66,66,27.3,106765.33333333331,
541,RENSSELAER CITY SD,84.0,5.0,17978.0,1028,524,504,44.6,77000.0,
542,RHINEBECK CSD,93.0,1.0,30026.67,944,466,478,16.9,89250.5,
543,RICHFIELD SPRINGS CSD,92.0,8.0,24034.39,402,223,179,5.5,57788.71428571428,
544,RIPLEY CSD,,,33327.7,123,61,62,4.9,43987.0,
545,RIVERHEAD CSD,76.0,13.0,18810.89,5829,3028,2801,67.0,82145.0,No
546,ROCHESTER CITY SD,68.0,13.0,19885.5,25017,12904,12113,90.4,53004.42857142857,No
547,ROCKVILLE CENTRE UFSD,98.0,0.0,29490.95,3579,1855,1724,26.5,107137.0,
548,ROCKY POINT UFSD,95.0,4.0,24991.0,2905,1441,1464,22.1,119852.75,
549,ROME CITY SD,82.0,8.0,17823.87,5320,2736,2584,21.0,64102.125,No
550,ROMULUS CSD,82.0,6.0,20890.39,434,210,224,11.1,55966.8,
551,RONDOUT VALLEY CSD,88.0,8.0,28695.99,1869,978,891,15.9,71359.30769230769,
552,ROOSEVELT UFSD,75.0,16.0,20300.43,3346,1780,1566,99.9,112783.25,Yes
553,ROSCOE CSD,89.0,0.0,30693.78,220,120,100,13.6,55007.25,
554,ROSLYN UFSD,99.0,1.0,29181.7,3195,1622,1573,32.2,165746.0,No
555,ROTTERDAM-MOHONASEN CSD,91.0,3.0,15118.77,2798,1418,1380,23.9,63371.0,Yes
556,ROXBURY CSD,86.0,0.0,34739.37,239,112,127,4.2,60713.0,
557,ROYALTON-HARTLAND CSD,92.0,6.0,16056.73,1206,587,619,8.7,68789.0,
558,RUSH-HENRIETTA CSD,92.0,3.0,19635.2,5387,2725,2662,42.6,85732.0,No
559,RYE CITY SD,96.0,0.0,25422.18,3234,1670,1564,20.6,140148.33333333334,No
560,RYE NECK UFSD,93.0,1.0,22836.77,1572,809,763,37.5,146139.0,
561,SACHEM CSD,94.0,2.0,20861.5,12351,6266,6085,30.0,108960.84615384616,No
562,SACKETS HARBOR CSD,90.0,5.0,18003.63,418,204,214,10.8,62790.8,
563,SAG HARBOR UFSD,89.0,3.0,38192.07,919,461,458,27.7,98489.0,
564,SAGAPONACK COMN SD,,,55333.31,16,9,7,6.2,90326.0,
565,SALAMANCA CITY SD,79.0,3.0,24617.42,1213,628,585,50.5,45555.16666666666,
566,SALEM CSD,78.0,12.0,19489.37,524,286,238,5.3,66846.83333333333,
567,SALMON RIVER CSD,85.0,6.0,26274.61,1389,703,686,67.7,48057.55555555556,
568,SANDY CREEK CSD,90.0,3.0,25117.81,742,396,346,4.6,57632.444444444445,
569,SARANAC CSD,90.0,7.0,22036.63,1395,714,681,3.6,62700.28571428572,Yes
570,SARANAC LAKE CSD,93.0,4.0,24587.99,1150,602,548,2.8,63221.083333333336,
571,SARATOGA SPRINGS CITY SD,92.0,4.0,17059.93,6248,3164,3084,11.8,84608.25,
572,SAUGERTIES CSD,84.0,10.0,21994.66,2449,1205,1244,24.6,57250.5,No
573,SAUQUOIT VALLEY CSD,93.0,3.0,17140.41,943,463,480,7.6,67379.875,
574,SAYVILLE UFSD,97.0,0.0,27033.14,2822,1445,1377,12.9,116648.0,No
575,SCARSDALE UFSD,98.0,1.0,28842.09,4749,2450,2299,36.4,151912.0,No
576,SCHALMONT CSD,90.0,4.0,18953.56,1799,940,859,14.7,77453.125,
577,SCHENECTADY CITY SD,74.0,11.0,18266.0,9243,4779,4464,79.6,59576.0,Yes
578,SCHENEVUS CSD,81.0,9.0,21163.27,330,177,153,5.8,60163.833333333336,
579,SCHODACK CSD,97.0,0.0,21104.26,900,465,435,7.9,91121.25,
580,SCHOHARIE CSD,89.0,4.0,20304.39,889,469,420,5.5,66572.625,
581,SCHROON LAKE CSD,100.0,0.0,25128.01,259,136,123,1.5,63459.4,
