,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
67,BRONXVILLE UFSD,97.0,0.0,25738.45,1642,863,779,19.9,108142.0,
68,BROOKFIELD CSD,82.0,14.0,24173.83,207,94,113,1.4,57008.16666666666,
69,BROOKHAVEN-COMSEWOGUE UFSD,92.0,4.0,22056.41,3683,1813,1870,41.8,118550.6,No
70,BRUNSWICK CSD (BRITTONKILL),88.0,4.0,17579.17,1149,585,564,10.5,80701.55555555556,
71,BRUSHTON-MOIRA CSD,83.0,5.0,20707.52,761,400,361,2.8,52123.42857142857,
72,BUFFALO CITY SD,76.0,12.0,18959.77,30674,15520,15154,81.0,43318.85,Yes
73,BURNT HILLS-BALLSTON LAKE CSD,96.0,2.0,17703.0,3082,1562,1520,7.9,89112.28571428571,
74,BYRAM HILLS CSD,99.0,0.0,34560.05,2274,1159,1115,17.1,147694.2857142857,
75,BYRON-BERGEN CSD,98.0,1.0,21604.84,828,385,443,11.5,66222.75,
76,CAIRO-DURHAM CSD,92.0,5.0,21073.84,1179,601,578,18.7,63166.26666666667,
77,CALEDONIA-MUMFORD CSD,97.0,1.0,18494.78,755,367,388,6.8,66146.16666666667,
78,CAMBRIDGE CSD,93.0,6.0,20247.7,823,420,403,7.8,75838.28571428571,
79,CAMDEN CSD,86.0,6.0,19020.69,1963,983,980,6.1,61254.09090909091,Yes
80,CAMPBELL-SAVONA CSD,95.0,3.0,20618.32,791,373,418,5.4,56361.833333333336,
81,CANAJOHARIE CSD,94.0,4.0,21495.74,818,416,402,6.2,59828.0,
82,CANANDAIGUA CITY SD,92.0,4.0,17678.85,3357,1720,1637,12.7,72225.6,
83,CANASERAGA CSD,71.0,18.0,24196.83,199,94,105,5.5,56816.0,
84,CANASTOTA CSD,84.0,7.0,17657.1,1275,645,630,10.0,72601.0,No
85,CANDOR CSD,93.0,3.0,19391.18,718,354,364,7.2,60132.5,
86,CANISTEO-GREENWOOD CSD,93.0,4.0,22874.26,935,495,440,4.3,50768.0,
87,CANTON CSD,82.0,1.0,20152.15,1171,610,561,7.3,54204.0,
88,CARLE PLACE UFSD,98.0,0.0,32591.09,1358,712,646,35.4,104753.33333333331,
89,CARMEL CSD,92.0,3.0,27298.65,3979,2034,1945,37.6,110606.5,No
90,CARTHAGE CSD,89.0,5.0,17149.15,3065,1602,1463,25.9,53290.63636363636,Yes
91,CASSADAGA VALLEY CSD,88.0,7.0,20862.54,799,422,377,6.0,55387.625,
92,CATO-MERIDIAN CSD,89.0,5.0,18088.09,860,449,411,8.1,64765.75,
93,CATSKILL CSD,91.0,4.0,24088.35,1350,668,682,32.9,58658.833333333336,
94,CATTARAUGUS-LITTLE VALLEY CSD,93.0,4.0,19362.54,858,431,427,6.9,52411.0,
95,CAZENOVIA CSD,94.0,2.0,17708.25,1360,727,633,6.0,69543.875,
96,CENTER MORICHES UFSD,93.0,1.0,24593.36,1513,788,725,26.8,99102.0,
97,CENTRAL ISLIP UFSD,88.0,1.0,21656.92,7571,3929,3642,96.1,101402.4,
98,CENTRAL SQUARE CSD,87.0,8.0,17310.54,3580,1827,1753,6.1,67685.72727272728,
99,CENTRAL VALLEY CSD AT ILION-MOHAWK,87.0,5.0,15522.11,2082,1025,1057,9.4,,
100,CHAPPAQUA CSD,99.0,0.0,29069.23,3625,1870,1755,25.9,171975.0,No
101,CHARLOTTE VALLEY CSD,0.0,4.0,19819.35,382,202,180,7.3,53881.75,
102,CHATEAUGAY CSD,97.0,3.0,20495.72,451,243,208,1.3,56603.8,
103,CHATHAM CSD,94.0,4.0,25024.45,971,491,480,13.0,80405.75,
104,CHAUTAUQUA LAKE CSD,85.0,3.0,23416.94,706,328,378,5.1,57115.57142857143,
105,CHAZY UFSD,94.0,6.0,19209.93,455,234,221,5.7,63384.5,
106,CHEEKTOWAGA CSD,87.0,7.0,16544.11,2138,1109,1029,60.4,47551.0,Yes
107,CHEEKTOWAGA-MARYVALE UFSD,87.0,5.0,15434.4,2087,1081,1006,27.8,58342.0,No
108,CHEEKTOWAGA-SLOAN UFSD,86.0,5.0,19755.19,1232,641,591,23.5,47314.75,Yes
109,CHENANGO FORKS CSD,93.0,0.0,18273.44,1340,727,613,7.8,50343.4,
110,CHENANGO VALLEY CSD,91.0,5.0,18101.82,1648,841,807,10.7,47896.4,
111,CHERRY VALLEY-SPRINGFIELD CSD,79.0,3.0,24150.04,422,219,203,2.1,57554.75,
112,CHESTER UFSD,90.0,1.0,24039.21,986,489,497,53.5,101327.0,
113,CHITTENANGO CSD,90.0,3.0,17253.94,1904,971,933,8.4,78756.5,No
114,CHURCHVILLE-CHILI CSD,91.0,2.0,15793.94,3751,1944,1807,23.1,74812.2,No
115,CINCINNATUS CSD,90.0,5.0,21748.43,514,239,275,2.3,54469.181818181816,
116,CLARENCE CSD,95.0,2.0,15613.47,4228,2170,2058,12.1,89974.14285714286,No
117,CLARKSTOWN CSD,95.0,1.0,22878.82,7821,4098,3723,42.0,124982.33333333331,No
118,CLEVELAND HILL UFSD,85.0,6.0,18076.74,1254,634,620,52.4,53987.0,
119,CLIFTON-FINE CSD,77.0,0.0,28678.72,276,134,142,8.3,46749.0,
120,CLINTON CSD,96.0,1.0,17575.94,1258,649,609,9.2,71630.0,
121,CLYDE-SAVANNAH CSD,78.0,17.0,21555.55,754,385,369,15.1,53507.6,
122,CLYMER CSD,93.0,0.0,21086.05,414,221,193,9.4,53945.6,
123,COBLESKILL-RICHMONDVILLE CSD,93.0,3.0,20054.26,1639,878,761,10.0,57302.22222222222,Yes
124,COHOES CITY SD,84.0,11.0,17770.18,1873,943,930,28.9,60444.0,Yes
125,COLD SPRING HARBOR CSD,99.0,0.0,33287.48,1635,838,797,13.9,140247.0,
126,COLTON-PIERREPONT CSD,94.0,0.0,22481.64,339,169,170,0.6,56456.833333333336,
127,COMMACK UFSD,97.0,0.0,26170.47,5875,3018,2857,23.3,122854.0,No
128,CONNETQUOT CSD,95.0,2.0,28395.35,5509,2786,2723,26.7,108287.0,No
129,COOPERSTOWN CSD,99.0,1.0,19740.77,818,413,405,8.8,63359.0,
130,COPENHAGEN CSD,100.0,0.0,18762.25,393,212,181,7.6,61598.0,
131,COPIAGUE UFSD,89.0,7.0,18858.63,4965,2443,2522,87.7,99989.25,No
132,CORINTH CSD,86.0,6.0,15265.53,1139,586,553,4.8,77271.8,
133,CORNING CITY SD,88.0,6.0,19702.53,4551,2359,2192,13.5,64176.90909090909,Yes
134,CORNWALL CSD,96.0,3.0,18883.36,3102,1632,1470,35.5,112038.0,Yes
135,CORTLAND CITY SD,80.0,7.0,18587.04,2132,1092,1040,15.1,61464.0,No
136,COXSACKIE-ATHENS CSD,82.0,7.0,20955.92,1242,679,563,15.5,68206.25,No
137,CROTON-HARMON UFSD,96.0,0.0,23468.52,1584,820,764,28.7,111839.33333333331,
138,CROWN POINT CSD,95.0,5.0,20638.87,286,135,151,0.7,55082.75,
139,CUBA-RUSHFORD CSD,92.0,0.0,19895.03,780,433,347,5.0,53610.27272727273,
140,DALTON-NUNDA CSD (KESHEQUA),98.0,0.0,20242.29,589,297,292,2.5,54371.875,
141,DANSVILLE CSD,85.0,10.0,17846.3,1304,652,652,6.7,63313.444444444445,
142,DEER PARK UFSD,92.0,1.0,24053.21,3864,1984,1880,63.6,105121.5,
143,DELAWARE ACADEMY CSD AT DELHI,90.0,0.0,20269.67,747,379,368,5.5,,
144,DEPEW UFSD,85.0,5.0,16749.58,1784,905,879,14.9,67225.33333333333,
145,DEPOSIT CSD,97.0,3.0,26448.82,458,242,216,3.9,51873.22222222222,
146,DERUYTER CSD,88.0,6.0,24461.18,326,168,158,7.4,55705.4,
147,DOBBS FERRY UFSD,99.0,0.0,27547.73,1516,783,733,35.2,154429.5,
148,DOLGEVILLE CSD,87.0,9.0,17450.78,815,393,422,1.5,57175.66666666666,
149,DOVER UFSD,84.0,6.0,20364.65,1351,691,660,38.3,79784.33333333333,No
150,DOWNSVILLE CSD,85.0,8.0,36396.35,207,98,109,7.7,56483.16666666666,
151,DRYDEN CSD,68.0,14.0,22428.41,1364,699,665,15.8,62437.3,Yes
152,DUANESBURG CSD,98.0,2.0,18262.05,651,339,312,6.1,78887.5,
153,DUNDEE CSD,68.0,23.0,20317.42,621,330,291,8.5,56795.0,
154,DUNKIRK CITY SD,71.0,19.0,21073.97,1957,996,961,64.0,49307.5,Yes
155,EAST AURORA UFSD,97.0,1.0,14972.77,1758,902,856,5.6,83121.0,
156,EAST BLOOMFIELD CSD,94.0,2.0,19459.4,816,420,396,8.5,75579.85714285714,
157,EAST GREENBUSH CSD,96.0,2.0,17840.81,4088,2049,2039,21.1,82376.88888888889,
158,EAST HAMPTON UFSD,83.0,9.0,32627.14,1712,852,860,62.6,118018.0,
159,EAST IRONDEQUOIT CSD,90.0,6.0,21188.16,2945,1488,1457,55.6,51098.0,
160,EAST ISLIP UFSD,95.0,2.0,27025.08,3549,1855,1694,27.2,114191.16666666669,
161,EAST MEADOW UFSD,95.0,0.0,24954.87,7240,3643,3597,51.7,119341.0,
162,EAST MORICHES UFSD,,,20972.97,684,335,349,18.9,109689.5,
163,EAST QUOGUE UFSD,,,30127.26,390,203,187,34.6,84058.66666666667,
164,EAST RAMAPO CSD (SPRING VALLEY),65.0,20.0,20759.17,9387,4909,4478,96.6,96434.0,
165,EAST ROCHESTER UFSD,80.0,8.0,21751.23,957,488,469,27.3,90799.5,
166,EAST ROCKAWAY UFSD,96.0,1.0,27495.82,1173,576,597,40.2,110850.0,
167,EAST SYRACUSE MINOA CSD,90.0,1.0,20125.41,3138,1608,1530,14.9,,
168,EAST WILLISTON UFSD,99.0,0.0,29899.6,1722,914,808,42.4,149491.6,
169,EASTCHESTER UFSD,99.0,0.0,23455.55,3232,1684,1548,32.9,151468.33333333334,No
170,EASTPORT-SOUTH MANOR CSD,96.0,2.0,23188.7,3225,1646,1579,13.6,94368.22222222222,
171,EDEN CSD,88.0,3.0,17729.04,1307,669,638,6.6,66202.57142857143,
172,EDGEMONT UFSD,98.0,0.0,26154.46,2049,1061,988,54.8,152328.0,
173,EDINBURG COMN SD,,,37016.86,53,26,27,3.8,58945.5,
174,EDMESTON CSD,91.0,3.0,21675.32,355,179,176,5.4,63899.857142857145,
175,EDWARDS-KNOX CSD,83.0,5.0,20184.28,485,257,228,2.7,52895.5,
176,ELBA CSD,80.0,16.0,21297.72,374,194,180,20.6,61557.75,
