,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
291,291,295,HUDSON FALLS CSD,79,13,14076.68,2259,1137,1122,10.2,64791.0
292,292,296,HUNTER-TANNERSVILLE CSD,85,4,30553.49,331,150,181,19.0,69565.5
293,293,297,HUNTINGTON UFSD,90,2,23794.52,4459,2307,2152,65.3,131281.5
294,294,298,HYDE PARK CSD,88,6,23435.59,3396,1735,1661,40.6,81705.0
295,295,300,INDIAN LAKE CSD,89,0,43135.85,100,45,55,7.0,59063.0
296,296,301,INDIAN RIVER CSD,87,7,19354.3,3543,1772,1771,34.3,53606.0
297,297,302,IROQUOIS CSD,98,1,20509.11,2127,1078,1049,5.4,76619.7
298,298,303,IRVINGTON UFSD,92,0,29339.93,1776,936,840,31.7,131104.0
299,299,304,ISLAND PARK UFSD,—,—,32114.61,683,341,342,48.0,103508.0
300,300,305,ISLAND TREES UFSD,95,2,24009.41,2238,1139,1099,37.0,125811.7
301,301,306,ISLIP UFSD,97,3,26255.56,2726,1347,1379,43.0,95089.0
302,302,307,ITHACA CITY SCHOOL DISTRICT,87,3,20297.74,5052,2578,2474,35.8,62676.5
303,303,308,JAMESTOWN CITY SCHOOL DISTRICT,74,14,15641.5,4479,2304,2175,38.3,42558.0
304,304,309,JAMESVILLE-DEWITT CSD,94,2,18413.64,2693,1404,1289,26.6,76430.0
305,305,310,JASPER-TROUPSBURG CSD,90,5,26007.34,401,216,185,2.2,52934.1
306,306,311,JEFFERSON CSD,92,4,26743.1,196,100,96,4.6,53163.7
307,307,312,JERICHO UFSD,96,0,33337.94,3159,1692,1467,70.5,152512.6
308,308,313,JOHNSBURG CSD,89,11,27133.01,301,157,144,3.7,57142.7
309,309,314,JOHNSON CITY CSD,90,5,18386.55,2347,1187,1160,44.0,48683.2
310,310,315,JOHNSTOWN CITY SCHOOL DISTRICT,88,3,15993.37,1501,800,701,8.2,53323.0
311,311,316,JORDAN-ELBRIDGE CSD,94,5,18668.5,1112,585,527,5.4,70367.4
312,312,317,KATONAH-LEWISBORO UFSD,94,1,32363.39,2915,1501,1414,20.9,161824.5
313,313,318,KEENE CSD,92,8,34485.18,157,75,82,8.3,73752.5
314,314,319,KENDALL CSD,98,0,18527.39,684,356,328,10.1,60086.7
315,315,320,KENMORE-TONAWANDA UFSD,88,5,19948.14,6648,3363,3285,26.4,54324.2
316,316,321,KINDERHOOK CSD,96,0,20073.39,1683,858,825,15.5,
317,317,322,KINGS PARK CSD,97,0,25791.61,2886,1440,1446,16.0,123713.0
318,318,323,KINGSTON CITY SCHOOL DISTRICT,87,8,22986.93,6308,3166,3142,48.6,75186.3
319,319,324,KIRYAS JOEL VILLAGE UFSD,0,43,107717.2,167,91,76,0.0,75547.0
320,320,325,LA FARGEVILLE CSD,95,5,17047.91,495,246,249,6.7,56007.7
321,321,326,LACKAWANNA CITY SCHOOL DISTRICT,82,14,17378.83,1790,937,853,35.7,48455.0
322,322,327,LAFAYETTE CSD,94,0,25122.89,792,401,391,40.3,68715.4
323,323,328,LAKE GEORGE CSD,96,2,28540.5,722,360,362,8.2,81180.8
324,324,329,LAKE PLACID CSD,88,2,26784.06,569,271,298,6.3,61918.0
325,325,330,LAKE PLEASANT CSD,—,—,47512.33,65,33,32,1.5,75714.5
326,326,331,LAKELAND CSD,92,1,24687.8,5510,2787,2723,36.9,119432.4
327,327,332,LANCASTER CSD,95,0,14140.1,5631,2874,2757,8.6,68643.5
328,328,333,LANSING CSD,90,1,21726.47,1187,602,585,19.8,69399.6
329,329,334,LANSINGBURGH CSD,85,9,18039.45,2110,1134,976,43.8,57325.0
330,330,335,LAURENS CSD,84,8,23669.72,301,141,160,11.6,56726.6
331,331,336,LAWRENCE UFSD,78,11,27720.33,2446,1289,1157,87.4,109532.4
332,332,337,LE ROY CSD,90,5,16863.6,1176,583,593,8.2,67910.2
333,333,338,LETCHWORTH CSD,94,0,17015.69,893,464,429,4.0,54844.2
334,334,339,LEVITTOWN UFSD,94,1,26952.8,7102,3635,3467,36.4,136470.7
335,335,340,LEWISTON-PORTER CSD,92,4,18690.08,1920,1004,916,9.2,61757.5
336,336,341,LIBERTY CSD,77,14,23182.34,1694,876,818,58.3,57930.5
337,337,342,LINDENHURST UFSD,91,4,23636.09,5674,2882,2792,34.9,99576.0
338,338,343,LISBON CSD,92,0,20676.12,559,282,277,2.5,55901.5
339,339,344,LITTLE FALLS CITY SCHOOL DISTRICT,79,17,19877.83,1073,546,527,10.0,54676.2
340,340,345,LITTLE FLOWER UFSD,—,—,,97,64,33,50.5,
341,341,346,LIVERPOOL CSD,84,5,18169.54,6927,3478,3449,28.7,70631.3
342,342,347,LIVINGSTON MANOR CSD,74,10,30012.19,410,191,219,20.5,63833.2
343,343,348,LIVONIA CSD,98,1,19693.89,1449,767,682,5.9,66544.8
344,344,349,LOCKPORT CITY SCHOOL DISTRICT,89,2,18128.21,4328,2206,2122,29.5,60823.0
345,345,350,LOCUST VALLEY CSD,97,0,37089.06,2012,1028,984,26.8,123948.4
346,346,351,LONG BEACH CITY SCHOOL DISTRICT,97,1,31355.75,3613,1879,1734,41.9,112522.0
347,347,352,LONG LAKE CSD,—,—,52830.45,59,32,27,5.1,52795.5
348,348,353,LONGWOOD CSD,89,5,21996.25,9042,4626,4416,54.6,98875.1
349,349,354,LOWVILLE ACADEMY & CSD,92,5,16364.3,1283,653,630,6.4,
350,350,355,LYME CSD,95,5,19158.07,331,157,174,6.9,62542.2
351,351,356,LYNBROOK UFSD,97,1,26396.92,2787,1422,1365,32.9,115458.2
352,352,357,LYNCOURT UFSD,—,—,20346.46,373,196,177,47.5,44606.5
353,353,358,LYNDONVILLE CSD,96,4,20760.99,586,296,290,12.1,54853.2
354,354,359,LYONS CSD,74,14,25724.35,833,434,399,25.5,53364.0
355,355,360,MADISON CSD,94,3,18344.65,454,212,242,1.8,61093.7
356,356,361,MADRID-WADDINGTON CSD,93,2,19452.88,655,331,324,3.5,60148.9
357,357,362,MAHOPAC CSD,94,2,26934.25,3972,2029,1943,28.5,110562.0
358,358,363,MAINE-ENDWELL CSD,89,7,15937.75,2459,1226,1233,12.4,55963.2
359,359,364,MALONE CSD,87,4,20754.3,2199,1191,1008,3.4,58174.6
360,360,365,MALVERNE UFSD,92,3,28071.16,1724,910,814,82.0,124833.8
361,361,366,MAMARONECK UFSD,94,2,22853.8,5596,2917,2679,32.2,144161.5
362,362,367,MANCHESTER-SHORTSVILLE CSD (RED JACK,82,4,18766.55,763,404,359,11.8,
363,363,368,MANHASSET UFSD,98,0,25655.38,3163,1680,1483,35.9,146793.2
364,364,369,MARATHON CSD,98,0,21017.92,653,327,326,3.4,59716.7
365,365,370,MARCELLUS CSD,92,3,19566.23,1505,802,703,4.9,76931.4
366,366,371,MARGARETVILLE CSD,88,8,25293.61,330,164,166,29.4,58460.8
367,367,372,MARION CSD,86,4,22443.32,634,311,323,13.2,68890.7
368,368,373,MARLBORO CSD,91,4,21764.9,1891,968,923,37.2,77276.4
369,369,374,MASSAPEQUA UFSD,98,1,25406.75,6713,3337,3376,10.6,133976.5
370,370,375,MASSENA CSD,84,7,16440.97,2475,1222,1253,14.3,51442.0
371,371,376,MATTITUCK-CUTCHOGUE UFSD,93,1,31170.72,1101,584,517,23.0,97980.4
372,372,377,MAYFIELD CSD,90,4,18856.31,842,437,405,6.2,58933.3
373,373,378,MCGRAW CSD,89,5,18417.53,527,256,271,4.6,59645.8
374,374,379,MECHANICVILLE CITY SCHOOL DISTRICT,94,4,16937.42,1346,717,629,11.2,75677.8
375,375,380,MEDINA CSD,84,8,18543.05,1387,672,715,22.6,57023.6
376,376,381,MENANDS UFSD,—,—,17152.22,305,162,143,74.4,87980.5
377,377,382,MERRICK UFSD,—,—,29454.36,1510,768,742,13.9,127506.0
378,378,383,MEXICO CSD,90,3,21774.73,1944,991,953,5.7,62851.0
379,379,384,MIDDLE COUNTRY CSD,91,4,22520.78,9050,4660,4390,40.8,109711.9
380,380,385,MIDDLEBURGH CSD,93,4,26103.54,654,316,338,3.2,64995.6
381,381,386,MIDDLETOWN CITY SCHOOL DISTRICT,83,9,19264.71,7405,3739,3666,87.3,86565.0
382,382,387,MILFORD CSD,88,4,24297.78,334,176,158,4.2,63726.3
383,383,388,MILLBROOK CSD,96,0,26186.89,880,451,429,22.0,83433.0
384,384,389,MILLER PLACE UFSD,97,1,24358.13,2490,1308,1182,14.5,119062.3
385,385,390,MINEOLA UFSD,94,2,28437.39,2790,1460,1330,49.2,131102.6
386,386,391,MINERVA CSD,40,20,41834.28,99,45,54,7.1,54737.5
387,387,392,MINISINK VALLEY CSD,89,1,19866.22,3493,1779,1714,25.9,82132.6
388,388,394,MONROE-WOODBURY CSD,91,4,21906.32,6702,3384,3318,52.5,106537.3
389,389,395,MONTAUK UFSD,—,—,44925.84,286,146,140,36.4,102266.0
390,390,396,MONTICELLO CSD,83,7,23954.2,2786,1424,1362,58.2,67153.5
391,391,397,MORAVIA CSD,84,9,18050.12,873,434,439,4.2,65803.2
392,392,398,MORIAH CSD,89,6,20297.03,666,342,324,0.8,44562.4
393,393,399,MORRIS CSD,77,0,23527.09,310,165,145,8.7,62279.2
394,394,400,MORRISTOWN CSD,82,14,21795.55,322,167,155,4.3,52118.4
395,395,401,MORRISVILLE-EATON CSD,88,8,20737.05,588,289,299,7.7,63390.0
396,396,402,MOUNT MARKHAM CSD,86,8,19200.39,1038,527,511,3.9,60102.3
397,397,403,MT MORRIS CSD,85,10,21224.05,515,264,251,30.3,
398,398,404,MT PLEASANT CSD,96,0,27690.51,1902,993,909,20.8,
399,399,405,MT PLEASANT-BLYTHEDALE UFSD,0,0,,124,68,56,70.2,
400,400,406,MT PLEASANT-COTTAGE UFSD,9,27,,214,103,111,89.3,
401,401,407,MT SINAI UFSD,97,1,22321.61,2176,1131,1045,17.2,
402,402,408,MT VERNON SCHOOL DISTRICT,68,10,27660.55,7326,3755,3571,95.5,
403,403,409,NANUET UFSD,94,1,25962.31,2218,1126,1092,53.1,107895.2
404,404,410,NAPLES CSD,87,4,17557.81,599,305,294,3.0,58002.9
405,405,411,NEW HARTFORD CSD,97,1,17848.92,2553,1308,1245,14.8,62441.1
406,406,412,NEW HYDE PARK-GARDEN CITY PARK UFSD,—,—,19533.7,1719,882,837,76.6,128858.0
407,407,413,NEW LEBANON CSD,92,5,9766.29,409,205,204,7.8,87238.2
408,408,414,NEW PALTZ CSD,94,3,25094.98,2037,1036,1001,24.7,69680.6
409,409,415,NEW ROCHELLE CITY SCHOOL DISTRICT,80,3,22932.93,10286,5394,4892,74.9,147819.1
410,410,416,NEW SUFFOLK COMMON SCHOOL DISTRICT,—,—,36043.61,16,9,7,18.8,108972.0
411,411,417,NEWARK CSD,88,9,20106.84,1983,1014,969,29.7,55895.2
412,412,418,NEWARK VALLEY CSD,88,5,18004.61,1075,547,528,4.4,61204.4
413,413,419,NEWBURGH CITY SCHOOL DISTRICT,78,10,21654.67,10913,5664,5249,83.4,77814.0
414,414,420,NEWCOMB CSD,100,0,59290.5,68,39,29,5.9,44688.0
415,415,421,NEWFANE CSD,92,5,20242.16,1333,677,656,7.3,60037.5
416,416,422,NEWFIELD CSD,84,6,22438.23,728,355,373,19.5,59421.7
417,417,423,NIAGARA FALLS CITY SCHOOL DISTRICT,64,24,16647.7,6572,3240,3332,61.0,40596.2
418,418,424,NIAGARA-WHEATFIELD CSD,90,5,17860.17,3411,1738,1673,21.1,62356.5
419,419,425,NISKAYUNA CSD,94,1,15876.85,4294,2239,2055,31.3,85111.4
420,420,426,NORTH BABYLON UFSD,93,4,25157.29,4539,2335,2204,64.0,109923.6
421,421,427,NORTH BELLMORE UFSD,—,—,22631.36,2020,1014,1006,29.8,146297.3
422,422,428,NORTH COLLINS CSD,92,4,21209.35,547,277,270,9.1,62133.5
423,423,429,NORTH COLONIE CSD,93,3,16378.28,5887,2974,2913,37.1,70709.1
424,424,430,NORTH GREENBUSH COMMON SCHOOL DISTRICT (WILLIAMS),—,—,37967.85,13,5,8,15.4,71087.7
425,425,431,NORTH MERRICK UFSD,—,—,25386.74,1188,610,578,26.9,108847.7
426,426,432,NORTH ROSE-WOLCOTT CSD,87,6,21632.65,1114,535,579,13.3,56033.2
427,427,433,NORTH SALEM CSD,96,2,34752.96,1046,523,523,25.9,122803.6
428,428,434,NORTH SHORE CSD,96,0,36171.47,2567,1332,1235,23.1,127171.8
429,429,435,NORTH SYRACUSE CSD,87,5,15859.19,8175,4198,3977,19.1,69545.3
430,430,436,NORTH TONAWANDA CITY SCHOOL DISTRICT,86,7,17409.1,3184,1593,1591,10.9,69119.0
431,431,437,NORTH WARREN CSD,92,5,22431.62,493,269,224,8.9,61106.2
432,432,438,NORTHEAST CSD,87,6,26227.2,626,333,293,30.5,73045.2
433,433,439,NORTHEASTERN CLINTON CSD,81,9,22148.23,1235,622,613,4.2,56574.2
434,434,440,NORTHERN ADIRONDACK CSD,86,9,25473.35,785,418,367,1.0,56522.2
435,435,441,NORTHPORT-EAST NORTHPORT UFSD,96,2,28285.29,5053,2646,2407,19.0,131766.0
436,436,442,NORTHVILLE CSD,94,3,20631.26,420,197,223,8.1,59445.5
437,437,443,NORWICH CITY SCHOOL DISTRICT,86,4,18999.6,1672,848,824,9.4,53188.4
438,438,444,NORWOOD-NORFOLK CSD,90,5,20364.35,943,473,470,3.8,54853.2
439,439,445,NY MILLS UFSD,87,4,22734.23,541,267,274,11.3,
440,440,446,NYACK UFSD,91,5,24606.88,2866,1432,1434,57.8,124980.7
441,441,448,NYC GEOG DIST # 1 - MANHATTAN,68,8,19153.22,10473,5481,4992,81.6,77936.0
442,442,449,NYC GEOG DIST # 2 - MANHATTAN,81,5,15883.91,59568,28456,31112,73.4,127276.0
443,443,450,NYC GEOG DIST # 3 - MANHATTAN,81,3,16663.02,21132,9599,11533,66.5,104303.7
444,444,451,NYC GEOG DIST # 4 - MANHATTAN,85,4,21385.49,11510,5594,5916,95.0,31104.5
445,445,452,NYC GEOG DIST # 5 - MANHATTAN,74,5,23248.48,9332,4954,4378,93.6,50067.0
446,446,453,NYC GEOG DIST # 6 - MANHATTAN,75,5,20480.9,19124,9709,9415,94.4,55738.5
447,447,454,NYC GEOG DIST # 7 - BRONX,69,9,22088.49,16318,8639,7679,98.5,36670.8
448,448,455,NYC GEOG DIST # 8 - BRONX,66,13,20068.55,24613,12660,11953,94.4,44250.0
449,449,456,NYC GEOG DIST # 9 - BRONX,74,9,20785.08,29653,14989,14664,98.7,32099.8
450,450,457,NYC GEOG DIST #10 - BRONX,80,7,18515.51,49381,25187,24194,94.1,47554.0
451,451,458,NYC GEOG DIST #11 - BRONX,75,8,17704.26,35438,18643,16795,91.1,59079.6
452,452,459,NYC GEOG DIST #12 - BRONX,63,12,20174.92,19427,10007,9420,98.6,36342.3
453,453,460,NYC GEOG DIST #13 - BROOKLYN,90,2,16254.63,19994,10672,9322,82.8,100631.6
454,454,461,NYC GEOG DIST #14 - BROOKLYN,82,5,19282.51,16583,8684,7899,85.1,70139.6
455,455,462,NYC GEOG DIST #15 - BROOKLYN,71,5,18079.91,29846,14881,14965,69.9,95562.1
456,456,463,NYC GEOG DIST #16 - BROOKLYN,60,5,24918.87,5425,2891,2534,97.3,54048.0
457,457,464,NYC GEOG DIST #17 - BROOKLYN,74,6,19294.66,19019,9361,9658,96.9,62593.0
458,458,465,NYC GEOG DIST #18 - BROOKLYN,67,6,20378.87,12417,6499,5918,96.6,53702.3
459,459,466,NYC GEOG DIST #19 - BROOKLYN,79,6,20178.57,19389,10230,9159,97.9,39264.3
460,460,467,NYC GEOG DIST #20 - BROOKLYN,76,7,15814.7,49535,25915,23620,75.5,63385.7
461,461,468,NYC GEOG DIST #21 - BROOKLYN,77,6,16986.32,33868,17379,16489,67.6,53230.8
462,462,469,NYC GEOG DIST #22 - BROOKLYN,85,3,16774.61,31931,16127,15804,67.4,67778.1
463,463,470,NYC GEOG DIST #23 - BROOKLYN,52,12,23142.85,7714,4315,3399,98.7,38831.5
464,464,471,NYC GEOG DIST #24 - QUEENS,80,5,16393.21,54124,28429,25695,86.8,73961.0
465,465,472,NYC GEOG DIST #25 - QUEENS,76,5,16025.35,35583,18163,17420,88.7,67681.3
466,466,473,NYC GEOG DIST #26 - QUEENS,92,3,14190.81,30802,15826,14976,84.7,89223.3
467,467,474,NYC GEOG DIST #27 - QUEENS,76,10,17641.03,40675,21347,19328,90.0,74852.8
468,468,475,NYC GEOG DIST #28 - QUEENS,84,5,15026.48,38378,19482,18896,84.4,72971.7
469,469,476,NYC GEOG DIST #29 - QUEENS,77,6,16852.11,23776,12395,11381,98.2,80180.1
470,470,477,NYC GEOG DIST #30 - QUEENS,86,4,16113.61,36697,18539,18158,83.4,72604.3
471,471,478,NYC GEOG DIST #31 - STATEN ISLAND,84,4,18970.34,57787,29605,28182,55.6,86134.6
472,472,479,NYC GEOG DIST #32 - BROOKLYN,75,8,20978.36,9850,5045,4805,97.6,52066.0
473,473,481,NYC SPEC SCHOOLS - DIST 75,—,—,6091.88,25358,18632,6726,87.3,
474,474,482,OAKFIELD-ALABAMA CSD,85,3,18394.15,772,379,393,6.7,60528.5
475,475,483,OCEANSIDE UFSD,94,0,22535.44,5506,2852,2654,29.4,115829.3
476,476,484,ODESSA-MONTOUR CSD,93,4,18234.83,723,379,344,6.6,57681.7
477,477,485,OGDENSBURG CITY SCHOOL DISTRICT,80,12,22365.24,1475,763,712,2.0,53915.0
478,478,486,OLEAN CITY SCHOOL DISTRICT,74,10,18698.78,1925,1008,917,18.6,47782.0
479,479,487,ONEIDA CITY SCHOOL DISTRICT,85,9,18768.6,1857,923,934,11.6,63358.4
480,480,488,ONEONTA CITY SCHOOL DISTRICT,84,7,17884.13,1734,885,849,21.6,53729.0
481,481,489,ONONDAGA CSD,90,6,19020.04,768,369,399,27.3,71562.8
482,482,490,ONTEORA CSD,87,4,38615.96,1201,597,604,25.3,68467.2
483,483,492,OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,85,9,21080.92,689,335,354,3.0,
484,484,493,ORCHARD PARK CSD,97,0,18291.68,4649,2318,2331,7.4,73334.8
485,485,494,ORISKANY CSD,92,2,20301.77,569,294,275,8.1,69966.8
486,486,495,OSSINING UFSD,80,2,22422.6,4774,2464,2310,79.6,127406.3
487,487,496,OSWEGO CITY SCHOOL DISTRICT,81,8,19998.39,3626,1870,1756,10.3,58733.3
488,488,497,OTEGO-UNADILLA CSD,87,5,21458.71,716,338,378,11.9,57785.5
489,489,498,OTSELIC VALLEY CSD,94,3,27026.81,291,142,149,1.7,
490,490,499,OWEGO-APALACHIN CSD,92,3,18179.7,1922,990,932,5.0,64451.6
491,491,500,OXFORD ACADEMY & CSD,95,2,22363.77,706,349,357,7.8,
492,492,501,OYSTER BAY-EAST NORWICH CSD,95,3,31106.27,1528,776,752,36.9,127665.7
493,493,502,OYSTERPONDS UFSD,—,—,39628.6,65,29,36,30.8,79892.5
494,494,503,PALMYRA-MACEDON CSD,91,7,18477.61,1789,927,862,7.4,75147.0
495,495,504,PANAMA CSD,100,0,21679.03,436,223,213,5.5,56309.8
496,496,505,PARISHVILLE-HOPKINTON CSD,97,0,25102.89,365,187,178,1.1,52445.8
497,497,506,PATCHOGUE-MEDFORD UFSD,86,4,22688.05,7349,3796,3553,56.0,104073.8
498,498,507,PAVILION CSD,83,11,21512.28,638,332,306,5.2,63204.1
499,499,508,PAWLING CSD,93,0,28302.88,1114,571,543,29.4,106711.7
500,500,509,PEARL RIVER UFSD,96,1,23852.0,2361,1207,1154,23.1,133580.0
501,501,510,PEEKSKILL CITY SCHOOL DISTRICT,80,8,22977.07,3352,1791,1561,93.1,98254.5
502,502,511,PELHAM UFSD,98,0,22511.94,2913,1515,1398,34.7,107724.7
503,503,512,PEMBROKE CSD,92,2,21102.75,910,435,475,6.5,64466.6
504,504,513,PENFIELD CSD,97,1,16744.56,4587,2333,2254,17.6,76003.1
505,505,514,PENN YAN CSD,87,8,22166.64,1312,640,672,7.5,56688.6
506,506,515,PERRY CSD,92,3,18437.89,772,389,383,9.8,58877.4
507,507,516,PERU CSD,89,7,21325.68,1822,948,874,5.8,64691.1
508,508,517,PHELPS-CLIFTON SPRINGS CSD,85,11,18223.93,1549,809,740,10.5,61560.7
509,509,518,PHOENIX CSD,87,8,21337.44,1644,839,805,5.2,70405.7
510,510,519,PINE BUSH CSD,91,4,20058.09,4925,2563,2362,30.7,91832.3
511,511,520,PINE PLAINS CSD,89,5,28458.63,855,425,430,21.6,77546.2
512,512,521,PINE VALLEY CSD (SOUTH DAYTON),66,15,24415.35,485,243,242,9.7,52078.8
513,513,522,PITTSFORD CSD,98,0,19861.85,5588,2876,2712,26.9,90935.4
514,514,523,PLAINEDGE UFSD,95,0,26342.58,2823,1454,1369,13.8,125001.0
515,515,524,PLAINVIEW-OLD BETHPAGE CSD,96,0,26869.5,4955,2547,2408,33.7,150691.0
516,516,525,PLATTSBURGH CITY SCHOOL DISTRICT,84,8,21291.56,1800,935,865,14.2,63237.0
517,517,526,PLEASANTVILLE UFSD,93,1,25303.29,1695,877,818,24.3,156774.0
518,518,527,POCANTICO HILLS CSD,—,—,53858.3,285,137,148,61.4,126171.8
519,519,528,POLAND CSD,93,7,23870.17,487,242,245,7.0,66199.2
520,520,529,PORT BYRON CSD,86,4,23478.26,728,356,372,5.5,58286.6
521,521,530,PORT CHESTER-RYE UFSD,82,5,17876.84,4775,2502,2273,87.4,147261.5
522,522,531,PORT JEFFERSON UFSD,96,1,35628.81,1022,526,496,23.9,133935.3
523,523,532,PORT JERVIS CITY SCHOOL DISTRICT,86,6,25319.9,2444,1245,1199,34.2,71534.5
524,524,533,PORT WASHINGTON UFSD,93,2,25331.03,5364,2749,2615,37.0,131163.0
525,525,534,PORTVILLE CSD,95,3,14307.29,986,469,517,6.6,49672.6
526,526,535,POTSDAM CSD,95,3,20234.62,1234,667,567,8.9,61014.0
527,527,536,POUGHKEEPSIE CITY SCHOOL DISTRICT,60,19,21427.37,4154,2184,1970,93.7,68081.0
528,528,537,PRATTSBURGH CSD,84,4,18240.82,360,179,181,8.1,49466.2
529,529,538,PULASKI CSD,87,4,20825.86,924,465,459,3.8,57120.5
530,530,539,PUTNAM CSD,—,—,23009.37,28,19,9,0.0,68670.0
531,531,540,PUTNAM VALLEY CSD,97,1,26817.67,1598,808,790,31.5,117689.0
532,532,542,QUEENSBURY UFSD,90,3,16548.22,3135,1622,1513,7.0,62680.8
533,533,543,QUOGUE UFSD,—,—,69868.4,77,38,39,23.4,104077.7
534,534,544,RANDOLPH ACAD UFSD,—,—,,164,118,46,37.2,
535,535,545,RANDOLPH CSD,99,0,18397.12,846,421,425,11.0,47460.4
536,536,546,RAVENA-COEYMANS-SELKIRK CSD,88,6,18848.63,1768,895,873,19.1,78473.9
537,537,547,RED CREEK CSD,88,10,21345.38,783,424,359,5.0,54821.5
538,538,548,RED HOOK CSD,91,4,24227.11,1766,918,848,16.5,86355.9
539,539,549,REMSEN CSD,87,0,26257.19,405,216,189,3.5,71187.4
540,540,550,REMSENBURG-SPEONK UFSD,—,—,58547.76,132,66,66,27.3,106765.3
541,541,551,RENSSELAER CITY SCHOOL DISTRICT,84,5,17978.0,1028,524,504,44.6,77000.0
542,542,552,RHINEBECK CSD,93,1,30026.67,944,466,478,16.9,89250.5
543,543,553,RICHFIELD SPRINGS CSD,92,8,24034.39,402,223,179,5.5,57788.7
544,544,555,RIPLEY CSD,—,—,33327.7,123,61,62,4.9,43987.0
545,545,556,RIVERHEAD CSD,76,13,18810.89,5829,3028,2801,67.0,82145.0
546,546,557,ROCHESTER CITY SCHOOL DISTRICT,68,13,19885.5,25017,12904,12113,90.4,53004.4
547,547,558,ROCKVILLE CENTRE UFSD,98,0,29490.95,3579,1855,1724,26.5,107137.0
548,548,559,ROCKY POINT UFSD,95,4,24991.0,2905,1441,1464,22.1,119852.8
549,549,560,ROME CITY SCHOOL DISTRICT,82,8,17823.87,5320,2736,2584,21.0,64102.1
550,550,561,ROMULUS CSD,82,6,20890.39,434,210,224,11.1,55966.8
551,551,562,RONDOUT VALLEY CSD,88,8,28695.99,1869,978,891,15.9,71359.3
552,552,563,ROOSEVELT UFSD,75,16,20300.43,3346,1780,1566,99.9,112783.2
553,553,564,ROSCOE CSD,89,0,30693.78,220,120,100,13.6,55007.2
554,554,565,ROSLYN UFSD,99,1,29181.7,3195,1622,1573,32.2,165746.0
555,555,566,ROTTERDAM-MOHONASEN CSD,91,3,15118.77,2798,1418,1380,23.9,63371.0
556,556,567,ROXBURY CSD,86,0,34739.37,239,112,127,4.2,60713.0
557,557,568,ROYALTON-HARTLAND CSD,92,6,16056.73,1206,587,619,8.7,68789.0
558,558,569,RUSH-HENRIETTA CSD,92,3,19635.2,5387,2725,2662,42.6,85732.0
559,559,570,RYE CITY SCHOOL DISTRICT,96,0,25422.18,3234,1670,1564,20.6,140148.3
560,560,571,RYE NECK UFSD,93,1,22836.77,1572,809,763,37.5,146139.0
561,561,572,SACHEM CSD,94,2,20861.5,12351,6266,6085,30.0,108960.8
562,562,573,SACKETS HARBOR CSD,90,5,18003.63,418,204,214,10.8,62790.8
563,563,574,SAG HARBOR UFSD,89,3,38192.07,919,461,458,27.7,98489.0
564,564,575,SAGAPONACK COMMON SCHOOL DISTRICT,—,—,55333.31,16,9,7,6.2,90326.0
565,565,576,SALAMANCA CITY SCHOOL DISTRICT,79,3,24617.42,1213,628,585,50.5,45555.2
566,566,577,SALEM CSD,78,12,19489.37,524,286,238,5.3,66846.8
567,567,578,SALMON RIVER CSD,85,6,26274.61,1389,703,686,67.7,48057.6
568,568,579,SANDY CREEK CSD,90,3,25117.81,742,396,346,4.6,57632.4
569,569,580,SARANAC CSD,90,7,22036.63,1395,714,681,3.6,62700.3
570,570,581,SARANAC LAKE CSD,93,4,24587.99,1150,602,548,2.8,63221.1
571,571,582,SARATOGA SPRINGS CITY SCHOOL DISTRICT,92,4,17059.93,6248,3164,3084,11.8,84608.2
572,572,583,SAUGERTIES CSD,84,10,21994.66,2449,1205,1244,24.6,57250.5
573,573,584,SAUQUOIT VALLEY CSD,93,3,17140.41,943,463,480,7.6,67379.9
574,574,585,SAYVILLE UFSD,97,0,27033.14,2822,1445,1377,12.9,116648.0
575,575,586,SCARSDALE UFSD,98,1,28842.09,4749,2450,2299,36.4,151912.0
576,576,587,SCHALMONT CSD,90,4,18953.56,1799,940,859,14.7,77453.1
577,577,588,SCHENECTADY CITY SCHOOL DISTRICT,74,11,18266.0,9243,4779,4464,79.6,59576.0
578,578,589,SCHENEVUS CSD,81,9,21163.27,330,177,153,5.8,60163.8
579,579,590,SCHODACK CSD,97,0,21104.26,900,465,435,7.9,91121.2
580,580,591,SCHOHARIE CSD,89,4,20304.39,889,469,420,5.5,66572.6
581,581,592,SCHROON LAKE CSD,100,0,25128.01,259,136,123,1.5,63459.4
582,582,593,SCHUYLERVILLE CSD,96,2,19497.47,1517,770,747,4.9,74302.6
583,583,594,SCIO CSD,81,16,25594.63,302,165,137,3.0,47109.7
584,584,595,SCOTIA-GLENVILLE CSD,88,6,19185.24,2371,1257,1114,10.3,63474.5
585,585,596,SEAFORD UFSD,95,2,26115.27,2247,1146,1101,12.4,137155.0
586,586,597,SENECA FALLS CSD,87,6,16786.23,1198,618,580,17.9,53409.0
587,587,598,SEWANHAKA CENTRAL HS DISTRICT,95,1,20338.62,8140,4213,3927,68.3,
588,588,599,SHARON SPRINGS CSD,94,6,38377.69,226,109,117,7.1,55067.4
589,589,600,SHELTER ISLAND UFSD,96,4,48559.74,192,99,93,33.9,98213.0
