,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
81,CANAJOHARIE,94,4,21495.74,818,416,402,6.2,75118.0,
82,CANANDAIGUA,92,4,17678.85,3357,1720,1637,12.7,93586.0,
83,CANASERAGA,71,18,24196.83,199,94,105,5.5,71772.0,
84,CANASTOTA,84,7,17657.1,1275,645,630,10.0,88129.0,No
85,CANDOR,93,3,19391.18,718,354,364,7.2,74092.0,
86,CANISTEO-GREENWOOD,93,4,22874.26,935,495,440,4.3,65178.0,
87,CANTON,82,1,20152.15,1171,610,561,7.3,70571.0,
88,CARLEPLACE,98,0,32591.09,1358,712,646,35.4,128511.0,
89,CARMEL,92,3,27298.65,3979,2034,1945,37.6,134220.0,No
90,CARTHAGE,89,5,17149.15,3065,1602,1463,25.9,63074.0,Yes
91,CASSADAGAVALLEY,88,7,20862.54,799,422,377,6.0,64925.0,
92,CATO-MERIDIAN,89,5,18088.09,860,449,411,8.1,76503.0,
93,CATSKILL,91,4,24088.35,1350,668,682,32.9,77212.0,
94,CATTARAUGUS-LITTLEVALLEY,93,4,19362.54,858,431,427,6.9,64297.0,
95,CAZENOVIA,94,2,17708.25,1360,727,633,6.0,87726.0,
96,CENTERMORICHES,93,1,24593.36,1513,788,725,26.8,109894.0,
97,CENTRALISLIP,88,1,21656.92,7571,3929,3642,96.1,119109.0,
98,CENTRALSQUARE,87,8,17310.54,3580,1827,1753,6.1,77455.0,
99,CENTRALVALLEYATILION-MOHAWK,87,5,15522.11,2082,1025,1057,9.4,,
100,CHAPPAQUA,99,0,29069.23,3625,1870,1755,25.9,261233.0,No
101,CHARLOTTEVALLEY,0,4,19819.35,382,202,180,7.3,69507.0,
102,CHATEAUGAY,97,3,20495.72,451,243,208,1.3,69316.0,
103,CHATHAM,94,4,25024.45,971,491,480,13.0,112484.0,
104,CHAUTAUQUALAKE,85,3,23416.94,706,328,378,5.1,68321.0,
105,CHAZY,94,6,19209.93,455,234,221,5.7,80381.0,
106,CHEEKTOWAGA,87,7,16544.11,2138,1109,1029,60.4,60197.0,Yes
107,CHEEKTOWAGA-MARYVALE,87,5,15434.4,2087,1081,1006,27.8,70070.0,No
108,CHEEKTOWAGA-SLOAN,86,5,19755.19,1232,641,591,23.5,60559.0,Yes
109,CHENANGOFORKS,93,0,18273.44,1340,727,613,7.8,68460.0,
110,CHENANGOVALLEY,91,5,18101.82,1648,841,807,10.7,64400.0,
111,CHERRYVALLEY-SPRINGFIELD,79,3,24150.04,422,219,203,2.1,70403.0,
112,CHESTER,90,1,24039.21,986,489,497,53.5,120958.0,
113,CHITTENANGO,90,3,17253.94,1904,971,933,8.4,98090.0,No
114,CHURCHVILLE-CHILI,91,2,15793.94,3751,1944,1807,23.1,88620.0,No
115,CINCINNATUS,90,5,21748.43,514,239,275,2.3,68478.0,
116,CLARENCE,95,2,15613.47,4228,2170,2058,12.1,114562.0,No
117,CLARKSTOWN,95,1,22878.82,7821,4098,3723,42.0,152153.0,No
118,CLEVELANDHILL,85,6,18076.74,1254,634,620,52.4,71973.0,
119,CLIFTON-FINE,77,0,28678.72,276,134,142,8.3,58631.0,
120,CLINTON,96,1,17575.94,1258,649,609,9.2,90838.0,
121,CLYDE-SAVANNAH,78,17,21555.55,754,385,369,15.1,65289.0,
122,CLYMER,93,0,21086.05,414,221,193,9.4,70700.0,
123,COBLESKILL-RICHMONDVILLE,93,3,20054.26,1639,878,761,10.0,70931.0,Yes
124,COHOES,84,11,17770.18,1873,943,930,28.9,80519.0,Yes
125,COLDSPRINGHARBOR,99,0,33287.48,1635,838,797,13.9,227514.0,
126,COLTON-PIERREPONT,94,0,22481.64,339,169,170,0.6,68221.0,
127,COMMACK,97,0,26170.47,5875,3018,2857,23.3,150579.0,No
128,CONNETQUOT,95,2,28395.35,5509,2786,2723,26.7,125716.0,No
129,COOPERSTOWN,99,1,19740.77,818,413,405,8.8,86784.0,
130,COPENHAGEN,100,0,18762.25,393,212,181,7.6,73689.0,
131,COPIAGUE,89,7,18858.63,4965,2443,2522,87.7,116162.0,No
132,CORINTH,86,6,15265.53,1139,586,553,4.8,96817.0,
133,CORNING,88,6,19702.53,4551,2359,2192,13.5,78698.0,Yes
134,CORNWALL,96,3,18883.36,3102,1632,1470,35.5,126145.0,Yes
135,CORTLAND,80,7,18587.04,2132,1092,1040,15.1,75724.0,No
136,COXSACKIE-ATHENS,82,7,20955.92,1242,679,563,15.5,80744.0,No
