,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
348,LONGWOOD,89,5,21996.25,9042,4626,4416,54.6,118616.0,Yes
349,LOWVILLEACADEMY&,92,5,16364.3,1283,653,630,6.4,,
350,LYME,95,5,19158.07,331,157,174,6.9,73108.0,
351,LYNBROOK,97,1,26396.92,2787,1422,1365,32.9,147482.0,No
352,LYNCOURT,—,—,20346.46,373,196,177,47.5,58539.0,
353,LYNDONVILLE,96,4,20760.99,586,296,290,12.1,68941.0,
354,LYONS,74,14,25724.35,833,434,399,25.5,65572.0,
355,MADISON,94,3,18344.65,454,212,242,1.8,88414.0,
356,MADRID-WADDINGTON,93,2,19452.88,655,331,324,3.5,71515.0,
357,MAHOPAC,94,2,26934.25,3972,2029,1943,28.5,136601.0,No
358,MAINE-ENDWELL,89,7,15937.75,2459,1226,1233,12.4,70237.0,Yes
359,MALONE,87,4,20754.3,2199,1191,1008,3.4,76700.0,Yes
360,MALVERNE,92,3,28071.16,1724,910,814,82.0,154988.0,No
361,MAMARONECK,94,2,22853.8,5596,2917,2679,32.2,221350.0,No
362,MANCHESTER-SHORTSVILLE(REDJACK,82,4,18766.55,763,404,359,11.8,,
363,MANHASSET,98,0,25655.38,3163,1680,1483,35.9,224361.0,Yes
364,MARATHON,98,0,21017.92,653,327,326,3.4,68330.0,
365,MARCELLUS,92,3,19566.23,1505,802,703,4.9,96588.0,
366,MARGARETVILLE,88,8,25293.61,330,164,166,29.4,76809.0,
367,MARION,86,4,22443.32,634,311,323,13.2,84603.0,
368,MARLBORO,91,4,21764.9,1891,968,923,37.2,101334.0,
369,MASSAPEQUA,98,1,25406.75,6713,3337,3376,10.6,151609.0,No
370,MASSENA,84,7,16440.97,2475,1222,1253,14.3,62572.0,Yes
371,MATTITUCK-CUTCHOGUE,93,1,31170.72,1101,584,517,23.0,126200.0,
372,MAYFIELD,90,4,18856.31,842,437,405,6.2,84083.0,
373,MCGRAW,89,5,18417.53,527,256,271,4.6,68269.0,
374,MECHANICVILLE,94,4,16937.42,1346,717,629,11.2,95530.0,
375,MEDINA,84,8,18543.05,1387,672,715,22.6,65670.0,
376,MENANDS,—,—,17152.22,305,162,143,74.4,106485.0,
377,MERRICK,—,—,29454.36,1510,768,742,13.9,147341.0,
378,MEXICO,90,3,21774.73,1944,991,953,5.7,80234.0,No
379,MIDDLECOUNTRY,91,4,22520.78,9050,4660,4390,40.8,130967.0,
380,MIDDLEBURGH,93,4,26103.54,654,316,338,3.2,77604.0,
381,MIDDLETOWN,83,9,19264.71,7405,3739,3666,87.3,104446.0,No
382,MILFORD,88,4,24297.78,334,176,158,4.2,79308.0,
383,MILLBROOK,96,0,26186.89,880,451,429,22.0,113847.0,No
384,MILLERPLACE,97,1,24358.13,2490,1308,1182,14.5,138032.0,
385,MINEOLA,94,2,28437.39,2790,1460,1330,49.2,175262.0,Yes
386,MINERVA,40,20,41834.28,99,45,54,7.1,70402.0,
387,MINISINKVALLEY,89,1,19866.22,3493,1779,1714,25.9,100544.0,
388,MONROE-WOODBURY,91,4,21906.32,6702,3384,3318,52.5,129847.0,No
389,MONTAUK,—,—,44925.84,286,146,140,36.4,140699.0,
390,MONTICELLO,83,7,23954.2,2786,1424,1362,58.2,80760.0,Yes
391,MORAVIA,84,9,18050.12,873,434,439,4.2,86998.0,
392,MORIAH,89,6,20297.03,666,342,324,0.8,57074.0,
393,MORRIS,77,0,23527.09,310,165,145,8.7,80818.0,
394,MORRISTOWN,82,14,21795.55,322,167,155,4.3,65632.0,
395,MORRISVILLE-EATON,88,8,20737.05,588,289,299,7.7,75469.0,
396,MOUNTMARKHAM,86,8,19200.39,1038,527,511,3.9,71274.0,
397,MTMORRIS,85,10,21224.05,515,264,251,30.3,,
398,MTPLEASANT,96,0,27690.51,1902,993,909,20.8,,
399,MTPLEASANT-BLYTHEDALE,0,0,,124,68,56,70.2,,
400,MTPLEASANT-COTTAGE,9,27,,214,103,111,89.3,,
401,MTSINAI,97,1,22321.61,2176,1131,1045,17.2,,
402,MTVERNONSCHOOLDISTRICT,68,10,27660.55,7326,3755,3571,95.5,,
403,NANUET,94,1,25962.31,2218,1126,1092,53.1,133184.0,No
404,NAPLES,87,4,17557.81,599,305,294,3.0,73200.0,
405,NEWHARTFORD,97,1,17848.92,2553,1308,1245,14.8,79270.0,
406,NEWHYDEPARK-GARDENCITYPARK,—,—,19533.7,1719,882,837,76.6,155044.0,
407,NEWLEBANON,92,5,9766.29,409,205,204,7.8,109388.0,
408,NEWPALTZ,94,3,25094.98,2037,1036,1001,24.7,87396.0,
409,NEWROCHELLE,80,3,22932.93,10286,5394,4892,74.9,211162.0,
410,NEWSUFFOLKCOMMONSCHOOLDISTRICT,—,—,36043.61,16,9,7,18.8,148591.0,
411,NEWARK,88,9,20106.84,1983,1014,969,29.7,69218.0,Yes
412,NEWARKVALLEY,88,5,18004.61,1075,547,528,4.4,74577.0,
413,NEWBURGH,78,10,21654.67,10913,5664,5249,83.4,96570.0,Yes
414,NEWCOMB,100,0,59290.5,68,39,29,5.9,63764.0,
415,NEWFANE,92,5,20242.16,1333,677,656,7.3,80928.0,No
416,NEWFIELD,84,6,22438.23,728,355,373,19.5,78659.0,
417,NIAGARAFALLS,64,24,16647.7,6572,3240,3332,61.0,46201.0,
418,NIAGARA-WHEATFIELD,90,5,17860.17,3411,1738,1673,21.1,77125.0,Yes
419,NISKAYUNA,94,1,15876.85,4294,2239,2055,31.3,99099.0,Yes
420,NORTHBABYLON,93,4,25157.29,4539,2335,2204,64.0,129691.0,
421,NORTHBELLMORE,—,—,22631.36,2020,1014,1006,29.8,166967.0,
422,NORTHCOLLINS,92,4,21209.35,547,277,270,9.1,79396.0,
423,NORTHCOLONIE,93,3,16378.28,5887,2974,2913,37.1,87143.0,
424,NORTHGREENBUSHCOMMONSCHOOLDISTRICT(WILLIAMS),—,—,37967.85,13,5,8,15.4,87272.0,
425,NORTHMERRICK,—,—,25386.74,1188,610,578,26.9,131276.0,
426,NORTHROSE-WOLCOTT,87,6,21632.65,1114,535,579,13.3,64902.0,
427,NORTHSALEM,96,2,34752.96,1046,523,523,25.9,161690.0,
428,NORTHSHORE,96,0,36171.47,2567,1332,1235,23.1,204162.0,
429,NORTHSYRACUSE,87,5,15859.19,8175,4198,3977,19.1,82288.0,
430,NORTHTONAWANDA,86,7,17409.1,3184,1593,1591,10.9,81336.0,
431,NORTHWARREN,92,5,22431.62,493,269,224,8.9,73838.0,
432,NORTHEAST,87,6,26227.2,626,333,293,30.5,102501.0,
433,NORTHEASTERNCLINTON,81,9,22148.23,1235,622,613,4.2,70145.0,
434,NORTHERNADIRONDACK,86,9,25473.35,785,418,367,1.0,67915.0,
435,NORTHPORT-EASTNORTHPORT,96,2,28285.29,5053,2646,2407,19.0,163391.0,
436,NORTHVILLE,94,3,20631.26,420,197,223,8.1,89234.0,
437,NORWICH,86,4,18999.6,1672,848,824,9.4,65299.0,No
438,NORWOOD-NORFOLK,90,5,20364.35,943,473,470,3.8,66996.0,
439,NYMILLS,87,4,22734.23,541,267,274,11.3,,
440,NYACK,91,5,24606.88,2866,1432,1434,57.8,152677.0,No
441,NYCGEOGDIST#1-MANHATTAN,68,8,19153.22,10473,5481,4992,81.6,67737.0,Yes
442,NYCGEOGDIST#2-MANHATTAN,81,5,15883.91,59568,28456,31112,73.4,75889.0,Yes
443,NYCGEOGDIST#3-MANHATTAN,81,3,16663.02,21132,9599,11533,66.5,52783.0,Yes
444,NYCGEOGDIST#4-MANHATTAN,85,4,21385.49,11510,5594,5916,95.0,146314.0,Yes
445,NYCGEOGDIST#5-MANHATTAN,74,5,23248.48,9332,4954,4378,93.6,100410.0,Yes
446,NYCGEOGDIST#6-MANHATTAN,75,5,20480.9,19124,9709,9415,94.4,136417.0,Yes
447,NYCGEOGDIST#7-BRONX,69,9,22088.49,16318,8639,7679,98.5,78197.0,Yes
448,NYCGEOGDIST#8-BRONX,66,13,20068.55,24613,12660,11953,94.4,87778.0,Yes
449,NYCGEOGDIST#9-BRONX,74,9,20785.08,29653,14989,14664,98.7,71335.0,Yes
450,NYCGEOGDIST#10-BRONX,80,7,18515.51,49381,25187,24194,94.1,55736.0,Yes
451,NYCGEOGDIST#11-BRONX,75,8,17704.26,35438,18643,16795,91.1,129992.0,Yes
452,NYCGEOGDIST#12-BRONX,63,12,20174.92,19427,10007,9420,98.6,87799.0,Yes
453,NYCGEOGDIST#13-BROOKLYN,90,2,16254.63,19994,10672,9322,82.8,78298.0,Yes
454,NYCGEOGDIST#14-BROOKLYN,82,5,19282.51,16583,8684,7899,85.1,92972.0,Yes
455,NYCGEOGDIST#15-BROOKLYN,71,5,18079.91,29846,14881,14965,69.9,59556.0,Yes
456,NYCGEOGDIST#16-BROOKLYN,60,5,24918.87,5425,2891,2534,97.3,93211.0,Yes
457,NYCGEOGDIST#17-BROOKLYN,74,6,19294.66,19019,9361,9658,96.9,88695.0,Yes
458,NYCGEOGDIST#18-BROOKLYN,67,6,20378.87,12417,6499,5918,96.6,134669.0,Yes
459,NYCGEOGDIST#19-BROOKLYN,79,6,20178.57,19389,10230,9159,97.9,96886.0,Yes
460,NYCGEOGDIST#20-BROOKLYN,76,7,15814.7,49535,25915,23620,75.5,94052.0,Yes
461,NYCGEOGDIST#21-BROOKLYN,77,6,16986.32,33868,17379,16489,67.6,98047.0,Yes
462,NYCGEOGDIST#22-BROOKLYN,85,3,16774.61,31931,16127,15804,67.4,216930.0,Yes
463,NYCGEOGDIST#23-BROOKLYN,52,12,23142.85,7714,4315,3399,98.7,94671.0,Yes
464,NYCGEOGDIST#24-QUEENS,80,5,16393.21,54124,28429,25695,86.8,107648.0,Yes
465,NYCGEOGDIST#25-QUEENS,76,5,16025.35,35583,18163,17420,88.7,73559.0,Yes
466,NYCGEOGDIST#26-QUEENS,92,3,14190.81,30802,15826,14976,84.7,184564.0,Yes
467,NYCGEOGDIST#27-QUEENS,76,10,17641.03,40675,21347,19328,90.0,64864.0,Yes
468,NYCGEOGDIST#28-QUEENS,84,5,15026.48,38378,19482,18896,84.4,76849.0,Yes
469,NYCGEOGDIST#29-QUEENS,77,6,16852.11,23776,12395,11381,98.2,75663.0,Yes
470,NYCGEOGDIST#30-QUEENS,86,4,16113.61,36697,18539,18158,83.4,52737.0,Yes
471,NYCGEOGDIST#31-STATENISLAND,84,4,18970.34,57787,29605,28182,55.6,60563.0,Yes
472,NYCGEOGDIST#32-BROOKLYN,75,8,20978.36,9850,5045,4805,97.6,47668.0,Yes
473,NYCSPECSCHOOLS-DIST75,—,—,6091.88,25358,18632,6726,87.3,,
474,OAKFIELD-ALABAMA,85,3,18394.15,772,379,393,6.7,71686.0,
475,OCEANSIDE,94,0,22535.44,5506,2852,2654,29.4,161774.0,No
476,ODESSA-MONTOUR,93,4,18234.83,723,379,344,6.6,72930.0,
477,OGDENSBURG,80,12,22365.24,1475,763,712,2.0,65992.0,
478,OLEAN,74,10,18698.78,1925,1008,917,18.6,61826.0,Yes
479,ONEIDA,85,9,18768.6,1857,923,934,11.6,73958.0,Yes
480,ONEONTA,84,7,17884.13,1734,885,849,21.6,73977.0,Yes
481,ONONDAGA,90,6,19020.04,768,369,399,27.3,86201.0,
482,ONTEORA,87,4,38615.96,1201,597,604,25.3,93953.0,No
483,OPPENHEIM-EPHRATAH-ST.JOHNSVILLECS,85,9,21080.92,689,335,354,3.0,,
484,ORCHARDPARK,97,0,18291.68,4649,2318,2331,7.4,96393.0,
485,ORISKANY,92,2,20301.77,569,294,275,8.1,83658.0,
486,OSSINING,80,2,22422.6,4774,2464,2310,79.6,184042.0,No
487,OSWEGO,81,8,19998.39,3626,1870,1756,10.3,76821.0,No
488,OTEGO-UNADILLA,87,5,21458.71,716,338,378,11.9,69394.0,Yes
489,OTSELICVALLEY,94,3,27026.81,291,142,149,1.7,,
490,OWEGO-APALACHIN,92,3,18179.7,1922,990,932,5.0,77697.0,Yes
491,OXFORDACADEMY&,95,2,22363.77,706,349,357,7.8,,
492,OYSTERBAY-EASTNORWICH,95,3,31106.27,1528,776,752,36.9,253437.0,
493,OYSTERPONDS,—,—,39628.6,65,29,36,30.8,145348.0,
494,PALMYRA-MACEDON,91,7,18477.61,1789,927,862,7.4,90559.0,No
495,PANAMA,100,0,21679.03,436,223,213,5.5,75600.0,
496,PARISHVILLE-HOPKINTON,97,0,25102.89,365,187,178,1.1,66268.0,
497,PATCHOGUE-MEDFORD,86,4,22688.05,7349,3796,3553,56.0,121241.0,Yes
498,PAVILION,83,11,21512.28,638,332,306,5.2,76957.0,
499,PAWLING,93,0,28302.88,1114,571,543,29.4,122646.0,
500,PEARLRIVER,96,1,23852.0,2361,1207,1154,23.1,161820.0,
501,PEEKSKILL,80,8,22977.07,3352,1791,1561,93.1,124381.0,No
502,PELHAM,98,0,22511.94,2913,1515,1398,34.7,150742.0,No
503,PEMBROKE,92,2,21102.75,910,435,475,6.5,77055.0,
504,PENFIELD,97,1,16744.56,4587,2333,2254,17.6,95531.0,No
505,PENNYAN,87,8,22166.64,1312,640,672,7.5,67993.0,
506,PERRY,92,3,18437.89,772,389,383,9.8,67171.0,
507,PERU,89,7,21325.68,1822,948,874,5.8,80219.0,
508,PHELPS-CLIFTONSPRINGS,85,11,18223.93,1549,809,740,10.5,76566.0,
509,PHOENIX,87,8,21337.44,1644,839,805,5.2,85460.0,
510,PINEBUSH,91,4,20058.09,4925,2563,2362,30.7,106458.0,
511,PINEPLAINS,89,5,28458.63,855,425,430,21.6,116141.0,
512,PINEVALLEY(SOUTHDAYTON),66,15,24415.35,485,243,242,9.7,64100.0,
513,PITTSFORD,98,0,19861.85,5588,2876,2712,26.9,120340.0,No
514,PLAINEDGE,95,0,26342.58,2823,1454,1369,13.8,147744.0,No
515,PLAINVIEW-OLDBETHPAGE,96,0,26869.5,4955,2547,2408,33.7,189176.0,
516,PLATTSBURGH,84,8,21291.56,1800,935,865,14.2,77883.0,Yes
517,PLEASANTVILLE,93,1,25303.29,1695,877,818,24.3,263679.0,
518,POCANTICOHILLS,—,—,53858.3,285,137,148,61.4,173483.0,
519,POLAND,93,7,23870.17,487,242,245,7.0,76086.0,
520,PORTBYRON,86,4,23478.26,728,356,372,5.5,75689.0,
521,PORTCHESTER-RYE,82,5,17876.84,4775,2502,2273,87.4,228898.0,
522,PORTJEFFERSON,96,1,35628.81,1022,526,496,23.9,173692.0,
523,PORTJERVIS,86,6,25319.9,2444,1245,1199,34.2,89579.0,
524,PORTWASHINGTON,93,2,25331.03,5364,2749,2615,37.0,226669.0,
525,PORTVILLE,95,3,14307.29,986,469,517,6.6,61646.0,
526,POTSDAM,95,3,20234.62,1234,667,567,8.9,68831.0,
527,POUGHKEEPSIE,60,19,21427.37,4154,2184,1970,93.7,98671.0,No
528,PRATTSBURGH,84,4,18240.82,360,179,181,8.1,67655.0,
529,PULASKI,87,4,20825.86,924,465,459,3.8,70334.0,
530,PUTNAM,—,—,23009.37,28,19,9,0.0,78566.0,
531,PUTNAMVALLEY,97,1,26817.67,1598,808,790,31.5,141696.0,
532,QUEENSBURY,90,3,16548.22,3135,1622,1513,7.0,77945.0,No
533,QUOGUE,—,—,69868.4,77,38,39,23.4,138728.0,
534,RANDOLPHACAD,—,—,,164,118,46,37.2,,
535,RANDOLPH,99,0,18397.12,846,421,425,11.0,63778.0,
536,RAVENA-COEYMANS-SELKIRK,88,6,18848.63,1768,895,873,19.1,98157.0,No
537,REDCREEK,88,10,21345.38,783,424,359,5.0,67395.0,
538,REDHOOK,91,4,24227.11,1766,918,848,16.5,109780.0,
539,REMSEN,87,0,26257.19,405,216,189,3.5,81069.0,
540,REMSENBURG-SPEONK,—,—,58547.76,132,66,66,27.3,137051.0,
541,RENSSELAER,84,5,17978.0,1028,524,504,44.6,87391.0,
542,RHINEBECK,93,1,30026.67,944,466,478,16.9,128995.0,
543,RICHFIELDSPRINGS,92,8,24034.39,402,223,179,5.5,74966.0,
544,RIPLEY,—,—,33327.7,123,61,62,4.9,64715.0,
545,RIVERHEAD,76,13,18810.89,5829,3028,2801,67.0,104218.0,No
546,ROCHESTER,68,13,19885.5,25017,12904,12113,90.4,69416.0,No
547,ROCKVILLECENTRE,98,0,29490.95,3579,1855,1724,26.5,135623.0,
548,ROCKYPOINT,95,4,24991.0,2905,1441,1464,22.1,136762.0,
549,ROME,82,8,17823.87,5320,2736,2584,21.0,75672.0,No
550,ROMULUS,82,6,20890.39,434,210,224,11.1,72629.0,
551,RONDOUTVALLEY,88,8,28695.99,1869,978,891,15.9,93343.0,
552,ROOSEVELT,75,16,20300.43,3346,1780,1566,99.9,133477.0,Yes
553,ROSCOE,89,0,30693.78,220,120,100,13.6,70350.0,
554,ROSLYN,99,1,29181.7,3195,1622,1573,32.2,258378.0,No
555,ROTTERDAM-MOHONASEN,91,3,15118.77,2798,1418,1380,23.9,80387.0,Yes
556,ROXBURY,86,0,34739.37,239,112,127,4.2,82483.0,
557,ROYALTON-HARTLAND,92,6,16056.73,1206,587,619,8.7,77981.0,
558,RUSH-HENRIETTA,92,3,19635.2,5387,2725,2662,42.6,105059.0,No
559,RYE,96,0,25422.18,3234,1670,1564,20.6,221738.0,No
560,RYENECK,93,1,22836.77,1572,809,763,37.5,236160.0,
561,SACHEM,94,2,20861.5,12351,6266,6085,30.0,127892.0,No
562,SACKETSHARBOR,90,5,18003.63,418,204,214,10.8,73836.0,
563,SAGHARBOR,89,3,38192.07,919,461,458,27.7,175758.0,
564,SAGAPONACKCOMMONSCHOOLDISTRICT,—,—,55333.31,16,9,7,6.2,177034.0,
565,SALAMANCA,79,3,24617.42,1213,628,585,50.5,62876.0,
566,SALEM,78,12,19489.37,524,286,238,5.3,74751.0,
567,SALMONRIVER,85,6,26274.61,1389,703,686,67.7,60692.0,
568,SANDYCREEK,90,3,25117.81,742,396,346,4.6,68233.0,
569,SARANAC,90,7,22036.63,1395,714,681,3.6,76018.0,Yes
570,SARANACLAKE,93,4,24587.99,1150,602,548,2.8,81922.0,
571,SARATOGASPRINGS,92,4,17059.93,6248,3164,3084,11.8,103880.0,
572,SAUGERTIES,84,10,21994.66,2449,1205,1244,24.6,68699.0,No
573,SAUQUOITVALLEY,93,3,17140.41,943,463,480,7.6,82621.0,
574,SAYVILLE,97,0,27033.14,2822,1445,1377,12.9,134278.0,No
575,SCARSDALE,98,1,28842.09,4749,2450,2299,36.4,231508.0,No
576,SCHALMONT,90,4,18953.56,1799,940,859,14.7,92421.0,
577,SCHENECTADY,74,11,18266.0,9243,4779,4464,79.6,76752.0,Yes
578,SCHENEVUS,81,9,21163.27,330,177,153,5.8,79059.0,
579,SCHODACK,97,0,21104.26,900,465,435,7.9,107421.0,
580,SCHOHARIE,89,4,20304.39,889,469,420,5.5,83949.0,
581,SCHROONLAKE,100,0,25128.01,259,136,123,1.5,75647.0,
582,SCHUYLERVILLE,96,2,19497.47,1517,770,747,4.9,91950.0,
583,SCIO,81,16,25594.63,302,165,137,3.0,60071.0,
584,SCOTIA-GLENVILLE,88,6,19185.24,2371,1257,1114,10.3,78947.0,No
585,SEAFORD,95,2,26115.27,2247,1146,1101,12.4,158213.0,No
586,SENECAFALLS,87,6,16786.23,1198,618,580,17.9,68231.0,
587,SEWANHAKACENTRALHSDISTRICT,95,1,20338.62,8140,4213,3927,68.3,,
588,SHARONSPRINGS,94,6,38377.69,226,109,117,7.1,71286.0,
589,SHELTERISLAND,96,4,48559.74,192,99,93,33.9,127668.0,
590,SHENENDEHOWA,92,3,15279.98,9535,4806,4729,25.3,111245.0,No
591,SHERBURNE-EARLVILLE,86,3,20802.82,1286,670,616,3.9,66565.0,
592,SHERMAN,91,3,20545.12,402,217,185,4.0,71194.0,
593,SHERRILL,95,3,16933.8,1805,951,854,5.2,84816.0,Yes
594,SHOREHAM-WADINGRIVER,94,1,26463.85,2039,1042,997,13.3,125680.0,
595,SIDNEY,93,4,19569.51,1057,550,507,13.3,57546.0,
596,SILVERCREEK,89,4,19547.02,1022,495,527,28.8,81374.0,
597,SKANEATELES,94,2,19456.71,1283,682,601,6.0,96357.0,No
598,SMITHTOWN,95,0,24979.97,8398,4222,4176,19.6,150271.0,No
599,SODUS,86,4,20747.89,965,512,453,40.6,72271.0,
600,SOLVAY,89,1,18811.28,1380,695,685,28.6,72645.0,
601,SOMERS,94,0,27456.96,2862,1465,1397,16.9,193806.0,No
602,SOUTHCOLONIE,94,2,18621.48,4671,2335,2336,35.5,94834.0,
603,SOUTHCOUNTRY,83,8,26730.96,4065,2111,1954,63.1,113885.0,
604,SOUTHGLENSFALLS,88,5,15609.87,2916,1522,1394,8.5,87115.0,
605,SOUTHHUNTINGTON,89,3,23839.17,5849,3047,2802,62.1,172065.0,
606,SOUTHJEFFERSON,88,3,15009.88,1814,904,910,6.0,71492.0,
607,SOUTHKORTRIGHT,94,0,20685.26,330,170,160,7.3,78366.0,
608,SOUTHLEWIS,85,6,21091.9,976,493,483,5.1,69154.0,
609,SOUTHORANGETOWN,93,2,27002.95,2910,1436,1474,32.4,166280.0,
610,SOUTHSENECA,90,7,28768.85,618,291,327,5.0,74589.0,
611,SOUTHAMPTON,89,2,35375.27,1471,777,694,55.6,218500.0,
612,SOUTHERNCAYUGA,86,9,20456.5,664,331,333,17.5,86009.0,
613,SOUTHOLD,87,9,34388.43,769,417,352,37.7,141518.0,
614,SOUTHWESTERNATJAMESTOWN,92,4,16269.54,1300,703,597,12.2,68823.0,
615,SPACKENKILL,90,4,28094.81,1448,751,697,41.9,98671.0,No
616,SPENCER-VANETTEN,81,8,21091.38,831,420,411,5.1,71805.0,
617,SPENCERPORT,91,4,18387.91,3618,1876,1742,20.4,82835.0,Yes
618,SPRINGS,—,—,25059.64,668,365,303,61.7,179537.0,
619,SPRINGVILLE-GRIFFITHINST,96,1,19368.61,1647,843,804,5.6,,
620,STREGISFALLS,95,0,27120.59,249,125,124,8.0,,
621,STAMFORD,71,10,25978.35,263,117,146,7.2,71464.0,
622,STARPOINT,93,3,14872.59,2911,1468,1443,6.8,80049.0,Yes
623,STILLWATER,84,11,19288.45,1014,509,505,5.7,102092.0,
624,STOCKBRIDGEVALLEY,90,7,20271.97,410,205,205,7.3,81341.0,
625,SUFFERN,92,4,27125.39,4012,2024,1988,49.2,117894.0,
626,SULLIVANWEST,90,8,26133.65,1014,532,482,15.1,76118.0,
627,SUSQUEHANNAVALLEY,87,7,20962.12,1426,748,678,10.4,76792.0,
628,SWEETHOME,94,3,19798.51,3261,1742,1519,37.7,99680.0,
629,SYOSSET,99,0,30765.31,6580,3414,3166,47.9,207429.0,No
630,SYRACUSE,71,11,19030.39,19011,9916,9095,78.1,66537.0,Yes
631,TACONICHILLS,75,12,24336.16,1205,612,593,20.2,98860.0,
632,THOUSANDISLANDS,95,3,19397.93,867,425,442,8.4,77542.0,
633,THREEVILLAGE,96,1,31655.63,5809,2922,2887,22.9,155652.0,
634,TICONDEROGA,91,5,23812.19,682,361,321,1.9,91032.0,
635,TIOGA,91,4,15563.69,886,446,440,2.9,72010.0,
636,TONAWANDA,93,3,16138.8,1729,880,849,13.0,70564.0,No
637,TOWNOFWEBB,100,0,26872.8,259,136,123,3.5,88819.0,
638,TRI-VALLEY,75,19,27786.88,930,495,435,18.9,79996.0,
639,TROY,88,7,19801.65,3842,1927,1915,60.3,76127.0,Yes
640,TRUMANSBURG,91,0,20889.47,999,514,485,14.6,74299.0,
641,TUCKAHOECOMMONSCHOOLDISTRICT,—,—,51082.72,253,121,132,74.3,173071.0,
642,TUCKAHOE,99,0,25010.58,1184,615,569,33.6,156791.0,
643,TULLY,81,3,19646.46,737,391,346,6.5,86379.0,
644,TUPPERLAKE,89,2,20549.25,712,365,347,6.0,67320.0,
645,TUXEDO,100,0,45079.45,222,111,111,35.6,136204.0,
646,-TARRYTOWNS,90,5,25569.87,2682,1355,1327,69.1,,
647,UNADILLAVALLEY,84,3,22294.87,758,368,390,4.5,71501.0,
648,UNIONSPRINGS,94,0,18831.95,791,431,360,10.4,81892.0,
649,UNION-ENDICOTT,88,5,18861.64,3569,1795,1774,32.1,73884.0,Yes
650,UNIONDALE,78,11,24253.37,6748,3438,3310,98.5,141110.0,No
651,UTICA,73,13,15176.09,9738,4917,4821,70.9,78802.0,No
652,VALHALLA,93,1,30131.68,1387,706,681,46.0,142246.0,No
653,VALLEY(MONTGOMERY),92,4,21709.36,4131,2073,2058,39.5,107795.0,
654,VALLEYSTREAM13,—,—,21831.3,1963,1049,914,76.4,,
655,VALLEYSTREAM24,—,—,23989.49,1097,560,537,82.2,,
656,VALLEYSTREAM30,—,—,21680.41,1464,745,719,95.3,,
657,VALLEYSTREAMCENTRALHSDISTRICT,93,2,22335.67,4542,2315,2227,83.6,,
658,VANHORNESVILLE-OWENDYOUNG,91,5,23917.91,181,85,96,3.3,,
659,VESTAL,93,2,18422.74,3291,1695,1596,22.8,87889.0,Yes
660,VICTOR,95,2,13662.02,4272,2140,2132,17.4,105393.0,No
661,VOORHEESVILLE,96,2,17552.5,1180,581,599,10.0,121379.0,
662,WAINSCOTTCOMMONSCHOOLDISTRICT,—,—,28103.79,29,14,15,62.1,163550.0,
663,WALLKILL,90,3,21761.44,2831,1482,1349,34.8,97601.0,No
664,WALTON,86,11,20436.21,866,433,433,4.4,68228.0,
665,WANTAGH,98,0,24819.0,2770,1397,1373,14.9,162595.0,No
666,WAPPINGERS,94,3,19359.75,10645,5511,5134,31.2,117236.0,No
667,WARRENSBURG,85,8,23590.05,662,352,310,6.3,82045.0,
668,WARSAW,92,7,18447.56,820,390,430,8.4,71994.0,
669,WARWICKVALLEY,95,1,18948.67,3569,1818,1751,25.2,119481.0,
670,WASHINGTONVILLE,94,2,20640.42,3801,1904,1897,40.3,117327.0,No
671,WATERFORD-HALFMOON,90,5,23921.21,752,385,367,10.0,92875.0,
672,WATERLOO,90,4,20639.44,1538,784,754,12.5,66581.0,Yes
673,WATERTOWN,77,14,14799.55,3972,2061,1911,30.8,69519.0,Yes
674,WATERVILLE,93,0,19097.1,741,395,346,2.6,98192.0,
675,WATERVLIET,88,7,13712.89,1296,697,599,54.3,71188.0,
676,WATKINSGLEN,95,1,21000.88,983,508,475,8.6,75781.0,
677,WAVERLY,90,8,17881.28,1442,713,729,4.9,65929.0,Yes
678,WAYLAND-COHOCTON,94,4,19889.88,1247,621,626,3.6,72432.0,No
679,WAYNE,92,4,18290.82,2127,1095,1032,6.9,96292.0,No
680,WEBSTER,95,1,17463.98,8151,4194,3957,17.3,91107.0,No
681,WEEDSPORT,96,2,21378.37,725,365,360,8.0,77605.0,
682,WELLS,89,6,32101.51,135,83,52,3.0,68150.0,
683,WELLSVILLE,82,6,19328.04,1077,527,550,5.6,64833.0,
684,WESTBABYLON,92,4,24688.51,3705,1867,1838,41.9,125550.0,
685,WESTCANADAVALLEY,96,2,21996.67,650,306,344,4.0,73411.0,
686,WESTGENESEE,95,0,16351.6,4483,2312,2171,14.1,88718.0,
687,WESTHEMPSTEAD,89,6,27633.69,1759,930,829,77.2,133369.0,
688,WESTIRONDEQUOIT,93,2,17041.73,3620,1885,1735,29.8,68921.0,
689,WESTISLIP,98,0,24902.21,4006,2097,1909,17.2,137778.0,
690,WESTSENECA,91,4,16393.8,6214,3178,3036,15.0,72088.0,
691,WESTVALLEY,79,14,36386.31,190,98,92,4.7,69972.0,
692,WESTBURY,84,11,24100.6,4979,2569,2410,98.0,213566.0,No
693,WESTFIELD,80,4,22096.84,632,308,324,9.3,70468.0,
694,WESTHAMPTONBEACH,93,3,25836.22,1820,950,870,35.7,152661.0,
695,WESTHILL,96,3,17204.54,1778,841,937,16.4,81323.0,Yes
