DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students
MARCELLUS CSD,92.0,3.0,19566.23,1505,802,703,4.9
MARGARETVILLE CSD,88.0,8.0,25293.61,330,164,166,29.4
MARION CSD,86.0,4.0,22443.32,634,311,323,13.2
MARLBORO CSD,91.0,4.0,21764.9,1891,968,923,37.2
MASSAPEQUA UFSD,98.0,1.0,25406.75,6713,3337,3376,10.6
MASSENA CSD,84.0,7.0,16440.97,2475,1222,1253,14.3
MATTITUCK-CUTCHOGUE UFSD,93.0,1.0,31170.72,1101,584,517,23.0
MAYFIELD CSD,90.0,4.0,18856.31,842,437,405,6.2
MCGRAW CSD,89.0,5.0,18417.53,527,256,271,4.6
MECHANICVILLE CITY SD,94.0,4.0,16937.42,1346,717,629,11.2
MEDINA CSD,84.0,8.0,18543.05,1387,672,715,22.6
MENANDS UFSD,,,17152.22,305,162,143,74.4
MERRICK UFSD,,,29454.36,1510,768,742,13.9
MEXICO CSD,90.0,3.0,21774.73,1944,991,953,5.7
MIDDLE COUNTRY CSD,91.0,4.0,22520.78,9050,4660,4390,40.8
MIDDLEBURGH CSD,93.0,4.0,26103.54,654,316,338,3.2
MIDDLETOWN CITY SD,83.0,9.0,19264.71,7405,3739,3666,87.3
MILFORD CSD,88.0,4.0,24297.78,334,176,158,4.2
MILLBROOK CSD,96.0,0.0,26186.89,880,451,429,22.0
MILLER PLACE UFSD,97.0,1.0,24358.13,2490,1308,1182,14.5
MINEOLA UFSD,94.0,2.0,28437.39,2790,1460,1330,49.2
MINERVA CSD,40.0,20.0,41834.28,99,45,54,7.1
MINISINK VALLEY CSD,89.0,1.0,19866.22,3493,1779,1714,25.9
MONROE-WOODBURY CSD,91.0,4.0,21906.32,6702,3384,3318,52.5
MONTAUK UFSD,,,44925.84,286,146,140,36.4
MONTICELLO CSD,83.0,7.0,23954.2,2786,1424,1362,58.2
MORAVIA CSD,84.0,9.0,18050.12,873,434,439,4.2
MORIAH CSD,89.0,6.0,20297.03,666,342,324,0.8
MORRIS CSD,77.0,0.0,23527.09,310,165,145,8.7
MORRISTOWN CSD,82.0,14.0,21795.55,322,167,155,4.3
MORRISVILLE-EATON CSD,88.0,8.0,20737.05,588,289,299,7.7
MOUNT MARKHAM CSD,86.0,8.0,19200.39,1038,527,511,3.9
MT MORRIS CSD,85.0,10.0,21224.05,515,264,251,30.3
MT PLEASANT CSD,96.0,0.0,27690.51,1902,993,909,20.8
MT PLEASANT-BLYTHEDALE UFSD,0.0,0.0,,124,68,56,70.2
MT PLEASANT-COTTAGE UFSD,9.0,27.0,,214,103,111,89.3
MT SINAI UFSD,97.0,1.0,22321.61,2176,1131,1045,17.2
MT VERNON SCHOOL DISTRICT,68.0,10.0,27660.55,7326,3755,3571,95.5
NANUET UFSD,94.0,1.0,25962.31,2218,1126,1092,53.1
NAPLES CSD,87.0,4.0,17557.81,599,305,294,3.0
NEW HARTFORD CSD,97.0,1.0,17848.92,2553,1308,1245,14.8
NEW HYDE PARK-GARDEN CITY PARK UFSD,,,19533.7,1719,882,837,76.6
NEW LEBANON CSD,92.0,5.0,9766.29,409,205,204,7.8
NEW PALTZ CSD,94.0,3.0,25094.98,2037,1036,1001,24.7
NEW ROCHELLE CITY SD,80.0,3.0,22932.93,10286,5394,4892,74.9
NEW SUFFOLK COMN SD,,,36043.61,16,9,7,18.8
NEWARK CSD,88.0,9.0,20106.84,1983,1014,969,29.7
NEWARK VALLEY CSD,88.0,5.0,18004.61,1075,547,528,4.4
NEWBURGH CITY SD,78.0,10.0,21654.67,10913,5664,5249,83.4
NEWCOMB CSD,100.0,0.0,59290.5,68,39,29,5.9
NEWFANE CSD,92.0,5.0,20242.16,1333,677,656,7.3
NEWFIELD CSD,84.0,6.0,22438.23,728,355,373,19.5
NIAGARA FALLS CITY SD,64.0,24.0,16647.7,6572,3240,3332,61.0
NIAGARA-WHEATFIELD CSD,90.0,5.0,17860.17,3411,1738,1673,21.1
NISKAYUNA CSD,94.0,1.0,15876.85,4294,2239,2055,31.3
NORTH BABYLON UFSD,93.0,4.0,25157.29,4539,2335,2204,64.0
NORTH BELLMORE UFSD,,,22631.36,2020,1014,1006,29.8
NORTH COLLINS CSD,92.0,4.0,21209.35,547,277,270,9.1
NORTH COLONIE CSD,93.0,3.0,16378.28,5887,2974,2913,37.1
NORTH GREENBUSH COMN SD (WILLIAMS),,,37967.85,13,5,8,15.4
NORTH MERRICK UFSD,,,25386.74,1188,610,578,26.9
NORTH ROSE-WOLCOTT CSD,87.0,6.0,21632.65,1114,535,579,13.3
NORTH SALEM CSD,96.0,2.0,34752.96,1046,523,523,25.9
NORTH SHORE CSD,96.0,0.0,36171.47,2567,1332,1235,23.1
NORTH SYRACUSE CSD,87.0,5.0,15859.19,8175,4198,3977,19.1
NORTH TONAWANDA CITY SD,86.0,7.0,17409.1,3184,1593,1591,10.9
NORTH WARREN CSD,92.0,5.0,22431.62,493,269,224,8.9
NORTHEAST CSD,87.0,6.0,26227.2,626,333,293,30.5
NORTHEASTERN CLINTON CSD,81.0,9.0,22148.23,1235,622,613,4.2
NORTHERN ADIRONDACK CSD,86.0,9.0,25473.35,785,418,367,1.0
NORTHPORT-EAST NORTHPORT UFSD,96.0,2.0,28285.29,5053,2646,2407,19.0
NORTHVILLE CSD,94.0,3.0,20631.26,420,197,223,8.1
NORWICH CITY SD,86.0,4.0,18999.6,1672,848,824,9.4
NORWOOD-NORFOLK CSD,90.0,5.0,20364.35,943,473,470,3.8
NY MILLS UFSD,87.0,4.0,22734.23,541,267,274,11.3
NYACK UFSD,91.0,5.0,24606.88,2866,1432,1434,57.8
NYC GEOG DIST # 1 - MANHATTAN,68.0,8.0,19153.22,10473,5481,4992,81.6
NYC GEOG DIST # 2 - MANHATTAN,81.0,5.0,15883.91,59568,28456,31112,73.4
NYC GEOG DIST # 3 - MANHATTAN,81.0,3.0,16663.02,21132,9599,11533,66.5
NYC GEOG DIST # 4 - MANHATTAN,85.0,4.0,21385.49,11510,5594,5916,95.0
NYC GEOG DIST # 5 - MANHATTAN,74.0,5.0,23248.48,9332,4954,4378,93.6
NYC GEOG DIST # 6 - MANHATTAN,75.0,5.0,20480.9,19124,9709,9415,94.4
NYC GEOG DIST # 7 - BRONX,69.0,9.0,22088.49,16318,8639,7679,98.5
NYC GEOG DIST # 8 - BRONX,66.0,13.0,20068.55,24613,12660,11953,94.4
NYC GEOG DIST # 9 - BRONX,74.0,9.0,20785.08,29653,14989,14664,98.7
NYC GEOG DIST #10 - BRONX,80.0,7.0,18515.51,49381,25187,24194,94.1
NYC GEOG DIST #11 - BRONX,75.0,8.0,17704.26,35438,18643,16795,91.1
NYC GEOG DIST #12 - BRONX,63.0,12.0,20174.92,19427,10007,9420,98.6
NYC GEOG DIST #13 - BROOKLYN,90.0,2.0,16254.63,19994,10672,9322,82.8
NYC GEOG DIST #14 - BROOKLYN,82.0,5.0,19282.51,16583,8684,7899,85.1
NYC GEOG DIST #15 - BROOKLYN,71.0,5.0,18079.91,29846,14881,14965,69.9
NYC GEOG DIST #16 - BROOKLYN,60.0,5.0,24918.87,5425,2891,2534,97.3
NYC GEOG DIST #17 - BROOKLYN,74.0,6.0,19294.66,19019,9361,9658,96.9
NYC GEOG DIST #18 - BROOKLYN,67.0,6.0,20378.87,12417,6499,5918,96.6
NYC GEOG DIST #19 - BROOKLYN,79.0,6.0,20178.57,19389,10230,9159,97.9
NYC GEOG DIST #20 - BROOKLYN,76.0,7.0,15814.7,49535,25915,23620,75.5
NYC GEOG DIST #21 - BROOKLYN,77.0,6.0,16986.32,33868,17379,16489,67.6
NYC GEOG DIST #22 - BROOKLYN,85.0,3.0,16774.61,31931,16127,15804,67.4
NYC GEOG DIST #23 - BROOKLYN,52.0,12.0,23142.85,7714,4315,3399,98.7
NYC GEOG DIST #24 - QUEENS,80.0,5.0,16393.21,54124,28429,25695,86.8
NYC GEOG DIST #25 - QUEENS,76.0,5.0,16025.35,35583,18163,17420,88.7
NYC GEOG DIST #26 - QUEENS,92.0,3.0,14190.81,30802,15826,14976,84.7
NYC GEOG DIST #27 - QUEENS,76.0,10.0,17641.03,40675,21347,19328,90.0
NYC GEOG DIST #28 - QUEENS,84.0,5.0,15026.48,38378,19482,18896,84.4
NYC GEOG DIST #29 - QUEENS,77.0,6.0,16852.11,23776,12395,11381,98.2
NYC GEOG DIST #30 - QUEENS,86.0,4.0,16113.61,36697,18539,18158,83.4
NYC GEOG DIST #31 - STATEN ISLAND,84.0,4.0,18970.34,57787,29605,28182,55.6
NYC GEOG DIST #32 - BROOKLYN,75.0,8.0,20978.36,9850,5045,4805,97.6
NYC SPEC SCHOOLS - DIST 75,,,6091.88,25358,18632,6726,87.3
OAKFIELD-ALABAMA CSD,85.0,3.0,18394.15,772,379,393,6.7
OCEANSIDE UFSD,94.0,0.0,22535.44,5506,2852,2654,29.4
ODESSA-MONTOUR CSD,93.0,4.0,18234.83,723,379,344,6.6
OGDENSBURG CITY SD,80.0,12.0,22365.24,1475,763,712,2.0
OLEAN CITY SD,74.0,10.0,18698.78,1925,1008,917,18.6
ONEIDA CITY SD,85.0,9.0,18768.6,1857,923,934,11.6
ONEONTA CITY SD,84.0,7.0,17884.13,1734,885,849,21.6
ONONDAGA CSD,90.0,6.0,19020.04,768,369,399,27.3
ONTEORA CSD,87.0,4.0,38615.96,1201,597,604,25.3
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,85.0,9.0,21080.92,689,335,354,3.0
ORCHARD PARK CSD,97.0,0.0,18291.68,4649,2318,2331,7.4
ORISKANY CSD,92.0,2.0,20301.77,569,294,275,8.1
OSSINING UFSD,80.0,2.0,22422.6,4774,2464,2310,79.6
OSWEGO CITY SD,81.0,8.0,19998.39,3626,1870,1756,10.3
OTEGO-UNADILLA CSD,87.0,5.0,21458.71,716,338,378,11.9
OTSELIC VALLEY CSD,94.0,3.0,27026.81,291,142,149,1.7
OWEGO-APALACHIN CSD,92.0,3.0,18179.7,1922,990,932,5.0
OXFORD ACADEMY & CSD,95.0,2.0,22363.77,706,349,357,7.8
OYSTER BAY-EAST NORWICH CSD,95.0,3.0,31106.27,1528,776,752,36.9
OYSTERPONDS UFSD,,,39628.6,65,29,36,30.8
PALMYRA-MACEDON CSD,91.0,7.0,18477.61,1789,927,862,7.4
PANAMA CSD,100.0,0.0,21679.03,436,223,213,5.5
PARISHVILLE-HOPKINTON CSD,97.0,0.0,25102.89,365,187,178,1.1
PATCHOGUE-MEDFORD UFSD,86.0,4.0,22688.05,7349,3796,3553,56.0
PAVILION CSD,83.0,11.0,21512.28,638,332,306,5.2
PAWLING CSD,93.0,0.0,28302.88,1114,571,543,29.4
PEARL RIVER UFSD,96.0,1.0,23852.0,2361,1207,1154,23.1
PEEKSKILL CITY SD,80.0,8.0,22977.07,3352,1791,1561,93.1
PELHAM UFSD,98.0,0.0,22511.94,2913,1515,1398,34.7
PEMBROKE CSD,92.0,2.0,21102.75,910,435,475,6.5
PENFIELD CSD,97.0,1.0,16744.56,4587,2333,2254,17.6
PENN YAN CSD,87.0,8.0,22166.64,1312,640,672,7.5
PERRY CSD,92.0,3.0,18437.89,772,389,383,9.8
PERU CSD,89.0,7.0,21325.68,1822,948,874,5.8
PHELPS-CLIFTON SPRINGS CSD,85.0,11.0,18223.93,1549,809,740,10.5
PHOENIX CSD,87.0,8.0,21337.44,1644,839,805,5.2
PINE BUSH CSD,91.0,4.0,20058.09,4925,2563,2362,30.7
PINE PLAINS CSD,89.0,5.0,28458.63,855,425,430,21.6
PINE VALLEY CSD (SOUTH DAYTON),66.0,15.0,24415.35,485,243,242,9.7
PITTSFORD CSD,98.0,0.0,19861.85,5588,2876,2712,26.9
PLAINEDGE UFSD,95.0,0.0,26342.58,2823,1454,1369,13.8
PLAINVIEW-OLD BETHPAGE CSD,96.0,0.0,26869.5,4955,2547,2408,33.7
PLATTSBURGH CITY SD,84.0,8.0,21291.56,1800,935,865,14.2
PLEASANTVILLE UFSD,93.0,1.0,25303.29,1695,877,818,24.3
POCANTICO HILLS CSD,,,53858.3,285,137,148,61.4
POLAND CSD,93.0,7.0,23870.17,487,242,245,7.0
PORT BYRON CSD,86.0,4.0,23478.26,728,356,372,5.5
PORT CHESTER-RYE UFSD,82.0,5.0,17876.84,4775,2502,2273,87.4
PORT JEFFERSON UFSD,96.0,1.0,35628.81,1022,526,496,23.9
PORT JERVIS CITY SD,86.0,6.0,25319.9,2444,1245,1199,34.2
PORT WASHINGTON UFSD,93.0,2.0,25331.03,5364,2749,2615,37.0
PORTVILLE CSD,95.0,3.0,14307.29,986,469,517,6.6
POTSDAM CSD,95.0,3.0,20234.62,1234,667,567,8.9
POUGHKEEPSIE CITY SD,60.0,19.0,21427.37,4154,2184,1970,93.7
PRATTSBURGH CSD,84.0,4.0,18240.82,360,179,181,8.1
PULASKI CSD,87.0,4.0,20825.86,924,465,459,3.8
PUTNAM CSD,,,23009.37,28,19,9,0.0
PUTNAM VALLEY CSD,97.0,1.0,26817.67,1598,808,790,31.5
QUEENSBURY UFSD,90.0,3.0,16548.22,3135,1622,1513,7.0
QUOGUE UFSD,,,69868.4,77,38,39,23.4
RANDOLPH ACAD UFSD,,,,164,118,46,37.2
RANDOLPH CSD,99.0,0.0,18397.12,846,421,425,11.0
RAVENA-COEYMANS-SELKIRK CSD,88.0,6.0,18848.63,1768,895,873,19.1
RED CREEK CSD,88.0,10.0,21345.38,783,424,359,5.0
RED HOOK CSD,91.0,4.0,24227.11,1766,918,848,16.5
REMSEN CSD,87.0,0.0,26257.19,405,216,189,3.5
REMSENBURG-SPEONK UFSD,,,58547.76,132,66,66,27.3
RENSSELAER CITY SD,84.0,5.0,17978.0,1028,524,504,44.6
RHINEBECK CSD,93.0,1.0,30026.67,944,466,478,16.9
RICHFIELD SPRINGS CSD,92.0,8.0,24034.39,402,223,179,5.5
RIPLEY CSD,,,33327.7,123,61,62,4.9
RIVERHEAD CSD,76.0,13.0,18810.89,5829,3028,2801,67.0
ROCHESTER CITY SD,68.0,13.0,19885.5,25017,12904,12113,90.4
ROCKVILLE CENTRE UFSD,98.0,0.0,29490.95,3579,1855,1724,26.5
ROCKY POINT UFSD,95.0,4.0,24991.0,2905,1441,1464,22.1
ROME CITY SD,82.0,8.0,17823.87,5320,2736,2584,21.0
ROMULUS CSD,82.0,6.0,20890.39,434,210,224,11.1
RONDOUT VALLEY CSD,88.0,8.0,28695.99,1869,978,891,15.9
ROOSEVELT UFSD,75.0,16.0,20300.43,3346,1780,1566,99.9
ROSCOE CSD,89.0,0.0,30693.78,220,120,100,13.6
ROSLYN UFSD,99.0,1.0,29181.7,3195,1622,1573,32.2
ROTTERDAM-MOHONASEN CSD,91.0,3.0,15118.77,2798,1418,1380,23.9
ROXBURY CSD,86.0,0.0,34739.37,239,112,127,4.2
ROYALTON-HARTLAND CSD,92.0,6.0,16056.73,1206,587,619,8.7
RUSH-HENRIETTA CSD,92.0,3.0,19635.2,5387,2725,2662,42.6
RYE CITY SD,96.0,0.0,25422.18,3234,1670,1564,20.6
RYE NECK UFSD,93.0,1.0,22836.77,1572,809,763,37.5
SACHEM CSD,94.0,2.0,20861.5,12351,6266,6085,30.0
SACKETS HARBOR CSD,90.0,5.0,18003.63,418,204,214,10.8
SAG HARBOR UFSD,89.0,3.0,38192.07,919,461,458,27.7
SAGAPONACK COMN SD,,,55333.31,16,9,7,6.2
SALAMANCA CITY SD,79.0,3.0,24617.42,1213,628,585,50.5
SALEM CSD,78.0,12.0,19489.37,524,286,238,5.3
SALMON RIVER CSD,85.0,6.0,26274.61,1389,703,686,67.7
SANDY CREEK CSD,90.0,3.0,25117.81,742,396,346,4.6
SARANAC CSD,90.0,7.0,22036.63,1395,714,681,3.6
SARANAC LAKE CSD,93.0,4.0,24587.99,1150,602,548,2.8
SARATOGA SPRINGS CITY SD,92.0,4.0,17059.93,6248,3164,3084,11.8
SAUGERTIES CSD,84.0,10.0,21994.66,2449,1205,1244,24.6
SAUQUOIT VALLEY CSD,93.0,3.0,17140.41,943,463,480,7.6
SAYVILLE UFSD,97.0,0.0,27033.14,2822,1445,1377,12.9
SCARSDALE UFSD,98.0,1.0,28842.09,4749,2450,2299,36.4
SCHALMONT CSD,90.0,4.0,18953.56,1799,940,859,14.7
SCHENECTADY CITY SD,74.0,11.0,18266.0,9243,4779,4464,79.6
SCHENEVUS CSD,81.0,9.0,21163.27,330,177,153,5.8
SCHODACK CSD,97.0,0.0,21104.26,900,465,435,7.9
SCHOHARIE CSD,89.0,4.0,20304.39,889,469,420,5.5
SCHROON LAKE CSD,100.0,0.0,25128.01,259,136,123,1.5
SCHUYLERVILLE CSD,96.0,2.0,19497.47,1517,770,747,4.9
SCIO CSD,81.0,16.0,25594.63,302,165,137,3.0
SCOTIA-GLENVILLE CSD,88.0,6.0,19185.24,2371,1257,1114,10.3
SEAFORD UFSD,95.0,2.0,26115.27,2247,1146,1101,12.4
SENECA FALLS CSD,87.0,6.0,16786.23,1198,618,580,17.9
SEWANHAKA CENTRAL SCHOOL DISTRICT,95.0,1.0,20338.62,8140,4213,3927,68.3
SHARON SPRINGS CSD,94.0,6.0,38377.69,226,109,117,7.1
SHELTER ISLAND UFSD,96.0,4.0,48559.74,192,99,93,33.9
SHENENDEHOWA CSD,92.0,3.0,15279.98,9535,4806,4729,25.3
SHERBURNE-EARLVILLE CSD,86.0,3.0,20802.82,1286,670,616,3.9
SHERMAN CSD,91.0,3.0,20545.12,402,217,185,4.0
SHERRILL CITY SD,95.0,3.0,16933.8,1805,951,854,5.2
SHOREHAM-WADING RIVER CSD,94.0,1.0,26463.85,2039,1042,997,13.3
SIDNEY CSD,93.0,4.0,19569.51,1057,550,507,13.3
SILVER CREEK CSD,89.0,4.0,19547.02,1022,495,527,28.8
SKANEATELES CSD,94.0,2.0,19456.71,1283,682,601,6.0
SMITHTOWN CSD,95.0,0.0,24979.97,8398,4222,4176,19.6
SODUS CSD,86.0,4.0,20747.89,965,512,453,40.6
SOLVAY UFSD,89.0,1.0,18811.28,1380,695,685,28.6
SOMERS CSD,94.0,0.0,27456.96,2862,1465,1397,16.9
SOUTH COLONIE CSD,94.0,2.0,18621.48,4671,2335,2336,35.5
SOUTH COUNTRY CSD,83.0,8.0,26730.96,4065,2111,1954,63.1
SOUTH GLENS FALLS CSD,88.0,5.0,15609.87,2916,1522,1394,8.5
SOUTH HUNTINGTON UFSD,89.0,3.0,23839.17,5849,3047,2802,62.1
SOUTH JEFFERSON CSD,88.0,3.0,15009.88,1814,904,910,6.0
SOUTH KORTRIGHT CSD,94.0,0.0,20685.26,330,170,160,7.3
SOUTH LEWIS CSD,85.0,6.0,21091.9,976,493,483,5.1
SOUTH ORANGETOWN CSD,93.0,2.0,27002.95,2910,1436,1474,32.4
SOUTH SENECA CSD,90.0,7.0,28768.85,618,291,327,5.0
SOUTHAMPTON UFSD,89.0,2.0,35375.27,1471,777,694,55.6
SOUTHERN CAYUGA CSD,86.0,9.0,20456.5,664,331,333,17.5
SOUTHOLD UFSD,87.0,9.0,34388.43,769,417,352,37.7
SOUTHWESTERN CSD AT JAMESTOWN,92.0,4.0,16269.54,1300,703,597,12.2
SPACKENKILL UFSD,90.0,4.0,28094.81,1448,751,697,41.9
SPENCER-VAN ETTEN CSD,81.0,8.0,21091.38,831,420,411,5.1
SPENCERPORT CSD,91.0,4.0,18387.91,3618,1876,1742,20.4
SPRINGS UFSD,,,25059.64,668,365,303,61.7
SPRINGVILLE-GRIFFITH INST CSD,96.0,1.0,19368.61,1647,843,804,5.6
ST REGIS FALLS CSD,95.0,0.0,27120.59,249,125,124,8.0
STAMFORD CSD,71.0,10.0,25978.35,263,117,146,7.2
STARPOINT CSD,93.0,3.0,14872.59,2911,1468,1443,6.8
STILLWATER CSD,84.0,11.0,19288.45,1014,509,505,5.7
STOCKBRIDGE VALLEY CSD,90.0,7.0,20271.97,410,205,205,7.3
SUFFERN CSD,92.0,4.0,27125.39,4012,2024,1988,49.2
SULLIVAN WEST CSD,90.0,8.0,26133.65,1014,532,482,15.1
SUSQUEHANNA VALLEY CSD,87.0,7.0,20962.12,1426,748,678,10.4
SWEET HOME CSD,94.0,3.0,19798.51,3261,1742,1519,37.7
SYOSSET CSD,99.0,0.0,30765.31,6580,3414,3166,47.9
SYRACUSE CITY SD,71.0,11.0,19030.39,19011,9916,9095,78.1
TACONIC HILLS CSD,75.0,12.0,24336.16,1205,612,593,20.2
THOUSAND ISLANDS CSD,95.0,3.0,19397.93,867,425,442,8.4
THREE VILLAGE CSD,96.0,1.0,31655.63,5809,2922,2887,22.9
TICONDEROGA CSD,91.0,5.0,23812.19,682,361,321,1.9
TIOGA CSD,91.0,4.0,15563.69,886,446,440,2.9
TONAWANDA CITY SD,93.0,3.0,16138.8,1729,880,849,13.0
TOWN OF WEBB UFSD,100.0,0.0,26872.8,259,136,123,3.5
TRI-VALLEY CSD,75.0,19.0,27786.88,930,495,435,18.9
TROY CITY SD,88.0,7.0,19801.65,3842,1927,1915,60.3
TRUMANSBURG CSD,91.0,0.0,20889.47,999,514,485,14.6
TUCKAHOE COMN SD,,,51082.72,253,121,132,74.3
TUCKAHOE UFSD,99.0,0.0,25010.58,1184,615,569,33.6
TULLY CSD,81.0,3.0,19646.46,737,391,346,6.5
TUPPER LAKE CSD,89.0,2.0,20549.25,712,365,347,6.0
TUXEDO UFSD,100.0,0.0,45079.45,222,111,111,35.6
UFSD-TARRYTOWNS,90.0,5.0,25569.87,2682,1355,1327,69.1
UNADILLA VALLEY CSD,84.0,3.0,22294.87,758,368,390,4.5
UNION SPRINGS CSD,94.0,0.0,18831.95,791,431,360,10.4
UNION-ENDICOTT CSD,88.0,5.0,18861.64,3569,1795,1774,32.1
UNIONDALE UFSD,78.0,11.0,24253.37,6748,3438,3310,98.5
UTICA CITY SD,73.0,13.0,15176.09,9738,4917,4821,70.9
VALHALLA UFSD,93.0,1.0,30131.68,1387,706,681,46.0
VALLEY CSD (MONTGOMERY),92.0,4.0,21709.36,4131,2073,2058,39.5
VALLEY STREAM 13 UFSD,,,21831.3,1963,1049,914,76.4
VALLEY STREAM 24 UFSD,,,23989.49,1097,560,537,82.2
VALLEY STREAM 30 UFSD,,,21680.41,1464,745,719,95.3
VALLEY STREAM CENTRAL SCHOOL DISTRICT,93.0,2.0,22335.67,4542,2315,2227,83.6
VAN HORNESVILLE-OWEN D YOUNG CSD,91.0,5.0,23917.91,181,85,96,3.3
VESTAL CSD,93.0,2.0,18422.74,3291,1695,1596,22.8
VICTOR CSD,95.0,2.0,13662.02,4272,2140,2132,17.4
VOORHEESVILLE CSD,96.0,2.0,17552.5,1180,581,599,10.0
WAINSCOTT COMN SD,,,28103.79,29,14,15,62.1
WALLKILL CSD,90.0,3.0,21761.44,2831,1482,1349,34.8
WALTON CSD,86.0,11.0,20436.21,866,433,433,4.4
WANTAGH UFSD,98.0,0.0,24819.0,2770,1397,1373,14.9
WAPPINGERS CSD,94.0,3.0,19359.75,10645,5511,5134,31.2
WARRENSBURG CSD,85.0,8.0,23590.05,662,352,310,6.3
WARSAW CSD,92.0,7.0,18447.56,820,390,430,8.4
WARWICK VALLEY CSD,95.0,1.0,18948.67,3569,1818,1751,25.2
WASHINGTONVILLE CSD,94.0,2.0,20640.42,3801,1904,1897,40.3
WATERFORD-HALFMOON UFSD,90.0,5.0,23921.21,752,385,367,10.0
WATERLOO CSD,90.0,4.0,20639.44,1538,784,754,12.5
WATERTOWN CITY SD,77.0,14.0,14799.55,3972,2061,1911,30.8
WATERVILLE CSD,93.0,0.0,19097.1,741,395,346,2.6
WATERVLIET CITY SD,88.0,7.0,13712.89,1296,697,599,54.3
WATKINS GLEN CSD,95.0,1.0,21000.88,983,508,475,8.6
WAVERLY CSD,90.0,8.0,17881.28,1442,713,729,4.9
WAYLAND-COHOCTON CSD,94.0,4.0,19889.88,1247,621,626,3.6
WAYNE CSD,92.0,4.0,18290.82,2127,1095,1032,6.9
WEBSTER CSD,95.0,1.0,17463.98,8151,4194,3957,17.3
WEEDSPORT CSD,96.0,2.0,21378.37,725,365,360,8.0
WELLS CSD,89.0,6.0,32101.51,135,83,52,3.0
WELLSVILLE CSD,82.0,6.0,19328.04,1077,527,550,5.6
WEST BABYLON UFSD,92.0,4.0,24688.51,3705,1867,1838,41.9
WEST CANADA VALLEY CSD,96.0,2.0,21996.67,650,306,344,4.0
WEST GENESEE CSD,95.0,0.0,16351.6,4483,2312,2171,14.1
WEST HEMPSTEAD UFSD,89.0,6.0,27633.69,1759,930,829,77.2
WEST IRONDEQUOIT CSD,93.0,2.0,17041.73,3620,1885,1735,29.8
WEST ISLIP UFSD,98.0,0.0,24902.21,4006,2097,1909,17.2
WEST SENECA CSD,91.0,4.0,16393.8,6214,3178,3036,15.0
WEST VALLEY CSD,79.0,14.0,36386.31,190,98,92,4.7
WESTBURY UFSD,84.0,11.0,24100.6,4979,2569,2410,98.0
WESTFIELD CSD,80.0,4.0,22096.84,632,308,324,9.3
WESTHAMPTON BEACH UFSD,93.0,3.0,25836.22,1820,950,870,35.7
WESTHILL CSD,96.0,3.0,17204.54,1778,841,937,16.4
WESTMORELAND CSD,95.0,0.0,20977.82,853,421,432,5.0
WHEATLAND-CHILI CSD,88.0,3.0,24615.3,636,305,331,30.2
WHEELERVILLE UFSD,,,25960.01,117,61,56,3.4
WHITE PLAINS CITY SD,91.0,3.0,27671.34,7069,3564,3505,78.1
WHITEHALL CSD,76.0,16.0,20970.97,703,346,357,2.8
WHITESBORO CSD,94.0,4.0,17518.67,3143,1602,1541,10.1
WHITESVILLE CSD,93.0,0.0,25735.4,179,90,89,2.8
WHITNEY POINT CSD,78.0,6.0,20246.09,1329,672,657,3.0
WILLIAM FLOYD UFSD,89.0,4.0,20200.92,8837,4514,4323,59.9
WILLIAMSON CSD,94.0,1.0,18664.46,984,512,472,18.9
WILLIAMSVILLE CSD,95.0,2.0,16128.34,9913,5014,4899,26.9
WILLSBORO CSD,80.0,5.0,29014.65,229,108,121,8.7
WILSON CSD,91.0,8.0,19651.21,1042,545,497,9.0
WINDHAM-ASHLAND-JEWETT CSD,95.0,5.0,30935.23,291,155,136,15.5
WINDSOR CSD,92.0,4.0,20400.27,1528,778,750,9.0
WORCESTER CSD,100.0,0.0,22629.71,320,149,171,2.5
WYANDANCH UFSD,56.0,17.0,21454.95,2700,1381,1319,99.0
WYNANTSKILL UFSD,,,17164.28,376,187,189,11.2
WYOMING CSD,,,28167.77,128,70,58,2.3
YONKERS CITY SD,91.0,3.0,18820.45,24633,12524,12109,84.5
YORK CSD,97.0,2.0,19869.81,688,377,311,5.4
YORKSHIRE-PIONEER CSD,89.0,6.0,17445.73,2307,1196,1111,5.0
YORKTOWN CSD,97.0,1.0,24424.21,3401,1775,1626,27.8
